Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZG_M_R
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
88,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
94,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
96,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Water
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Bareland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
222,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
224,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
232,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
268,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
295,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
299,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Bareland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Built-up
303,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
310,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
320,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
321,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
