Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUC_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
179,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
181,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
