Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
35,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
49,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
50,NULL,Water,Water,Water,Water,NULL,NULL,Water
51,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
54,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
60,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
61,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
67,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
68,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
70,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
71,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
72,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
76,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
78,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
79,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
80,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
81,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
82,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
84,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
85,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
86,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
87,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
88,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
89,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
91,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
92,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
93,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
94,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
96,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
97,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
99,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
100,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
101,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
102,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
103,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
104,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
105,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
106,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
107,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
108,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
109,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
110,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
112,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
113,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
114,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
115,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
116,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
117,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
118,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
119,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
120,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
121,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
122,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
123,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
125,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
126,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
128,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
129,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
130,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
132,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
133,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
134,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
135,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
136,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
137,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
138,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
139,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
140,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
141,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
143,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
144,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
147,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
149,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
152,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
154,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
156,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
157,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
158,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
160,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
162,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
163,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
164,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
166,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
167,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
168,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
169,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
170,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
171,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
173,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
174,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
175,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
178,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
179,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
180,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
181,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
182,Bareland,Forest,Water,NULL,Water,NULL,NULL,Grassland
183,Bareland,Forest,Water,NULL,Water,NULL,NULL,Forest
184,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
185,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
186,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
187,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
188,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
189,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
190,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
191,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
192,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
193,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
196,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
198,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
200,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
202,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
203,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
204,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
205,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
207,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
208,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
209,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
210,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
211,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
212,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
213,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
215,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
216,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
217,Water,NULL,Water,NULL,Water,NULL,NULL,NULL
218,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
219,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
220,Water,NULL,Water,NULL,Water,NULL,NULL,Water
221,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
222,Water,NULL,Water,Water,Water,NULL,NULL,Forest
223,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
224,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
225,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
226,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
227,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
228,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
230,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
231,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
232,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
233,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
234,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
235,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
236,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
237,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
238,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
239,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
240,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
241,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
242,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
243,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
244,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
245,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
246,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
247,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
248,Water,Water,Water,NULL,Water,NULL,NULL,Water
249,Water,Water,Water,NULL,Water,NULL,NULL,Forest
250,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
251,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
252,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
253,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
254,Water,Water,Water,Water,Water,NULL,NULL,Grassland
255,Water,Water,Water,Water,Water,NULL,NULL,Bareland
256,Water,Water,Water,Water,Water,NULL,NULL,Water
257,Water,Water,Water,Water,Water,NULL,NULL,Forest
258,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
260,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
261,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
262,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
263,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
266,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
267,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
268,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
269,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
270,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
272,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
273,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
275,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
276,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
277,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
278,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
279,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
280,Water,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
281,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
283,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
284,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
285,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
286,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
287,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
288,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
289,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
290,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
293,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
294,Water,Forest,Water,NULL,Water,NULL,NULL,Bareland
295,Water,Forest,Water,NULL,Water,NULL,NULL,Water
296,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
297,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
298,Water,Forest,Water,Water,Water,NULL,NULL,Water
299,Water,Forest,Water,Water,Water,NULL,NULL,Forest
300,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
301,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
303,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
304,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
306,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
307,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Bareland
308,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
309,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
310,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
311,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
312,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
313,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
314,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
315,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
316,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
318,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
319,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
320,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
323,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
324,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Permanent_ice_and_snow,NULL,Water,NULL,Water,NULL,NULL,Grassland
326,Permanent_ice_and_snow,NULL,Water,NULL,Water,NULL,NULL,Bareland
327,Permanent_ice_and_snow,NULL,Water,NULL,Water,NULL,NULL,Forest
328,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
329,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
331,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
332,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
333,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Forest
335,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
336,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
338,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
340,Permanent_ice_and_snow,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
341,Permanent_ice_and_snow,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
342,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
343,Permanent_ice_and_snow,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
344,Permanent_ice_and_snow,Forest,Water,NULL,Water,NULL,NULL,Grassland
345,Permanent_ice_and_snow,Forest,Water,NULL,Water,NULL,NULL,Water
346,Permanent_ice_and_snow,Forest,Water,NULL,Water,NULL,NULL,Forest
