Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R
45,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
53,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
56,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
57,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
58,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
60,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
63,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
70,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
88,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
93,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
94,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
95,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
96,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
97,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
98,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
99,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
100,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
101,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
102,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
103,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
104,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
105,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
106,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
107,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
108,NULL,Wetland,Water,Water,Water,Water,Water,Water
109,NULL,Wetland,Water,Water,Water,Water,Water,Forest
110,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,Wetland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
115,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
121,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
122,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
123,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
124,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
125,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Forest
126,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,Forest
127,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,Built-up,NULL,Water,Non_Wetland,Water,Water,Grassland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
140,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
141,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Water,Bareland
142,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
144,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Grassland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Water
149,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Water,Grassland
150,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
151,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
152,NULL,Built-up,Wetland,NULL,Wetland,Wetland,NULL,Forest
153,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
154,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
155,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
156,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
157,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Water
158,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
159,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Bareland
160,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Grassland
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Forest
176,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
177,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Bareland,Grassland
178,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
179,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Water
180,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
182,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Water,Grassland
183,NULL,Built-up,Water,NULL,Water,Grassland,Water,Forest
184,NULL,Built-up,Water,NULL,Water,Water,Water,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
186,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
187,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
188,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
189,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
190,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Forest
191,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Grassland
192,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water,Water,Water
193,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
194,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
196,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
197,NULL,Water,Grassland,Water,Non_Wetland,Water,Bareland,Grassland
198,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
199,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
200,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Water
201,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
202,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
203,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
204,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
205,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
206,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
207,NULL,Water,Wetland,Water,Wetland,Water,Bareland,Grassland
208,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
209,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
210,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
211,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
212,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
213,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
214,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
215,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
216,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
217,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
218,NULL,Water,Water,Non_Water,Water,Water,Water,Grassland
219,NULL,Water,Water,Water,Water,Water,Water,Forest
220,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
222,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Forest
223,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
224,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
225,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
226,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
227,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
228,NULL,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
231,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
232,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
233,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
234,NULL,Forest,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
236,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
237,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
238,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Forest
239,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
240,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
241,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
242,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
243,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
244,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
245,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
246,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Wetland
247,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
248,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
249,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
250,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
251,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
252,NULL,Forest,Wetland,Water,Wetland,Water,Water,Wetland
253,NULL,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Forest
254,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
255,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,Forest,Built-up,Water,Non_Wetland,Grassland,Wetland,Forest
258,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
259,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
262,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
263,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
264,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
265,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
267,NULL,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
268,NULL,Forest,Forest,Water,Non_Wetland,Water,Water,Water
269,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
270,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
271,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
272,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
274,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
275,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
276,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
277,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
278,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Wetland
279,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
280,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
281,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
282,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
283,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
284,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
285,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
286,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
287,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
288,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
289,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
290,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
291,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
292,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
293,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
294,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
295,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
296,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
297,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
298,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
299,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
300,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
301,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
302,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
303,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
304,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
305,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
306,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
307,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
308,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
309,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
310,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
311,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
312,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
313,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
314,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
315,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
316,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
317,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
318,Grassland,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
319,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
320,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
321,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Wetland
322,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Water
323,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Forest
324,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
325,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
326,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
327,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
328,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
329,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
330,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
331,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
332,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
333,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
334,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
335,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
336,Grassland,NULL,Water,Water,Water,Water,Water,Water
337,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
338,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
339,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
340,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
341,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
342,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
343,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
