Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R
28,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Bareland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Wetland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
145,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
172,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
174,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
181,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
187,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
188,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
193,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
196,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
197,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
198,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
200,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
205,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
207,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
208,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
209,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
212,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
213,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
214,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
215,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
216,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
217,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
219,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
220,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
224,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
225,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
226,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
227,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Wetland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
230,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
236,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
240,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
242,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
243,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
246,NULL,NULL,Water,NULL,Water,Wetland,Bareland,Grassland
247,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
248,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
249,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
250,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
251,NULL,NULL,Water,Non_Water,Water,Wetland,Bareland,Grassland
252,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
253,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
254,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Bareland
255,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
256,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Forest
257,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
258,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
259,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
260,NULL,NULL,Water,Water,Water,Bareland,Bareland,Wetland
261,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
262,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
263,NULL,NULL,Water,Water,Water,Water,Water,Wetland
264,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
289,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
290,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
291,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
293,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
297,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
300,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
301,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
302,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
303,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
304,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
308,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
315,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
318,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
320,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
321,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Built-up
322,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
323,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
324,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
325,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
326,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
327,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
