Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Wetland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
248,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
254,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
256,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
258,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
259,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
260,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
264,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
265,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
268,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
269,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
271,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
272,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
273,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
277,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
278,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
279,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
280,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
310,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
314,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
