Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LUQ_M_R
123,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
124,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
125,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
126,NULL,NULL,Forest,NULL,Non_Wetland,Water
127,NULL,NULL,Forest,NULL,Non_Wetland,Forest
128,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
131,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
132,NULL,NULL,Forest,Water,Non_Wetland,Grassland
133,NULL,NULL,Forest,Water,Non_Wetland,Cropland
134,NULL,NULL,Forest,Water,Non_Wetland,Bareland
135,NULL,NULL,Forest,Water,Non_Wetland,Water
136,NULL,NULL,Forest,Water,Non_Wetland,Forest
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
146,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
152,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
158,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
159,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
160,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
161,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
164,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
165,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
166,NULL,Cropland,Bareland,Water,Non_Wetland,Water
167,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
169,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
171,NULL,Cropland,Water,Non_Water,Water,Grassland
172,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
173,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
175,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
176,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
177,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
178,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
179,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
180,NULL,Cropland,Forest,Water,Non_Wetland,Water
181,NULL,Cropland,Forest,Water,Non_Wetland,Forest
182,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
189,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
190,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
191,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
192,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
193,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
194,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
195,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
196,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
197,NULL,Wetland,Water,NULL,Water,Grassland
198,NULL,Wetland,Water,NULL,Water,Water
199,NULL,Wetland,Water,Water,Water,Grassland
200,NULL,Wetland,Water,Water,Water,Water
201,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
202,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
203,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
206,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
207,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
208,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
209,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
210,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
211,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
212,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
213,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
214,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
215,NULL,Bareland,Shrubland,Water,Non_Wetland,Built-up
216,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
217,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
218,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
219,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
220,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
221,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
222,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
223,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
224,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
225,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
226,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
227,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
228,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
229,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
230,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
231,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
232,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
233,NULL,Bareland,Cropland,Water,Non_Wetland,Water
234,NULL,Bareland,Wetland,Non_Water,Wetland,Water
235,NULL,Bareland,Wetland,Water,Wetland,Water
236,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
237,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
238,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
239,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
240,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
241,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
242,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
243,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
244,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
245,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
246,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
247,NULL,Bareland,Bareland,Water,Non_Wetland,Water
248,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
249,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
250,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
251,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
252,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
253,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
254,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
255,NULL,Bareland,Water,NULL,Water,Grassland
256,NULL,Bareland,Water,NULL,Water,Bareland
257,NULL,Bareland,Water,NULL,Water,Water
258,NULL,Bareland,Water,NULL,Water,Forest
259,NULL,Bareland,Water,Non_Water,Water,Grassland
260,NULL,Bareland,Water,Non_Water,Water,Bareland
261,NULL,Bareland,Water,Non_Water,Water,Water
262,NULL,Bareland,Water,Water,Water,Bareland
263,NULL,Bareland,Water,Water,Water,Water
264,NULL,Bareland,Water,Water,Water,Forest
265,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
266,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
267,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
268,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
269,NULL,Bareland,Forest,NULL,Non_Wetland,Water
270,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
271,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
272,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
273,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
274,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
275,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
276,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
277,NULL,Bareland,Forest,Water,Non_Wetland,Water
278,NULL,Bareland,Forest,Water,Non_Wetland,Forest
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
286,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
287,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
288,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
289,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
290,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
291,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
292,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
293,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
294,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
295,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
296,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
297,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
298,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
304,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
305,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
306,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
307,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
308,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
309,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
310,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
311,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
312,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
313,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
314,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
317,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
320,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
321,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
322,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
323,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
324,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
325,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
326,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
327,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
328,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
329,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
330,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
331,NULL,Built-up,Wetland,NULL,Wetland,Grassland
332,NULL,Built-up,Wetland,NULL,Wetland,Water
333,NULL,Built-up,Wetland,NULL,Wetland,Forest
334,NULL,Built-up,Wetland,Non_Water,Wetland,Water
335,NULL,Built-up,Wetland,Water,Wetland,Grassland
336,NULL,Built-up,Wetland,Water,Wetland,Cropland
337,NULL,Built-up,Wetland,Water,Wetland,Built-up
338,NULL,Built-up,Wetland,Water,Wetland,Water
339,NULL,Built-up,Wetland,Water,Wetland,Forest
340,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
341,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
342,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
343,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
344,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
345,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
346,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
347,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
348,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
349,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
350,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
351,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
352,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
353,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
354,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
355,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
356,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
357,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
358,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
359,NULL,Built-up,Bareland,Water,Non_Wetland,Water
360,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
361,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
362,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
363,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
364,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
365,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
366,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
367,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
368,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
369,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
370,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
371,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
372,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
373,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
374,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
375,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
376,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
377,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
378,NULL,Built-up,Built-up,Water,Non_Wetland,Water
379,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
380,NULL,Built-up,Water,NULL,Water,Grassland
381,NULL,Built-up,Water,NULL,Water,Cropland
382,NULL,Built-up,Water,NULL,Water,Bareland
383,NULL,Built-up,Water,NULL,Water,Built-up
384,NULL,Built-up,Water,NULL,Water,Water
385,NULL,Built-up,Water,NULL,Water,Forest
386,NULL,Built-up,Water,Non_Water,Water,Grassland
387,NULL,Built-up,Water,Non_Water,Water,Bareland
388,NULL,Built-up,Water,Non_Water,Water,Water
389,NULL,Built-up,Water,Non_Water,Water,Forest
390,NULL,Built-up,Water,Water,Water,Grassland
391,NULL,Built-up,Water,Water,Water,Bareland
392,NULL,Built-up,Water,Water,Water,Built-up
393,NULL,Built-up,Water,Water,Water,Water
394,NULL,Built-up,Water,Water,Water,Forest
395,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
396,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
397,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
398,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
399,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
400,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
401,NULL,Built-up,Forest,NULL,Non_Wetland,Water
402,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
403,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
404,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
405,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
406,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
407,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
408,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
409,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
410,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
411,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
412,NULL,Built-up,Forest,Water,Non_Wetland,Water
413,NULL,Built-up,Forest,Water,Non_Wetland,Forest
414,NULL,Water,NULL,NULL,Non_Wetland,Grassland
415,NULL,Water,NULL,NULL,Non_Wetland,Wetland
416,NULL,Water,NULL,NULL,Non_Wetland,Water
417,NULL,Water,NULL,Water,Non_Wetland,Water
418,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
419,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
420,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
421,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
422,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
423,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
424,NULL,Water,Shrubland,NULL,Non_Wetland,Water
425,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
426,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
427,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
428,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
429,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
