Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHG_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
65,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
66,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
67,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
68,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
69,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
70,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
71,NULL,NULL,Water,Water,Water,NULL,NULL,Water
72,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
98,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
100,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
101,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
106,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
107,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
108,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
109,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
110,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
111,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
113,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
114,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
115,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
116,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
117,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
118,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
119,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
122,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
124,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
126,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
148,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
150,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
151,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
152,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
153,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
163,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
165,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
171,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
172,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
173,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
174,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
175,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
176,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
177,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
178,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
179,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
180,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
186,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
188,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
189,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
191,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
192,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
196,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
198,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
200,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
201,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
204,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
206,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
208,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
210,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
213,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
214,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
215,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
217,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
218,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
219,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
220,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
225,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
226,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
227,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
228,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
230,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
231,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
233,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
234,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
235,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
237,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
238,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
239,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
240,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
241,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
242,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
244,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
245,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
246,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
247,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
248,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
249,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
250,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
251,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
252,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
253,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
255,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
256,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
257,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
259,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
261,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
262,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
264,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
266,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
267,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
268,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
271,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
273,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
274,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
276,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
281,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
282,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
285,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
286,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
287,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
289,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
290,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
291,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
292,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
293,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
294,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
295,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
296,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
297,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
298,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
299,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
300,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
301,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Water
302,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
303,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
304,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
305,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
307,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
308,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
310,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
312,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
313,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
314,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
316,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
318,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
319,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
321,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
322,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
324,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
325,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
326,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
327,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
328,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
329,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
332,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
335,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
337,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
338,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
339,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
340,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
341,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
