Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFP_M_R
45,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
46,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
50,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
58,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
61,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
63,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
66,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
67,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
68,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
70,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
71,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
72,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
73,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
75,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
77,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
80,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
81,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
83,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
84,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
85,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
86,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
87,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
88,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
89,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
90,NULL,NULL,Water,Water,Water,Water,Wetland,Water
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
109,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
111,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
114,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
119,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
120,NULL,Bareland,Cropland,Water,Non_Wetland,Water,Water,Grassland
121,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
122,NULL,Bareland,Water,Water,Water,Water,Water,Water
123,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
124,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
125,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
126,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
127,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
130,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,Forest
131,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,Grassland
132,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Water
133,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Water
135,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
136,NULL,Built-up,NULL,Water,Non_Wetland,Wetland,Water,Grassland
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,Grassland
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Built-up
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Wetland,Built-up
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Wetland,Water
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Built-up
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Forest
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Forest,Built-up
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Forest,Forest
170,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
171,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
172,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
173,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
175,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Wetland,Water
176,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Wetland,Forest
177,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Water,Built-up
178,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland,Grassland,Water
179,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
180,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
181,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Water
182,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
183,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Built-up
184,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Water
185,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Water,Grassland
186,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Water,Water
187,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland,Forest
188,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
189,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
190,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
191,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Forest
192,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
193,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Grassland
194,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Built-up
195,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Forest
196,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Built-up
197,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
198,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Water
199,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Forest
200,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
201,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
202,NULL,Built-up,Wetland,Water,Wetland,Grassland,Grassland,Water
203,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
204,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Water
205,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Grassland
206,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Forest
207,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Grassland
208,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Water
209,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Forest
210,NULL,Built-up,Wetland,Water,Wetland,Water,Grassland,Grassland
211,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Grassland
212,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Water
213,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Forest
214,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
215,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Built-up
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Built-up
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Water
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
243,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
245,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Grassland,Built-up
246,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Wetland,Forest
248,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Grassland,Forest
249,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Wetland,Water
250,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
251,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Wetland,Built-up
252,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Water,Grassland
253,NULL,Built-up,Water,NULL,Water,Grassland,Wetland,Built-up
254,NULL,Built-up,Water,NULL,Water,Water,Wetland,Forest
255,NULL,Built-up,Water,Water,Water,Wetland,Wetland,Water
256,NULL,Built-up,Water,Water,Water,Water,Wetland,Grassland
257,NULL,Built-up,Water,Water,Water,Water,Wetland,Water
258,NULL,Built-up,Water,Water,Water,Water,Water,Water
259,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
262,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
263,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
264,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
265,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
266,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
267,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
268,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
269,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
271,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
272,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
273,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
274,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Water
275,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Forest,Forest
276,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
277,NULL,Built-up,Forest,Water,Non_Wetland,Water,Water,Grassland
278,NULL,Built-up,Forest,Water,Non_Wetland,Water,Water,Forest
279,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
281,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
282,NULL,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
283,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
284,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
286,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
288,NULL,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
289,NULL,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
290,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
291,NULL,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
292,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
293,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
294,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
295,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
296,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
297,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
298,NULL,Water,Wetland,NULL,Wetland,Water,Grassland,Grassland
299,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
300,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
301,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
302,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
303,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
304,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
305,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
306,NULL,Water,Wetland,Water,Wetland,Bareland,Grassland,Grassland
307,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
308,NULL,Water,Wetland,Water,Wetland,Water,Grassland,Grassland
309,NULL,Water,Wetland,Water,Wetland,Water,Grassland,Water
310,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
311,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
312,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Forest
313,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
314,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
315,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
316,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
317,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
318,NULL,Water,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
319,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
320,NULL,Water,Water,NULL,Water,Bareland,Forest,Grassland
321,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
322,NULL,Water,Water,NULL,Water,Water,Water,Water
323,NULL,Water,Water,NULL,Water,Water,Water,Forest
324,NULL,Water,Water,Water,Water,Water,Water,Grassland
325,NULL,Water,Water,Water,Water,Water,Water,Water
326,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
327,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
328,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
329,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
330,NULL,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
331,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
332,NULL,Water,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
333,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
334,NULL,Water,Forest,Water,Non_Wetland,Water,Grassland,Grassland
335,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
336,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
337,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
338,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
339,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
340,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
341,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
342,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
343,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
