Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
36,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
50,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
51,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
52,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
53,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
54,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
55,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
56,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
57,NULL,NULL,Water,Water,Water,NULL,NULL,Water
58,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
69,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
72,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
83,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
87,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
88,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
89,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
90,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
91,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
92,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
93,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
95,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
96,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
97,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
100,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
101,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
102,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
108,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
113,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
114,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
115,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
116,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
117,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
120,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
122,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
123,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Built-up
128,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
136,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
139,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
146,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
150,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
156,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
157,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
158,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
159,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
161,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
162,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
163,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
165,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
166,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
173,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
183,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
184,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
189,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
190,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
191,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
192,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
193,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
194,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
195,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
196,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
197,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
198,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
199,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
200,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
204,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
207,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
208,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Built-up
212,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
213,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
219,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
224,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
228,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
231,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
232,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
233,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
235,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
237,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
238,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
239,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
240,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
242,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
246,NULL,Water,Water,NULL,Water,NULL,NULL,Water
247,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
248,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
249,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
250,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
251,NULL,Water,Water,Water,Water,NULL,NULL,Water
252,NULL,Water,Water,Water,Water,NULL,NULL,Forest
253,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
255,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
256,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
264,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
269,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
273,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
276,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
278,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
279,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
280,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
281,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
282,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
283,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
284,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
286,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
288,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
290,NULL,Forest,Water,Water,Water,NULL,NULL,Water
291,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
292,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
296,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
298,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
300,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
302,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
303,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
305,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
306,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
310,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
312,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
313,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
314,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
315,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
316,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
317,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
321,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
322,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
323,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
325,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
327,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
328,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
330,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
331,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
332,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
333,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
334,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
335,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
336,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
337,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
338,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
339,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
340,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
341,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
343,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
344,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
345,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
