Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKQ_M_R
2150,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2151,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2152,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2153,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
2154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2155,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
2156,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
2158,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2160,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2161,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
2162,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
2166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
2169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
2170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2171,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
2172,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
2173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
2174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
2175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
2176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
2177,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2178,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
2179,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
2180,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
2181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2182,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
2183,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2184,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2185,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
2186,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2187,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2188,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2189,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2190,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Cropland
2191,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
2192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
2194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2196,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2197,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2198,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2199,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2200,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
2201,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2205,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
2206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2207,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
2208,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
2209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
2210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
2211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
2212,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
2213,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
2214,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2215,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2216,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2217,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
2218,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
2223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
2224,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
2225,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
2226,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
2227,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
2230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
2232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
2233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
2234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
2235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
2237,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2238,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
2240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
2242,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
2243,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2244,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
2245,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2246,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
2247,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
2248,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Built-up
2249,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
2250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
2251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
2252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
2254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
2255,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2256,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2257,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2258,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
2259,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
2260,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Forest
2261,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
2262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Forest
2263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
2264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2265,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2266,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
2267,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2268,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,NULL,Grassland
2269,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
2270,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
2271,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Bareland
2272,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
2273,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
2274,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
2275,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
2276,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
2277,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
2278,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
2279,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
2280,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
2281,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
2282,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Built-up,Wetland
2283,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
2284,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Cropland
2285,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
2286,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Cropland
2287,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2288,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
2289,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
2290,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Built-up
2291,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
2292,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Cropland
2293,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2294,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2295,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2296,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2297,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2298,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2299,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2300,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2301,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2302,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2303,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2304,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2305,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2306,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2307,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2308,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2309,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
2310,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2311,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2312,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2313,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Water
2314,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
2315,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2316,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2317,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2318,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
2319,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2320,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2321,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2322,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2323,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2324,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2325,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2326,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2327,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
2328,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2329,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2330,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2331,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2332,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
2333,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2334,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
2335,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
2336,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2337,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
2338,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
2339,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
2340,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
2341,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
2342,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Water
2343,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
2344,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
2345,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
2346,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
2347,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
2348,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
2349,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
2350,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
2351,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
2352,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
2353,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Water
2354,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
2355,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
2356,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
2357,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
2358,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
2359,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
2360,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
2361,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
2362,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
2363,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
2364,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
2365,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2366,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2367,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2368,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
2369,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2370,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2371,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
2372,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2373,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2374,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2375,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2376,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2377,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2378,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
2379,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2380,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2381,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2382,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
2383,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2384,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2385,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
2386,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2387,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2388,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
2389,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2390,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Water
2391,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
2392,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2393,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
2394,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
2395,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2396,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
2397,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
2398,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2399,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
2400,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2401,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2402,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
2403,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
2404,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Water
2405,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2406,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2407,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2408,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2409,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
2410,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Water
2411,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
2412,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2413,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
2414,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Forest
2415,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2416,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
2417,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
2418,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
2419,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
2420,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
2421,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Built-up
2422,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Forest
2423,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Grassland
2424,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Cropland
2425,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Forest
2426,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
2427,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
2428,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
2429,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
2430,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
2431,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
2432,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
2433,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Water
2434,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
2435,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
2436,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2437,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
2438,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
2439,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
2440,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2441,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
2442,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
2443,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
2444,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
2445,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Cropland
2446,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Water
2447,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
2448,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
2449,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Cropland
2450,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2451,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2452,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2453,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
2454,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
2455,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2456,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2457,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2458,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2459,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Cropland
2460,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
2461,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2462,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
2463,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2464,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
