Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R
58,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
66,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
67,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
72,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
79,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
81,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
82,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
83,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
84,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
85,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
88,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
92,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
94,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
95,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
98,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
99,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
100,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
101,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
102,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
104,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
105,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
106,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
108,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
109,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
110,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
111,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
112,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
113,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
114,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
115,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
116,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
117,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
119,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
123,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
124,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
125,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
126,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
127,NULL,NULL,Water,NULL,Water,Bareland,Forest,Forest
128,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
129,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
130,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
131,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
132,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
133,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
134,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
135,NULL,NULL,Water,Water,Water,Water,Water,Wetland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
157,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
169,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
170,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
216,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
220,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
221,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
222,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
223,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water,Forest
224,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
225,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
226,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Bareland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Bareland
245,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
246,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
247,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
248,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
256,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
268,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
269,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
270,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Water
271,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
273,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
274,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
275,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
276,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland,Grassland
277,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland,Forest
278,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
279,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Water
280,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
281,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Water
282,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
283,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Water
284,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Forest
285,NULL,Built-up,Wetland,Water,Wetland,NULL,Water,Grassland
286,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
287,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
288,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
290,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
292,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Bareland
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Built-up
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Bareland
302,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
303,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
305,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
307,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Bareland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
309,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest,Bareland,Built-up
310,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Bareland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
319,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
320,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
321,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Built-up
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
