Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Water
120,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
121,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
125,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
127,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
128,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
134,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
151,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
153,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
154,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
155,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
156,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
157,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
158,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
159,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
162,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
180,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
188,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
192,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
193,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
196,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
197,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
198,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
203,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
204,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
205,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
206,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
207,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
208,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
209,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
210,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
211,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
212,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
216,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
220,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
222,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
223,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
224,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
226,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
227,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
228,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
229,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
230,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
231,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
232,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
233,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Forest,Grassland
234,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
235,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
236,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
240,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
241,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
242,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
251,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
252,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
254,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
258,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
259,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
260,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
261,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
262,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
263,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
264,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Forest
265,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
266,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
267,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
268,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
273,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
274,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
275,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Wetland
276,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
278,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Wetland
279,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
280,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
281,NULL,NULL,Bareland,Water,Non_Wetland,Water,Bareland,Grassland
282,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
283,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
284,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
285,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
293,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
297,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
298,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
299,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Forest
305,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
310,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
311,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
312,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
313,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
314,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
315,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
316,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
317,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
318,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
319,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
320,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
321,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
322,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
323,NULL,NULL,Water,NULL,Water,Water,Water,Water
324,NULL,NULL,Water,NULL,Water,Water,Water,Forest
325,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
326,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
327,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
328,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
329,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
330,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
331,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
332,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
333,NULL,NULL,Water,Water,Water,Wetland,Forest,Grassland
334,NULL,NULL,Water,Water,Water,Wetland,Forest,Wetland
335,NULL,NULL,Water,Water,Water,Bareland,Water,Bareland
336,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
337,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
338,NULL,NULL,Water,Water,Water,Water,Wetland,Water
339,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
340,NULL,NULL,Water,Water,Water,Water,Water,Grassland
