Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R
146,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
147,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
149,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
151,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
152,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
155,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
156,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
160,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
162,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
166,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
175,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
176,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
179,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Wetland
181,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
183,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
184,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
186,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
188,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
190,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
192,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
194,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
195,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
198,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
199,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Wetland
200,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
202,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
205,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
207,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
208,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
213,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
214,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
215,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,NULL
216,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
217,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
218,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
219,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
220,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
222,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
223,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
227,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
229,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
232,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
235,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
238,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
240,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
242,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Wetland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
255,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
256,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
258,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
261,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
263,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
265,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
268,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
269,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
271,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
280,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
281,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
282,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
285,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
286,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
288,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
289,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
290,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
302,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
303,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
304,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
305,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
307,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
309,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
310,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
311,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
313,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
314,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
315,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
317,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
318,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
319,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
320,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
321,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
322,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
323,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
324,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
325,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
326,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
327,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Shrubland,Grassland
328,NULL,Water,Water,NULL,Water,Water,Wetland,Water
329,NULL,Water,Water,Water,Water,Grassland,Water,Water
