Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R
871,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
872,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
873,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
874,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
875,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
876,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
877,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
878,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
879,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
880,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
881,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
882,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
883,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
884,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
885,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
886,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
887,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
888,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
889,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
890,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
891,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
892,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
893,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
894,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
895,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
896,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
897,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
898,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
899,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
900,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
901,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
902,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
903,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
904,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
905,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
906,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
907,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
908,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
909,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
910,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
911,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
912,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
913,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
914,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
915,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
916,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
917,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
918,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
919,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
920,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
921,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
922,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
923,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
924,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
925,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
926,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
927,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
928,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
929,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
930,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
931,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
932,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
933,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
934,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
935,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
936,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
937,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
938,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
939,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
940,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
941,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
942,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
943,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
944,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
945,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
946,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
947,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
948,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
949,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
950,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
951,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
952,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
953,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
954,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
955,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
956,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
957,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
958,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
959,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
960,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
961,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
962,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
963,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
964,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
965,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
966,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
967,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
968,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
969,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
970,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
971,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
972,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
973,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
974,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
975,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
976,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
977,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
978,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
979,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
980,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
981,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
982,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
983,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
984,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
985,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
986,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
987,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
988,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
989,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
990,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
991,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
992,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
993,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
994,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
995,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
996,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
997,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
998,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
999,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1000,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1001,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
1002,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1003,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1004,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1005,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1006,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1007,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
1008,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1009,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1010,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1011,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1012,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1013,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
1014,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1015,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
1016,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1017,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1018,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
1019,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1020,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
1021,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
1022,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
1023,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1024,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1025,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1026,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1027,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1028,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
1029,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1030,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1031,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
1032,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
1033,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1034,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
1035,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1036,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1037,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1038,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1039,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1040,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1041,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1042,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1043,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
1044,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1045,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1046,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1047,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1048,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
1049,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1050,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1051,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1052,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1053,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1054,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
1055,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1056,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1057,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1058,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1059,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
1060,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1061,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1062,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1063,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
1064,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1065,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1066,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1067,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1068,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1069,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1070,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
1071,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1072,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1073,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
1074,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1075,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
1076,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1077,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
1078,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1079,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
1080,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1081,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
1082,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
1083,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1084,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1085,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1086,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
1087,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1088,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
1089,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1090,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1091,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1092,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1093,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1094,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
1095,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
1096,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1097,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
1098,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1099,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
1104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1105,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1108,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
1109,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
1110,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1111,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
1112,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland,NULL,Water
1113,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
1114,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
1115,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
1116,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1117,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1118,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
1119,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1120,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1121,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1122,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1123,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1124,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1125,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1126,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1127,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1128,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
1129,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1130,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1132,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1133,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1134,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1135,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1136,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1137,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1138,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1139,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1140,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
1141,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1142,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1143,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1144,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1145,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
1146,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1147,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
1148,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1149,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
1150,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1151,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1152,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1153,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1154,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1155,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
1156,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1157,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1158,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1159,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1163,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
1166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
1167,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
1169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
1170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
1172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
1173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
1174,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
1175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
1176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
1177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
1178,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
1179,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1180,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1181,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
1182,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
1183,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1184,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1185,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1186,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1187,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
