Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
47,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
54,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
58,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
60,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
62,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
72,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
73,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
76,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
77,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
79,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
82,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
83,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
84,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
85,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
87,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
88,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
91,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
92,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
93,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
94,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
95,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
96,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
97,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
98,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
100,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
101,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
102,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
103,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
104,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
105,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
107,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
108,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
112,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
114,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
115,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
116,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
120,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Wetland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
127,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
129,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
130,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
131,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
132,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
133,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
134,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
135,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
136,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
137,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
138,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
139,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
140,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
141,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
142,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
143,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
144,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
145,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
146,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
147,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
148,NULL,NULL,Water,Water,Water,Water,Wetland,Water
149,NULL,NULL,Water,Water,Water,Water,Water,Grassland
150,NULL,NULL,Water,Water,Water,Water,Water,Wetland
151,NULL,NULL,Water,Water,Water,Water,Water,Water
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
168,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
172,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
177,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
178,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
183,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
184,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
185,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
189,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
190,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
191,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
192,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
193,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
194,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
195,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
196,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Wetland
197,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
198,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Wetland
199,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
200,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
201,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
202,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
203,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
204,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
205,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
206,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
207,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
208,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
209,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
210,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
211,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Water
212,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
213,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
214,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
215,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
216,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
217,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
218,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
219,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
220,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
221,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
222,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
223,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
224,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
225,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
226,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
227,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
228,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
229,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
230,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
231,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
232,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
233,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
234,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
235,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
236,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
237,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
238,NULL,Wetland,Water,NULL,Water,Wetland,Water,Grassland
239,NULL,Wetland,Water,NULL,Water,Wetland,Water,Wetland
240,NULL,Wetland,Water,NULL,Water,Wetland,Water,Forest
241,NULL,Wetland,Water,NULL,Water,Water,Wetland,Grassland
242,NULL,Wetland,Water,NULL,Water,Water,Wetland,Wetland
243,NULL,Wetland,Water,NULL,Water,Water,Wetland,Bareland
244,NULL,Wetland,Water,NULL,Water,Water,Wetland,Forest
245,NULL,Wetland,Water,NULL,Water,Water,Water,Grassland
246,NULL,Wetland,Water,NULL,Water,Water,Water,Wetland
247,NULL,Wetland,Water,NULL,Water,Water,Water,Water
248,NULL,Wetland,Water,NULL,Water,Water,Water,Forest
249,NULL,Wetland,Water,Non_Water,Water,Water,Wetland,Wetland
250,NULL,Wetland,Water,Non_Water,Water,Water,Water,Forest
251,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
252,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
253,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
254,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
255,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
256,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
257,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
258,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
259,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
260,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
261,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
262,NULL,Wetland,Water,Water,Water,Water,Water,Bareland
263,NULL,Wetland,Water,Water,Water,Water,Water,Water
264,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
265,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Forest
266,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
267,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
268,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
269,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
270,NULL,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
271,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
273,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
274,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
275,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
276,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
277,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
278,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
279,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
280,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
281,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
282,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
283,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
284,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
285,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
286,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Water
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
312,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Forest
313,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
314,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
315,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
316,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Forest
317,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
318,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Water,Water
319,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
320,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
321,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Grassland,Grassland
322,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
323,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
324,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Water
325,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Forest
326,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Water
327,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Forest
328,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Grassland
329,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Water,Forest
330,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Water
331,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Grassland
334,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Built-up
335,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Forest
336,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Forest
337,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,Forest
338,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Water,Forest
339,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
341,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
