Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
85,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
113,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
115,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Forest,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Cropland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
262,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
263,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
264,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
265,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
266,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
269,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Water
270,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
275,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
288,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
292,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
293,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
294,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
297,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
298,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
299,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
306,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Wetland
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
322,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
