Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
101,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
104,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
213,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
216,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
219,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
220,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Wetland
234,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
271,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Bareland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Bareland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
307,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
315,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
318,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
321,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
