Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
238,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
240,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
245,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Wetland
246,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Built-up,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
248,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
250,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
