Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
304,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
323,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
324,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
327,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
