Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R
160,Water,Water,Water,NULL,Water,Water,Forest,Water
161,Water,Water,Water,NULL,Water,Water,Forest,Forest
162,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
163,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
164,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
165,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
166,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
167,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
168,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
169,Water,Water,Water,Non_Water,Water,Water,Water,Water
170,Water,Water,Water,Non_Water,Water,Water,Water,Forest
171,Water,Water,Water,Non_Water,Water,Water,Forest,Water
172,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
173,Water,Water,Water,Water,Water,NULL,Water,Water
174,Water,Water,Water,Water,Water,NULL,Water,Forest
175,Water,Water,Water,Water,Water,Wetland,Wetland,Water
176,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
177,Water,Water,Water,Water,Water,Wetland,Water,Water
178,Water,Water,Water,Water,Water,Wetland,Water,Forest
179,Water,Water,Water,Water,Water,Wetland,Forest,Water
180,Water,Water,Water,Water,Water,Bareland,Water,Water
181,Water,Water,Water,Water,Water,Water,Wetland,Grassland
182,Water,Water,Water,Water,Water,Water,Wetland,Water
183,Water,Water,Water,Water,Water,Water,Wetland,Forest
184,Water,Water,Water,Water,Water,Water,Water,Grassland
185,Water,Water,Water,Water,Water,Water,Water,Bareland
186,Water,Water,Water,Water,Water,Water,Water,Water
187,Water,Water,Water,Water,Water,Water,Water,Forest
188,Water,Water,Water,Water,Water,Water,Forest,Water
189,Water,Water,Water,Water,Water,Water,Forest,Forest
190,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
191,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
192,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
193,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
194,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
195,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
196,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
197,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
198,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
199,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
200,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
201,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
202,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
203,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
204,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
205,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
206,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
207,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
208,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
209,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
210,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
211,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
212,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
213,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
214,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
215,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
216,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
217,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
218,Water,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Forest
219,Water,Forest,Water,Water,Water,Water,Wetland,Water
220,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
221,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
222,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
223,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
224,Forest,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
225,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
226,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
228,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
229,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
230,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
231,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
232,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
233,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
234,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
235,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
236,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
237,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
238,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
239,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
240,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
241,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
242,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
243,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
244,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
245,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Water
246,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
247,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
248,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
249,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
250,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
251,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
252,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Water
253,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
254,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
255,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
256,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
257,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
258,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
259,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
260,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
261,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
262,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
263,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
264,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Water
265,Forest,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
266,Forest,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
267,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
268,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
269,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
270,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
271,Forest,Water,NULL,Water,Non_Wetland,Forest,Forest,Forest
272,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
273,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
274,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
275,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
276,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
277,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
278,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
279,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
280,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
281,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Water
282,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
283,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
284,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
285,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
286,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
287,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
288,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
289,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
290,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
291,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Water
292,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
293,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
294,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
295,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
296,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest,Forest
297,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
298,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
299,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
300,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
301,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
302,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Forest,Water
303,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Water
304,Forest,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
305,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
306,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
307,Forest,Water,Grassland,Water,Non_Wetland,Forest,Forest,Water
308,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
309,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
310,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
311,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
312,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Water
313,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
314,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
315,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
316,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
317,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
318,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
319,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
320,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
321,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
322,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
323,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
324,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
325,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
326,Forest,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
327,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
328,Forest,Water,Wetland,NULL,Wetland,Bareland,Forest,Grassland
329,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
330,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
331,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
332,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
333,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
334,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
335,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
336,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
337,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
338,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
339,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
340,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
341,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
342,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
343,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
344,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
345,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
346,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
347,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
348,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
349,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
350,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
351,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
352,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
353,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
354,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
355,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
356,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
357,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
358,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
359,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
360,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
361,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
362,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
363,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
364,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
365,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
366,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
367,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
368,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
369,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
370,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
371,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
372,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
373,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
374,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
375,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
376,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
377,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
378,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
