Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFS_M_R
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
57,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
69,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
70,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
71,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
72,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
74,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
76,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
77,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
78,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
79,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
80,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
81,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
82,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
83,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
85,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
86,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
87,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
88,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
89,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
90,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
92,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
93,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
94,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
95,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
96,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
97,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
98,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
100,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
101,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
102,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
103,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
104,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
105,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
106,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
107,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
108,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
109,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
110,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
111,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
112,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
113,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
114,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
116,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
117,Grassland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
121,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
125,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
128,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
130,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
132,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
135,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
138,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
139,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
140,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
141,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
142,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
143,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
144,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
145,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
146,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
147,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
148,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
149,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
150,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
151,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
152,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
154,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
155,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
156,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
158,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
159,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
160,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
161,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
162,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
163,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
164,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
165,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
167,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
170,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
171,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
173,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
174,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
175,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
176,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
178,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
179,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
181,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
183,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
184,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
185,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
186,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
187,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
189,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
190,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
191,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
193,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
195,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
197,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
198,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
199,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
200,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
202,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
204,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
205,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
206,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
207,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
208,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
209,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
211,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
212,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
213,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
214,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
217,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
218,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
219,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
220,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
221,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
222,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
223,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
225,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
226,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
227,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
228,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
229,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
230,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
231,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
232,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
233,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
234,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
235,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
236,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
238,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
239,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
240,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
241,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
243,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
245,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
247,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
248,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
249,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
251,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
252,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
253,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
254,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
255,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
256,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
257,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
258,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
259,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
260,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
261,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
262,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
263,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
264,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
265,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
266,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
268,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
269,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
271,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
272,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
273,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
275,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
276,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
277,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
278,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
279,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
280,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
281,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
282,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
284,Wetland,Water,Water,Water,Water,NULL,NULL,Water
285,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
286,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
287,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
288,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
289,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
291,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
292,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
293,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
294,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
295,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
298,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
299,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
300,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
301,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
302,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
304,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
305,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
306,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
307,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
308,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
309,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
310,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
312,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
313,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
315,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
317,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
318,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
320,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
321,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
322,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
324,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
325,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
326,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
327,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
328,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
329,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
330,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
