Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
37,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
55,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
56,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
57,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
58,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Wetland
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
77,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
78,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
89,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
92,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
93,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
94,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
95,NULL,Water,Water,Water,Water,NULL,Water,Water
96,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
97,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
98,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
100,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
102,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
103,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
104,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
105,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
106,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
107,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
108,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
109,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
110,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
111,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
112,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
114,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
115,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
117,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
119,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
120,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
121,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
122,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
123,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
124,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
125,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
126,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
127,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
128,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
129,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
130,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
131,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
132,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
133,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
134,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
135,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
137,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
138,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
139,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
140,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
141,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
142,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
144,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
145,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
146,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
147,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
148,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
149,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
150,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
151,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
152,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
153,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
154,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
155,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
156,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
157,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
158,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
159,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
160,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
161,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
162,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
163,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
164,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
165,Grassland,NULL,Wetland,NULL,NULL,Wetland,Wetland,Wetland
166,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
167,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
168,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
169,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
170,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
171,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
172,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
173,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
174,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
175,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
176,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
177,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
178,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
179,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
180,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
181,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
182,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
183,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
184,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
185,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
186,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
187,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
188,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
189,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
190,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
191,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
192,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Wetland
193,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
194,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
195,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
196,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
197,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
198,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
199,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
200,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
201,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
202,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
203,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
204,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
205,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
206,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
207,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
208,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
209,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
210,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
211,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
212,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
213,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
214,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
215,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
216,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
218,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
219,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
220,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
221,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
222,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
223,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
224,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
225,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
226,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
227,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
228,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
229,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
230,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
231,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
232,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
233,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
234,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
235,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
236,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
237,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
239,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
240,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
241,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
242,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
243,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
244,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
245,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
246,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
247,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
248,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
249,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
250,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
251,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
252,Grassland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
253,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
254,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
255,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
256,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
257,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
258,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
259,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
260,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
261,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
262,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
263,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
264,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
265,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
266,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
267,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
268,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
269,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
270,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
271,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
272,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
273,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
274,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
275,Cropland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
276,Cropland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
277,Cropland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
278,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
279,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
280,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
281,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
282,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
283,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
284,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
289,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
290,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
291,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
292,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
293,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
294,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
295,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
296,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
297,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
298,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
299,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
300,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
301,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
302,Cropland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
303,Cropland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
304,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
305,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
306,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
307,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
308,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
309,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
310,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
311,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
312,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
313,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
314,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
315,Cropland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
316,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
317,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
319,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
320,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
321,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
322,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
