Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Water
52,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
53,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
137,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
138,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
140,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
145,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
164,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
165,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
167,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
168,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
170,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
171,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
172,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
173,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
174,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
175,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
176,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
177,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
179,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
180,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
181,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
182,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
183,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
185,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
187,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
188,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
190,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
191,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
192,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
193,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
194,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
195,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
199,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
204,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
207,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Forest,Grassland
209,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Water
211,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
212,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
213,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
214,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
216,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
229,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
233,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
234,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
242,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
247,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
251,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
253,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
254,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
263,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
264,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
269,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Forest
270,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
271,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
274,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
275,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
276,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
277,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
278,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
282,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
284,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
287,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
288,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
289,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
290,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
292,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
293,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
294,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
295,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
296,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
298,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
302,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
306,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
307,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
308,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
310,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
311,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
312,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Water
314,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
315,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Wetland,Water
317,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
318,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
319,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
320,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
321,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
322,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
323,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Wetland,Water
324,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Water,Water
325,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
328,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
