Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEE_M_R
3905,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
3906,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3907,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3908,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
3909,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3910,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
3911,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3912,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3913,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
3914,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
3915,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
3916,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
3917,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
3918,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
3919,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
3920,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
3921,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
3922,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
3923,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
3924,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
3925,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
3926,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
3927,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3928,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3929,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3930,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3931,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
3932,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3933,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3934,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3935,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3936,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3937,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
3938,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3939,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
3940,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
3941,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3942,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3943,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3944,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
3945,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
3946,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3947,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3948,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
3949,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3950,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
3951,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3952,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3953,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
3954,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3955,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3956,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3957,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
3958,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3959,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3960,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3961,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
3962,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3963,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
3964,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3965,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3966,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3967,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
3968,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3969,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3970,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3971,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3972,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3973,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3974,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3975,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3976,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
3977,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3978,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3979,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3980,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3981,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3982,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
3983,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3984,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3985,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3986,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3987,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
3988,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3989,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3990,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3991,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3992,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3993,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3994,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3995,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3996,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3997,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3998,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
3999,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4000,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4001,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
4002,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
4003,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4004,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4005,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4006,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
4007,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
4008,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4009,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
4010,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
4011,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
4012,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4013,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
4014,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4015,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
4016,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4017,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4018,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
4019,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4020,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4021,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4022,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
4023,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
4024,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
4025,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4026,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4027,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
4028,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4029,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
4030,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
4031,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4032,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4033,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
4034,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4035,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4036,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4037,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4038,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4039,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
4040,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4041,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
4042,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4043,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4044,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
4045,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4046,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4047,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
4048,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
4049,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
4050,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4051,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
4052,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4053,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
4054,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
4055,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
4056,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
4057,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
4058,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
4059,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
4060,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4061,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4062,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
4063,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4064,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4065,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4066,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
4067,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4068,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
4069,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4070,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Cropland
4071,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4072,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
4073,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
4074,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
4075,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
4076,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
4077,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4078,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
4079,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4080,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
4081,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
4082,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4083,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4084,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4085,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
4086,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4087,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
4088,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
4089,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
4090,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
4091,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
4092,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4093,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Water
4094,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
4095,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
4096,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
4097,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
4098,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
4099,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Cropland
4100,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
4101,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
4102,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Cropland
4103,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
4104,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
4105,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4106,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4107,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4108,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4109,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
4110,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4111,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4112,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
4113,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4114,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4115,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4116,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4117,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
4118,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
4119,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4120,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
4121,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4122,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4123,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4124,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
4125,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
4126,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Built-up
4127,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
4128,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
4129,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
4130,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
4131,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4132,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4133,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
4134,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
4135,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
4136,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Wetland
4137,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
4138,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
4139,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4140,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
4141,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4142,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4143,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4144,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
4145,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4146,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4147,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4148,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
4149,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4150,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
4151,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4152,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4153,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4154,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4155,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4156,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4157,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4158,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4159,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4160,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4161,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4162,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4163,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4164,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4165,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4166,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
4167,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
4168,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4169,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4170,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4171,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
4172,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4173,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
4174,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
4175,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4176,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4177,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4178,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
4179,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4180,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4181,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
4182,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
4183,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Water
4184,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
4185,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
4186,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
4187,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
4188,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4189,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
4190,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
4191,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
4192,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
4193,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4194,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
4195,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4196,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
4197,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4198,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
4199,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4200,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
4201,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4202,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4203,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
4204,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Cropland
4205,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,NULL
4206,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
4207,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Cropland
4208,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
4209,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4210,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
4211,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
4212,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
4213,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4214,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4215,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4216,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Cropland
