Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
35,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
36,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
37,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Forest,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Wetland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
156,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
159,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
163,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
166,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
178,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
181,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Wetland
188,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Built-up
189,NULL,NULL,Wetland,NULL,Wetland,Built-up,Forest,Built-up
190,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
191,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
193,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
196,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
197,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
198,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
200,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
201,NULL,NULL,Wetland,Non_Water,Wetland,Built-up,Forest,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
203,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
205,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
209,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
210,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
211,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
212,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
213,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
214,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
215,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
219,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
221,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
222,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
223,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
224,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
226,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
228,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
229,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Wetland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
240,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
242,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
244,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
245,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
246,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
248,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
249,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
250,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
251,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
252,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
253,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
259,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
262,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
265,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
268,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
271,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
274,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
280,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
291,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
292,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
293,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
294,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
295,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
296,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
297,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
298,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
299,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
300,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
301,NULL,Wetland,Water,Water,Water,Water,Water,Water
302,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
303,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
305,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
306,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
307,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
309,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
310,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
311,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
312,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
315,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
317,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
318,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
319,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
321,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
322,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
323,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Water
324,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
325,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
326,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
327,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
328,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
