Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTV_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
70,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
74,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
75,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
76,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
77,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
78,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
79,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
80,NULL,NULL,Water,Water,Water,NULL,NULL,Water
81,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
103,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
114,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
137,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
138,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
139,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
140,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
141,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
142,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
146,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
151,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
153,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
154,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
155,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
176,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
177,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
178,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
179,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
188,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
192,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
200,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
203,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
204,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
205,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
206,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
210,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
211,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
215,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
217,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
218,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
219,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
220,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
221,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
222,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
224,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
225,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
227,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
232,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
233,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
234,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
236,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
237,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
238,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
239,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
241,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
242,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
243,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
244,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
247,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
248,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
249,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
251,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
252,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
253,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
254,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
255,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
256,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
257,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
259,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
261,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
262,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
264,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
265,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
266,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
267,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
268,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
269,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
270,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
271,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
272,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
273,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
274,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
278,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
279,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
280,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
281,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
284,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
285,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
287,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
288,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
290,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
291,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
292,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
293,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
296,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
298,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
299,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
300,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
302,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
304,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
306,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
307,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
309,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
310,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
312,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
314,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
315,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
317,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
318,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
321,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
322,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
323,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
324,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
325,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
326,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
327,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
328,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
329,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
331,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
332,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
334,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,Cropland,Water,NULL,Water,NULL,NULL,NULL
336,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
337,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
338,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
