Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFV_M_R
75,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
76,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
77,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
78,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
79,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
80,NULL,Wetland,Water,NULL,Water,Bareland,Water,NULL
81,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
82,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
83,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,NULL
84,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
85,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
86,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Water,NULL
87,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
88,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
89,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
90,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
91,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
92,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,NULL
97,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
98,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
99,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
100,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
101,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
102,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
104,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
105,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,NULL
106,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,NULL
107,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Water,NULL
108,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
109,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
110,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
111,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
112,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
113,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
114,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
115,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,NULL
116,NULL,Built-up,Water,NULL,Water,Wetland,Bareland,NULL
117,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,NULL
118,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,NULL
119,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
120,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
121,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
122,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,NULL
123,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
124,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,NULL
125,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
126,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
127,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
128,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
129,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
130,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
131,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
132,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
133,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
134,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
135,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
136,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
138,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
139,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
140,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
141,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
142,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
143,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
144,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
145,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
146,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
147,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
148,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
149,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
150,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
151,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
152,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
153,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
154,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
155,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
156,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
157,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
158,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
159,NULL,Water,Water,NULL,Water,Bareland,Wetland,NULL
160,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
161,NULL,Water,Water,NULL,Water,Water,NULL,NULL
162,NULL,Water,Water,NULL,Water,Water,Wetland,NULL
163,NULL,Water,Water,NULL,Water,Water,Water,NULL
164,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
165,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
166,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,NULL
167,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
168,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
169,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
170,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,NULL
171,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
172,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Water,NULL
173,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
174,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
176,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
181,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
182,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
183,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
184,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
185,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
186,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
187,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
188,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
189,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
190,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
191,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
192,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
193,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
194,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
195,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
196,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,NULL
197,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
198,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
199,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Water,NULL
200,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
201,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
202,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
205,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
206,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
207,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
208,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
209,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
210,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
211,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
212,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
213,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
214,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,NULL
215,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
216,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
217,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
218,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
219,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
220,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
221,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
222,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
223,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
224,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
225,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
226,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
227,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
228,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
229,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
230,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
231,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
232,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
233,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
234,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
235,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
236,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
237,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
238,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
239,Wetland,Water,Wetland,NULL,Wetland,Water,Water,NULL
240,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
241,Wetland,Water,Water,NULL,Water,Water,Water,NULL
242,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
243,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
244,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
245,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
246,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
247,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
248,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
249,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,Water,NULL
250,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
251,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
252,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
253,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
254,Bareland,NULL,Water,NULL,Water,Water,Water,NULL
255,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
256,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
257,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
258,Bareland,Wetland,Water,NULL,Water,Water,Water,NULL
259,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
260,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
261,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,NULL
262,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
263,Bareland,Bareland,Water,NULL,Water,Bareland,Water,NULL
264,Bareland,Bareland,Water,NULL,Water,Water,Water,NULL
265,Bareland,Bareland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
266,Bareland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
267,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
268,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
269,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
270,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
271,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
272,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
273,Bareland,Water,Wetland,NULL,Wetland,Water,Water,NULL
274,Bareland,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
275,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
276,Bareland,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
277,Bareland,Water,Water,NULL,Water,Wetland,Water,NULL
278,Bareland,Water,Water,NULL,Water,Bareland,Water,NULL
279,Bareland,Water,Water,NULL,Water,Water,Wetland,NULL
280,Bareland,Water,Water,NULL,Water,Water,Water,NULL
281,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
282,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
283,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
284,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
285,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
286,Water,NULL,Wetland,NULL,Wetland,Water,Water,NULL
287,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
288,Water,NULL,Water,NULL,Water,Wetland,Wetland,NULL
289,Water,NULL,Water,NULL,Water,Wetland,Water,NULL
290,Water,NULL,Water,NULL,Water,Water,Water,NULL
291,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
292,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
293,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,NULL
294,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
295,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
296,Water,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
297,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
298,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
299,Water,Wetland,Water,NULL,Water,Wetland,Water,NULL
300,Water,Wetland,Water,NULL,Water,Water,Water,NULL
301,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,NULL
302,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
303,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
304,Water,Bareland,Wetland,NULL,Wetland,Bareland,Water,NULL
305,Water,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
306,Water,Bareland,Water,NULL,Water,Wetland,Wetland,NULL
307,Water,Bareland,Water,NULL,Water,Bareland,Water,NULL
308,Water,Bareland,Water,NULL,Water,Water,Wetland,NULL
309,Water,Bareland,Water,NULL,Water,Water,Water,NULL
310,Water,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
311,Water,Built-up,Water,NULL,Water,Wetland,Wetland,NULL
312,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
313,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
314,Water,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
315,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
316,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
317,Water,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
318,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,NULL
319,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
320,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
321,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
322,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
323,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
324,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
325,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
326,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
327,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
328,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
329,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
330,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
331,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,NULL
332,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,NULL
333,Water,Water,Wetland,NULL,Wetland,NULL,Water,NULL
334,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,NULL
335,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
336,Water,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
337,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
338,Water,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
339,Water,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
340,Water,Water,Wetland,NULL,Wetland,Water,Water,NULL
341,Water,Water,Wetland,NULL,Wetland,Water,Forest,NULL
342,Water,Water,Wetland,NULL,Wetland,Forest,Water,NULL
343,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,NULL
344,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,NULL
345,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
346,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
347,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
348,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
349,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
