Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MWB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MWB_M_R
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,NULL
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,NULL
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Shrubland,NULL
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Bareland,NULL
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Water,NULL
142,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,NULL
143,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,NULL
144,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,NULL
145,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,NULL
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,NULL
149,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
150,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
151,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,NULL,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
154,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
155,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
156,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
157,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
158,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
159,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
164,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
165,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
166,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
168,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
169,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,NULL
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
172,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
173,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
174,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
175,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
176,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
177,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
178,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
179,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
180,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
181,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
182,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
183,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
191,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
192,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
193,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
194,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
198,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
199,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
200,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
201,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,NULL
202,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
203,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,NULL
204,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,NULL
205,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Water,NULL
206,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
207,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
208,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
209,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
210,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Built-up,NULL
211,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Water,NULL
212,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
213,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
214,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
215,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
216,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,NULL
217,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
218,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
219,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
220,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
224,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,NULL
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Forest,NULL
226,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
227,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
228,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
230,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
231,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
232,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
233,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
234,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,NULL
235,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,NULL
236,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,NULL,NULL
237,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,NULL
238,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,NULL
239,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Bareland,NULL
240,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Built-up,NULL
241,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,NULL
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,NULL
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,NULL
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Bareland,NULL
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Water,NULL
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,NULL
247,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,NULL
248,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,NULL
249,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,NULL
250,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Bareland,NULL
251,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,NULL
252,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,NULL
253,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,NULL
254,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,NULL
255,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,NULL
256,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
257,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,NULL
258,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Shrubland,NULL
259,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,NULL
260,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,NULL
261,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,NULL
262,NULL,NULL,Cropland,Water,Non_Wetland,Forest,NULL,NULL
263,NULL,NULL,Cropland,Water,Non_Wetland,Forest,Bareland,NULL
264,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
265,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,NULL
266,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,NULL
267,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
268,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
269,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,NULL
270,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
271,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
272,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
273,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,NULL
274,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Built-up,NULL
275,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,NULL
276,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
285,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,NULL
286,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
287,NULL,NULL,Wetland,NULL,Wetland,Built-up,NULL,NULL
288,NULL,NULL,Wetland,NULL,Wetland,Built-up,Shrubland,NULL
289,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,NULL
290,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,NULL
291,NULL,NULL,Wetland,NULL,Wetland,Built-up,Forest,NULL
292,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,NULL
293,NULL,NULL,Wetland,NULL,Wetland,Forest,Shrubland,NULL
294,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,NULL
295,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
296,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
297,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,NULL
298,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,NULL
299,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,NULL
300,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
301,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Bareland,NULL
302,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
303,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,NULL
304,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
305,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,NULL
306,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,NULL
307,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
308,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,NULL
309,NULL,NULL,Wetland,Non_Water,Wetland,Built-up,Built-up,NULL
310,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,NULL
311,NULL,NULL,Wetland,Non_Water,Wetland,Forest,NULL,NULL
312,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,NULL
313,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Bareland,NULL
314,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Water,NULL
315,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Forest,NULL
316,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland,NULL
317,NULL,NULL,Wetland,Water,Wetland,NULL,Water,NULL
318,NULL,NULL,Wetland,Water,Wetland,Shrubland,NULL,NULL
319,NULL,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,NULL
320,NULL,NULL,Wetland,Water,Wetland,Shrubland,Bareland,NULL
321,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,NULL
322,NULL,NULL,Wetland,Water,Wetland,Shrubland,Forest,NULL
323,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,NULL
324,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,NULL
325,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,NULL
326,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,NULL
327,NULL,NULL,Wetland,Water,Wetland,Bareland,Built-up,NULL
328,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,NULL
329,NULL,NULL,Wetland,Water,Wetland,Built-up,Built-up,NULL
330,NULL,NULL,Wetland,Water,Wetland,Water,NULL,NULL
331,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,NULL
332,NULL,NULL,Wetland,Water,Wetland,Water,Water,NULL
333,NULL,NULL,Wetland,Water,Wetland,Forest,NULL,NULL
