Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
129,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
130,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
133,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
156,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
159,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
161,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
162,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
163,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
166,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
172,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
173,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
174,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
175,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Built-up
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
324,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
325,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
327,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
