Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGC_M_R
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
213,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
219,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
220,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
223,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Built-up
224,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
230,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
267,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Wetland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Bareland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
308,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
321,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
