Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLS_M_R
1783,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Cropland
1784,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Bareland
1785,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Built-up
1786,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
1787,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1788,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1789,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
1790,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1791,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Grassland
1792,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Cropland
1793,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
1794,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
1795,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
1796,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
1797,NULL,Cropland,Water,NULL,Water,NULL,Water,Grassland
1798,NULL,Cropland,Water,NULL,Water,Grassland,NULL,Grassland
1799,NULL,Cropland,Water,NULL,Water,Grassland,Water,Grassland
1800,NULL,Cropland,Water,Non_Water,Water,NULL,Water,Grassland
1801,NULL,Cropland,Water,Non_Water,Water,Water,NULL,Grassland
1802,NULL,Cropland,Water,Non_Water,Water,Water,Water,Wetland
1803,NULL,Cropland,Water,Non_Water,Water,Water,Water,Water
1804,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
1805,NULL,Cropland,Water,Water,Water,NULL,Water,Grassland
1806,NULL,Cropland,Water,Water,Water,NULL,Water,Built-up
1807,NULL,Cropland,Water,Water,Water,Grassland,Water,Grassland
1808,NULL,Cropland,Water,Water,Water,Wetland,Water,Wetland
1809,NULL,Cropland,Water,Water,Water,Water,Water,Water
1810,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1811,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1812,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1813,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1814,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1815,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1816,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
1817,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1818,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1819,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1820,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
1821,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1822,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
1823,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1824,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1825,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
1826,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1827,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1828,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1829,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1830,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1831,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1832,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1833,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1834,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
1835,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1836,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1837,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
1838,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
1839,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1840,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1841,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1842,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1843,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1844,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1845,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1846,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1847,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1848,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1849,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1850,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
1851,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1852,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1853,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
1854,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1855,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1856,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1857,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1858,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
1859,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1860,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1861,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
1862,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1863,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1864,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1865,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1866,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1867,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1868,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
1869,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1870,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
1871,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1872,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1873,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1874,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1875,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
1876,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1877,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
1878,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
1879,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1880,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1881,NULL,Cropland,Forest,NULL,Non_Wetland,Water,NULL,Grassland
1882,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1883,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1884,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
1885,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1886,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1887,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
1888,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1889,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1890,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1891,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
1892,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1893,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1894,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1895,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1896,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
1897,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1898,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1899,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1900,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1901,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
1902,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1903,NULL,Cropland,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
1904,NULL,Cropland,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
1905,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
1906,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1907,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1908,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1909,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1910,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1911,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1912,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1913,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1914,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1915,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1916,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1917,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
1918,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1919,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1920,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
1921,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
1922,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
1923,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1924,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
1925,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Cropland
1926,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1927,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1928,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1929,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1930,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1931,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1932,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1933,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1934,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1935,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1936,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
1937,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1938,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
1939,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
1940,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
1941,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1942,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1943,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1944,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1945,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1946,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1947,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1948,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1949,NULL,Bareland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
1950,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1951,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1952,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1953,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1954,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1955,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1956,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1957,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1958,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1959,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1960,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1961,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1962,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1963,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1964,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
1965,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1966,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1967,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1968,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1969,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
1970,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1971,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1972,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1973,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1974,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
1975,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
1976,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1977,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1978,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1979,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
1980,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
1981,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
1982,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1983,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
1984,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
1985,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
1986,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
1987,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
1988,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,Grassland
1989,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,Built-up
1990,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,Forest
1991,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1992,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
1993,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1994,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1995,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1996,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1997,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1998,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1999,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2000,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2001,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
2002,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2003,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2004,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2005,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2006,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2007,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2008,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
2009,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
2010,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
2011,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
2012,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2013,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2014,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2015,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2016,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2017,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
2018,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
2019,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
2020,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2021,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
2022,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
2023,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
2024,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2025,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2026,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
2027,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2028,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2029,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
2030,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
2031,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
2032,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
2033,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
2034,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
2035,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
2036,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
2037,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
2038,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
2039,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
2040,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
2041,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
2042,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2043,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
2044,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
2045,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2046,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
2047,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
2048,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2049,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
2050,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
2051,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
2052,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
2053,NULL,Built-up,NULL,NULL,Non_Wetland,Water,NULL,Grassland
2054,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
2055,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2056,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2057,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2058,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
2059,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
2060,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Built-up
2061,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
2062,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2063,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2064,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
2065,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
2066,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
2067,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up,Built-up
2068,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
2069,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2070,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
2071,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
2072,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
2073,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2074,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
2075,NULL,Built-up,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
2076,NULL,Built-up,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
2077,NULL,Built-up,NULL,Non_Water,Non_Wetland,Water,Water,Forest
2078,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Built-up,Bareland
2079,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2080,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2081,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
2082,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2083,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
2084,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2085,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2086,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2087,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2088,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2089,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
2090,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
2091,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2092,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2093,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
2094,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2095,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
2096,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
2097,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
2098,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
2099,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
2100,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
2101,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
2102,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
2103,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
2104,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
2105,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
2106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
2107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
