Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
44,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
56,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
60,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
62,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
66,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
67,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
68,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
69,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
72,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
75,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
76,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
87,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
92,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
93,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
94,NULL,NULL,Water,Water,Water,Water,Water,Wetland
95,NULL,NULL,Water,Water,Water,Water,Water,Water
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
109,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
111,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
119,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
120,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
122,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
123,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
124,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
127,NULL,Bareland,Wetland,NULL,Wetland,Water,Bareland,Forest
128,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
129,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
130,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
131,NULL,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
132,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
134,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
147,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
148,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
149,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
150,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
151,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Forest
152,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
153,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
160,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
164,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
166,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
167,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
168,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
169,NULL,Water,Wetland,NULL,Wetland,Water,Water,Wetland
170,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
171,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
172,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
173,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
174,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
175,NULL,Water,Wetland,Water,Wetland,Water,Bareland,Bareland
176,NULL,Water,Water,NULL,Water,Wetland,Wetland,Forest
177,NULL,Water,Water,Water,Water,Water,Water,Wetland
178,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
179,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
180,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
182,NULL,Forest,NULL,NULL,Non_Wetland,Water,Bareland,Forest
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
188,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
189,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Forest
190,NULL,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
191,NULL,Forest,Wetland,Water,Wetland,Grassland,Water,Forest
192,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
193,NULL,Forest,Wetland,Water,Wetland,Bareland,Bareland,Forest
194,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
196,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
198,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
200,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
201,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
202,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
203,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
204,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
205,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
206,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
207,Grassland,Water,Water,NULL,Water,Water,Water,Water
208,Cropland,Water,Water,Water,Water,Water,Water,Water
209,Cropland,Water,Water,Water,Water,Water,Water,Forest
210,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
211,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
212,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
213,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
214,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
215,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
216,Wetland,NULL,Water,Water,Water,Wetland,Water,Wetland
217,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
218,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
219,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
220,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
221,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
222,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
223,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
224,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
225,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
226,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Forest
227,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
228,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
229,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
230,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
231,Wetland,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
232,Wetland,Wetland,Water,Water,Water,Water,Water,Water
233,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
234,Wetland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
235,Wetland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
236,Wetland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
237,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
238,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
239,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
240,Wetland,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
241,Wetland,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
242,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
243,Wetland,Water,Water,Non_Water,Water,Water,Water,Forest
244,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
245,Wetland,Water,Water,Water,Water,Wetland,Water,Forest
246,Wetland,Water,Water,Water,Water,Water,Water,Wetland
247,Wetland,Water,Water,Water,Water,Water,Water,Water
248,Wetland,Water,Water,Water,Water,Water,Water,Forest
249,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
250,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
251,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Water,Wetland
252,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
253,Wetland,Forest,Wetland,NULL,Wetland,Water,Water,Forest
254,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
255,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
256,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
257,Wetland,Forest,Water,Water,Water,Bareland,Water,Water
258,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
259,Bareland,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
260,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
261,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
262,Bareland,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
263,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
264,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
265,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
266,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
267,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
268,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
269,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
270,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
271,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
272,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
273,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
275,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
276,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
277,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
278,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
279,Bareland,Bareland,Wetland,NULL,Wetland,Water,Bareland,Grassland
280,Bareland,Bareland,Wetland,NULL,Wetland,Water,Bareland,Forest
281,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
282,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
283,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
284,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
285,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Forest
286,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
287,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
288,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
289,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
290,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
291,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
292,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Grassland
293,Bareland,Bareland,Water,NULL,Water,Water,Bareland,Forest
294,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
295,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Grassland
296,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Water
297,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Forest
298,Bareland,Bareland,Water,Water,Water,Water,Bareland,Water
299,Bareland,Bareland,Water,Water,Water,Water,Water,Water
300,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
301,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
302,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
303,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
304,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
305,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
307,Bareland,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
308,Bareland,Water,NULL,Water,Non_Wetland,Water,Bareland,Forest
309,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
310,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
311,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
312,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
313,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
314,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
315,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
316,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
317,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
318,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
319,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
320,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
321,Bareland,Water,Wetland,NULL,Wetland,Water,Bareland,Grassland
322,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
323,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Bareland
324,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
325,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
326,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
327,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Water
328,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
329,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Grassland
330,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Water
331,Bareland,Water,Water,NULL,Water,Water,Water,Water
332,Bareland,Water,Water,Water,Water,Bareland,Bareland,Grassland
333,Bareland,Water,Water,Water,Water,Bareland,Bareland,Water
334,Bareland,Water,Water,Water,Water,Bareland,Bareland,Forest
335,Bareland,Water,Water,Water,Water,Water,Bareland,Water
336,Bareland,Water,Water,Water,Water,Water,Water,Water
337,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
338,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
339,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
340,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
341,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
