Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTB_M_R
9878,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,NULL
9879,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
9880,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Cropland
9881,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Wetland
9882,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Bareland
9883,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
9884,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
9885,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
9886,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
9887,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Bareland
9888,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
9889,Wetland,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
9890,Wetland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
9891,Wetland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
9892,Wetland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
9893,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
9894,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
9895,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Water
9896,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
9897,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
9898,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
9899,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
9900,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
9901,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
9902,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
9903,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
9904,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
9905,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Bareland
9906,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Built-up
9907,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Water
9908,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
9909,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
9910,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Built-up,Wetland
9911,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
9912,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
9913,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
9914,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
9915,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
9916,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
9917,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
9918,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
9919,Wetland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
9920,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
9921,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Cropland
9922,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
9923,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Water
9924,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
9925,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
9926,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
9927,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
9928,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
9929,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
9930,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
9931,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
9932,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
9933,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
9934,Wetland,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
9935,Wetland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
9936,Wetland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Wetland
9937,Wetland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Forest
9938,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
9939,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
9940,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
9941,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
9942,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
9943,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
9944,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
9945,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
9946,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
9947,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
9948,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Built-up
9949,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
9950,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Wetland
9951,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
9952,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
9953,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
9954,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
9955,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
9956,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
9957,Wetland,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
9958,Wetland,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
9959,Wetland,NULL,Wetland,NULL,Wetland,Water,Shrubland,NULL
9960,Wetland,NULL,Wetland,NULL,Wetland,Water,Shrubland,Grassland
9961,Wetland,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
9962,Wetland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
9963,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
9964,Wetland,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
9965,Wetland,NULL,Wetland,NULL,Wetland,Water,Bareland,Wetland
9966,Wetland,NULL,Wetland,NULL,Wetland,Water,Bareland,Bareland
9967,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
9968,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
9969,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
9970,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
9971,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Water
9972,Wetland,NULL,Wetland,NULL,Wetland,Forest,NULL,NULL
9973,Wetland,NULL,Wetland,NULL,Wetland,Forest,NULL,Grassland
9974,Wetland,NULL,Wetland,NULL,Wetland,Forest,NULL,Cropland
9975,Wetland,NULL,Wetland,NULL,Wetland,Forest,NULL,Wetland
9976,Wetland,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
9977,Wetland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,NULL
9978,Wetland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
9979,Wetland,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Water
9980,Wetland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
9981,Wetland,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
9982,Wetland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
9983,Wetland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
9984,Wetland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Bareland
9985,Wetland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
9986,Wetland,NULL,Wetland,NULL,Wetland,Forest,Bareland,NULL
9987,Wetland,NULL,Wetland,NULL,Wetland,Forest,Bareland,Grassland
9988,Wetland,NULL,Wetland,NULL,Wetland,Forest,Bareland,Wetland
9989,Wetland,NULL,Wetland,NULL,Wetland,Forest,Bareland,Bareland
9990,Wetland,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
9991,Wetland,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
9992,Wetland,NULL,Wetland,NULL,Wetland,Forest,Water,Grassland
9993,Wetland,NULL,Wetland,NULL,Wetland,Forest,Water,Wetland
9994,Wetland,NULL,Wetland,NULL,Wetland,Forest,Water,Bareland
9995,Wetland,NULL,Wetland,NULL,Wetland,Forest,Water,Water
9996,Wetland,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
9997,Wetland,NULL,Wetland,NULL,Wetland,Forest,Forest,Wetland
9998,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
9999,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Shrubland,Wetland
10000,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
10001,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
10002,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,Wetland
10003,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
10004,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Wetland
10005,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,NULL
10006,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
10007,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Cropland
10008,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
10009,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
10010,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
10011,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
10012,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
10013,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
10014,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
10015,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Bareland,NULL
10016,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Bareland,Grassland
10017,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Bareland,Cropland
10018,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Bareland,Wetland
10019,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
10020,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
10021,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
10022,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Water
10023,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
10024,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Wetland
10025,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
10026,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
10027,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
10028,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Wetland
10029,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
10030,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
10031,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
10032,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
10033,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
10034,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,NULL
10035,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
10036,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Wetland
10037,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Bareland
10038,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Water
10039,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Built-up,Grassland
10040,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Built-up,Wetland
10041,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,NULL
10042,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
10043,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
10044,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
10045,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
10046,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Wetland
10047,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
10048,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
10049,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
10050,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
10051,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
10052,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
10053,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
10054,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Wetland
10055,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
10056,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
10057,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Wetland
10058,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Shrubland,Grassland
10059,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Shrubland,Wetland
10060,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
10061,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
10062,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
10063,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
10064,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
10065,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
10066,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
10067,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
10068,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Built-up,Grassland
10069,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,NULL
10070,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
10071,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
10072,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
10073,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
10074,Wetland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
10075,Wetland,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
10076,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Shrubland,Grassland
10077,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
10078,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Cropland
10079,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Bareland,Grassland
10080,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Bareland,Wetland
10081,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
10082,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
10083,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
10084,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
10085,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
10086,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,Grassland
10087,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
10088,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Cropland
10089,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
10090,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Bareland,Grassland
10091,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Bareland,Wetland
10092,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Grassland
10093,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Wetland
10094,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Bareland
10095,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
10096,Wetland,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
10097,Wetland,NULL,Wetland,Water,NULL,Grassland,Water,Wetland
10098,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
10099,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
10100,Wetland,NULL,Wetland,Water,Wetland,NULL,Shrubland,Grassland
10101,Wetland,NULL,Wetland,Water,Wetland,NULL,Shrubland,Wetland
10102,Wetland,NULL,Wetland,Water,Wetland,NULL,Shrubland,Water
10103,Wetland,NULL,Wetland,Water,Wetland,NULL,Grassland,Grassland
10104,Wetland,NULL,Wetland,Water,Wetland,NULL,Grassland,Wetland
10105,Wetland,NULL,Wetland,Water,Wetland,NULL,Grassland,Water
10106,Wetland,NULL,Wetland,Water,Wetland,NULL,Bareland,Grassland
10107,Wetland,NULL,Wetland,Water,Wetland,NULL,Bareland,Wetland
10108,Wetland,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
10109,Wetland,NULL,Wetland,Water,Wetland,NULL,Forest,Water
10110,Wetland,NULL,Wetland,Water,Wetland,Shrubland,NULL,NULL
10111,Wetland,NULL,Wetland,Water,Wetland,Shrubland,NULL,Grassland
10112,Wetland,NULL,Wetland,Water,Wetland,Shrubland,NULL,Wetland
10113,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,NULL
10114,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
10115,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
10116,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Bareland
10117,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Water
10118,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Forest
10119,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
10120,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Water
10121,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Bareland,Grassland
10122,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Bareland,Wetland
10123,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Bareland,Bareland
10124,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Bareland,Water
10125,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Bareland,Forest
10126,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,NULL
10127,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
10128,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Wetland
10129,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Bareland
10130,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Water
10131,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Forest
10132,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Forest,Grassland
10133,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Forest,Wetland
10134,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Forest,Water
10135,Wetland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
10136,Wetland,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
10137,Wetland,NULL,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
10138,Wetland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
10139,Wetland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
10140,Wetland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
10141,Wetland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Wetland
10142,Wetland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Bareland
10143,Wetland,NULL,Wetland,Water,Wetland,Grassland,Bareland,Water
10144,Wetland,NULL,Wetland,Water,Wetland,Grassland,Built-up,Grassland
10145,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,NULL
10146,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
10147,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
10148,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
10149,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
10150,Wetland,NULL,Wetland,Water,Wetland,Grassland,Forest,Wetland
10151,Wetland,NULL,Wetland,Water,Wetland,Grassland,Forest,Water
10152,Wetland,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
10153,Wetland,NULL,Wetland,Water,Wetland,Wetland,Shrubland,Water
10154,Wetland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Cropland
10155,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
10156,Wetland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
10157,Wetland,NULL,Wetland,Water,Wetland,Wetland,Bareland,Wetland
10158,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
10159,Wetland,NULL,Wetland,Water,Wetland,Wetland,Forest,Wetland
10160,Wetland,NULL,Wetland,Water,Wetland,Bareland,NULL,Grassland
10161,Wetland,NULL,Wetland,Water,Wetland,Bareland,NULL,Wetland
10162,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,NULL
10163,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
10164,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Wetland
10165,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
10166,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Built-up
10167,Wetland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
10168,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
10169,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
10170,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
10171,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
10172,Wetland,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
10173,Wetland,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
10174,Wetland,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
10175,Wetland,NULL,Wetland,Water,Wetland,Water,NULL,Water
10176,Wetland,NULL,Wetland,Water,Wetland,Water,Shrubland,Grassland
10177,Wetland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
10178,Wetland,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
10179,Wetland,NULL,Wetland,Water,Wetland,Water,Bareland,Wetland
10180,Wetland,NULL,Wetland,Water,Wetland,Water,Bareland,Water
10181,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
10182,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
10183,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
10184,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
10185,Wetland,NULL,Wetland,Water,Wetland,Water,Forest,Wetland
10186,Wetland,NULL,Wetland,Water,Wetland,Water,Forest,Water
10187,Wetland,NULL,Wetland,Water,Wetland,Forest,NULL,Grassland
10188,Wetland,NULL,Wetland,Water,Wetland,Forest,NULL,Wetland
10189,Wetland,NULL,Wetland,Water,Wetland,Forest,Shrubland,Grassland
10190,Wetland,NULL,Wetland,Water,Wetland,Forest,Shrubland,Wetland
10191,Wetland,NULL,Wetland,Water,Wetland,Forest,Shrubland,Water
10192,Wetland,NULL,Wetland,Water,Wetland,Forest,Wetland,Wetland
10193,Wetland,NULL,Wetland,Water,Wetland,Forest,Bareland,Wetland
10194,Wetland,NULL,Wetland,Water,Wetland,Forest,Water,Grassland
10195,Wetland,NULL,Wetland,Water,Wetland,Forest,Water,Wetland
10196,Wetland,NULL,Wetland,Water,Wetland,Forest,Water,Water
10197,Wetland,NULL,Wetland,Water,Wetland,Forest,Forest,Grassland
10198,Wetland,NULL,Wetland,Water,Wetland,Forest,Forest,Wetland
10199,Wetland,NULL,Wetland,Water,Wetland,Forest,Forest,Water
10200,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10201,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
10202,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Shrubland,NULL
10203,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
10204,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Cropland
10205,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Wetland
10206,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
10207,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
10208,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Bareland
10209,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,NULL
10210,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Grassland
10211,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Cropland
10212,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Wetland
10213,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10214,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10215,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10216,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10217,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
