Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWK_M_R
821,Grassland,Water,Water,NULL,Water,NULL,NULL,Cropland
822,Grassland,Water,Water,NULL,Water,NULL,NULL,Bareland
823,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
824,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
825,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
826,Grassland,Water,Water,Water,Water,NULL,NULL,Water
827,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
828,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
829,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
830,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
831,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
832,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
833,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
834,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
835,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
836,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
837,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Cropland
838,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
839,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
840,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
841,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
842,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
843,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
844,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
845,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
846,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
847,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
848,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
849,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
850,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
851,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
852,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
853,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
854,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
855,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
856,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
857,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
858,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
859,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
860,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
861,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
862,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
863,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
864,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
865,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
866,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
867,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
868,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
869,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
870,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
871,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
872,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
873,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
874,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
875,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
876,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
877,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
878,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
879,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
880,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
881,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
882,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
883,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
884,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
885,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
886,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
887,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
888,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
889,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
890,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
891,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
892,Grassland,Forest,Water,Water,Water,NULL,NULL,Cropland
893,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
894,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
895,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
896,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
897,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
898,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
899,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
900,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
901,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
902,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
903,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
904,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
905,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
906,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Cropland
907,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
908,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
909,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
910,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
911,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
912,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
913,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
914,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
915,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
916,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
917,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
918,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
919,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
920,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
921,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
922,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
923,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
924,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
925,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
926,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
927,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
928,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
929,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
930,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
931,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
932,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
933,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
934,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
935,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
936,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
937,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
938,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
939,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
940,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
941,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
942,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
943,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
944,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
945,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
946,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
947,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
948,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
949,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
950,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
951,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
952,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
953,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
954,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
955,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
956,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
957,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
958,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
959,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
960,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
961,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
962,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
963,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
964,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
965,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
966,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
967,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
968,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
969,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
970,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
971,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
972,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
973,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
974,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
975,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
976,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
977,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
978,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
979,Cropland,NULL,Water,Water,Water,NULL,NULL,Cropland
980,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
981,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
982,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
983,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
984,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
985,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
986,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
987,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
988,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
989,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
990,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
991,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
992,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
993,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
994,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
995,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
996,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
997,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
998,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
999,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1000,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1001,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1002,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
1003,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1004,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1005,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1006,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1007,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1008,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1009,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1010,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1011,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1012,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1013,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1014,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1015,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1016,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1017,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1018,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1019,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1020,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1021,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1022,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1023,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1024,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1025,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1026,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1027,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1028,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1029,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1030,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1031,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1032,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1033,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1034,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1035,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1036,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1037,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1038,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1039,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1040,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1041,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1042,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1043,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1044,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1045,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1046,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1047,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1048,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
1049,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1050,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
1051,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
1052,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1053,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1054,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
1055,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
1056,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
1057,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
1058,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
1059,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1060,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1061,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1062,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1063,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1064,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1065,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1066,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1067,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1068,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1069,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1070,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1071,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
1072,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
1073,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
1074,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Water
1075,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
1076,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
1077,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
1078,Cropland,Cropland,Water,Water,Water,NULL,NULL,Cropland
1079,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
1080,Cropland,Cropland,Water,Water,Water,NULL,NULL,Forest
1081,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1082,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1083,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1084,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1085,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1086,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1087,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
1088,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1089,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1090,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1091,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1092,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1093,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1094,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1095,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1096,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
1097,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
1098,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1099,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1100,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1101,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1102,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
1103,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
1104,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
1105,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1106,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1107,Cropland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1108,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1109,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1110,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1111,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1112,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1113,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1114,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
1115,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1116,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1117,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
1118,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
1119,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1120,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1121,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1122,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1123,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1124,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1125,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1126,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1127,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1128,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1129,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1130,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1131,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1132,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1133,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1134,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1135,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1136,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1137,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1138,Cropland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1139,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1140,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1141,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1142,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1143,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
1144,Cropland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
1145,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1146,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1147,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1148,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1149,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1150,Cropland,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1151,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1152,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1153,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1154,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1155,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1156,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1157,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Water
1158,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1159,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1160,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
