Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNS_M_R
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
124,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
125,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
126,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
127,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
128,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
129,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
130,NULL,Wetland,Wetland,NULL,Wetland,Cropland
131,NULL,Wetland,Wetland,NULL,Wetland,Wetland
132,NULL,Wetland,Wetland,NULL,Wetland,Water
133,NULL,Wetland,Wetland,NULL,Wetland,Forest
134,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
135,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
136,NULL,Wetland,Wetland,Non_Water,Wetland,Water
137,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
138,NULL,Wetland,Wetland,Water,Wetland,Wetland
139,NULL,Wetland,Wetland,Water,Wetland,Water
140,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
141,NULL,Wetland,Water,NULL,Water,Wetland
142,NULL,Wetland,Water,Non_Water,Water,Water
143,NULL,Wetland,Water,Water,Water,Wetland
144,NULL,Wetland,Water,Water,Water,Water
145,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
146,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
147,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
149,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Bareland,Wetland,Water,NULL,Grassland
151,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
152,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
153,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
154,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
155,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
156,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
157,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
158,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
159,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland
160,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up
161,NULL,Built-up,NULL,Non_Water,Non_Wetland,Water
162,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
163,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
164,NULL,Built-up,NULL,Water,Non_Wetland,Built-up
165,NULL,Built-up,NULL,Water,Non_Wetland,Water
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
173,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
174,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
175,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
176,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
177,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
178,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
179,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
180,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
181,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
186,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
187,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
188,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
189,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
190,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water
191,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
192,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
193,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
198,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
202,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
203,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
204,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
205,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
206,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
207,NULL,Built-up,Wetland,NULL,Wetland,Grassland
208,NULL,Built-up,Wetland,NULL,Wetland,Built-up
209,NULL,Built-up,Wetland,NULL,Wetland,Forest
210,NULL,Built-up,Wetland,Non_Water,NULL,Water
211,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
212,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
213,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
214,NULL,Built-up,Wetland,Non_Water,Wetland,Water
215,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
216,NULL,Built-up,Wetland,Water,NULL,Water
217,NULL,Built-up,Wetland,Water,Wetland,Grassland
218,NULL,Built-up,Wetland,Water,Wetland,Wetland
219,NULL,Built-up,Wetland,Water,Wetland,Built-up
220,NULL,Built-up,Wetland,Water,Wetland,Water
221,NULL,Built-up,Wetland,Water,Wetland,Forest
222,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
225,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
226,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
227,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
228,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
229,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
238,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
239,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
240,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland
241,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
242,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
243,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
244,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
245,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
246,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
247,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
248,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
249,NULL,Built-up,Built-up,Water,Non_Wetland,Water
250,NULL,Built-up,Water,NULL,Water,Built-up
251,NULL,Built-up,Water,NULL,Water,Water
252,NULL,Built-up,Water,Non_Water,NULL,Built-up
253,NULL,Built-up,Water,Non_Water,Water,Water
254,NULL,Built-up,Water,Water,NULL,Grassland
255,NULL,Built-up,Water,Water,NULL,Built-up
256,NULL,Built-up,Water,Water,NULL,Water
257,NULL,Built-up,Water,Water,Water,Grassland
258,NULL,Built-up,Water,Water,Water,Bareland
259,NULL,Built-up,Water,Water,Water,Built-up
260,NULL,Built-up,Water,Water,Water,Water
261,NULL,Built-up,Water,Water,Water,Forest
262,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
263,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
264,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
265,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
266,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
267,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
268,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
269,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland
270,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
271,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
272,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
273,NULL,Built-up,Forest,Water,Non_Wetland,Forest
274,NULL,Water,NULL,Non_Water,Non_Wetland,Water
275,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
276,NULL,Water,NULL,Water,Non_Wetland,Water
277,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
278,NULL,Water,Shrubland,NULL,Non_Wetland,Water
279,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
280,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
281,NULL,Water,Cropland,Water,Non_Wetland,Water
282,NULL,Water,Wetland,Non_Water,NULL,Built-up
283,NULL,Water,Wetland,Non_Water,Wetland,Bareland
284,NULL,Water,Wetland,Non_Water,Wetland,Built-up
285,NULL,Water,Wetland,Non_Water,Wetland,Water
286,NULL,Water,Wetland,Non_Water,Wetland,Forest
287,NULL,Water,Wetland,Water,NULL,Grassland
288,NULL,Water,Wetland,Water,Wetland,Forest
289,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
290,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
291,NULL,Water,Built-up,NULL,Non_Wetland,Water
292,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
293,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
294,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up
295,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
296,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
297,NULL,Water,Built-up,Water,Non_Wetland,Grassland
298,NULL,Water,Built-up,Water,Non_Wetland,Built-up
299,NULL,Water,Built-up,Water,Non_Wetland,Water
300,NULL,Water,Water,Non_Water,NULL,Built-up
301,NULL,Water,Water,Non_Water,NULL,Forest
302,NULL,Water,Water,Water,NULL,Grassland
303,NULL,Water,Water,Water,NULL,Water
304,NULL,Water,Water,Water,Water,Grassland
305,NULL,Water,Water,Water,Water,Water
306,NULL,Water,Forest,NULL,Non_Wetland,Forest
307,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
308,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
309,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
310,NULL,Forest,NULL,NULL,Non_Wetland,Forest
311,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
312,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
313,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
314,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
315,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
316,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
317,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
318,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
319,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
320,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
321,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
322,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
323,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
324,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
325,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
326,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
327,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
328,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
329,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
330,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
331,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
332,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
333,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
334,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
335,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
336,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
337,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
338,NULL,Forest,Cropland,Non_Water,Non_Wetland,Built-up
339,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
340,NULL,Forest,Wetland,NULL,Wetland,Grassland
341,NULL,Forest,Wetland,NULL,Wetland,Wetland
342,NULL,Forest,Wetland,NULL,Wetland,Bareland
343,NULL,Forest,Wetland,NULL,Wetland,Built-up
344,NULL,Forest,Wetland,NULL,Wetland,Forest
345,NULL,Forest,Wetland,Non_Water,NULL,Water
346,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
347,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
348,NULL,Forest,Wetland,Non_Water,Wetland,Forest
349,NULL,Forest,Wetland,Water,Wetland,Wetland
350,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
351,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
352,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
353,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
354,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
355,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
356,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
357,NULL,Forest,Built-up,Non_Water,Non_Wetland,Built-up
358,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
359,NULL,Forest,Water,Water,Water,Built-up
360,NULL,Forest,Forest,NULL,Non_Wetland,NULL
361,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
362,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
363,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
364,NULL,Forest,Forest,NULL,Non_Wetland,Forest
365,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
366,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
367,NULL,Forest,Forest,Non_Water,Non_Wetland,Built-up
368,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
369,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
370,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
371,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
375,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
376,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
377,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
378,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
379,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
380,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
381,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
382,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
383,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
384,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
385,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
386,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
387,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
388,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
389,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
390,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
391,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
392,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
393,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
394,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
395,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
396,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
397,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
398,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
399,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
400,Grassland,NULL,Wetland,NULL,Wetland,NULL
401,Grassland,NULL,Wetland,NULL,Wetland,Grassland
402,Grassland,NULL,Wetland,NULL,Wetland,Cropland
403,Grassland,NULL,Wetland,NULL,Wetland,Wetland
404,Grassland,NULL,Wetland,NULL,Wetland,Bareland
405,Grassland,NULL,Wetland,NULL,Wetland,Water
406,Grassland,NULL,Wetland,NULL,Wetland,Forest
407,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
408,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
409,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
410,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland
411,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
412,Grassland,NULL,Wetland,Water,Wetland,Grassland
413,Grassland,NULL,Wetland,Water,Wetland,Wetland
414,Grassland,NULL,Wetland,Water,Wetland,Water
415,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
416,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
417,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
418,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
419,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
420,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
421,Grassland,NULL,Water,NULL,Water,Wetland
422,Grassland,NULL,Water,Non_Water,Water,Wetland
423,Grassland,NULL,Water,Water,Water,Wetland
424,Grassland,NULL,Water,Water,Water,Water
425,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
426,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
427,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
428,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
429,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
430,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
