Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
123,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
130,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
140,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
147,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
150,NULL,NULL,Water,Water,Water,NULL,NULL,Water
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
179,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
180,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
187,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
192,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
196,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
200,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
203,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
205,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
213,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
221,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
223,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
233,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
235,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
236,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
237,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
238,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
240,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
246,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
248,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
249,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
251,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
258,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
260,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
264,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
266,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
267,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
269,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
272,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
279,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
283,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
286,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
287,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
289,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
291,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
292,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
293,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
294,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
296,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
299,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
302,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
306,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
309,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
312,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
313,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
314,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
315,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
316,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
324,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
325,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
326,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
327,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
328,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
329,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
332,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
