Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQP_M_R
123,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
124,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
125,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
126,NULL,NULL,Forest,NULL,Non_Wetland,Water
127,NULL,NULL,Forest,NULL,Non_Wetland,Forest
128,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
129,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
132,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
133,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,NULL,Forest,Water,Non_Wetland,NULL
136,NULL,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,NULL,Forest,Water,Non_Wetland,Cropland
138,NULL,NULL,Forest,Water,Non_Wetland,Bareland
139,NULL,NULL,Forest,Water,Non_Wetland,Water
140,NULL,NULL,Forest,Water,Non_Wetland,Forest
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
148,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
149,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
150,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
151,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
152,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
153,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
154,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
156,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
160,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
161,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
162,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
165,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
170,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
171,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
172,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
176,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
177,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
178,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
179,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
180,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
181,NULL,Cropland,Cropland,Water,Non_Wetland,Water
182,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
183,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
184,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
185,NULL,Cropland,Wetland,Water,Wetland,Cropland
186,NULL,Cropland,Wetland,Water,Wetland,Bareland
187,NULL,Cropland,Wetland,Water,Wetland,Water
188,NULL,Cropland,Wetland,Water,Wetland,Forest
189,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
191,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
192,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
193,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
194,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
195,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
196,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
197,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
198,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
199,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
200,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
201,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
202,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
203,NULL,Cropland,Bareland,Water,Non_Wetland,Water
204,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
206,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
207,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
208,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
209,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
210,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
211,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
212,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Forest
213,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
214,NULL,Cropland,Built-up,Water,Non_Wetland,Water
215,NULL,Cropland,Water,NULL,Water,Grassland
216,NULL,Cropland,Water,NULL,Water,Cropland
217,NULL,Cropland,Water,NULL,Water,Bareland
218,NULL,Cropland,Water,NULL,Water,Water
219,NULL,Cropland,Water,Non_Water,Water,Grassland
220,NULL,Cropland,Water,Non_Water,Water,Cropland
221,NULL,Cropland,Water,Non_Water,Water,Bareland
222,NULL,Cropland,Water,Non_Water,Water,Water
223,NULL,Cropland,Water,Non_Water,Water,Forest
224,NULL,Cropland,Water,Water,Water,Bareland
225,NULL,Cropland,Water,Water,Water,Water
226,NULL,Cropland,Water,Water,Water,Forest
227,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
228,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
229,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
230,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
231,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
232,NULL,Cropland,Forest,NULL,Non_Wetland,Water
233,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
234,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
235,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
236,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland
237,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
238,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
239,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
240,NULL,Cropland,Forest,Water,Non_Wetland,Water
241,NULL,Cropland,Forest,Water,Non_Wetland,Forest
242,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
243,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
244,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
245,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
246,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
247,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
248,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
249,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
250,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
251,NULL,Bareland,Shrubland,Water,Non_Wetland,Built-up
252,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
253,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
254,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
255,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
256,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
259,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
260,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
261,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
262,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
263,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
264,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
265,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
266,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
267,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
268,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
269,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
270,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
271,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
272,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
273,NULL,Bareland,Cropland,Water,Non_Wetland,Water
274,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
275,NULL,Bareland,Wetland,Water,Wetland,Bareland
276,NULL,Bareland,Wetland,Water,Wetland,Water
277,NULL,Bareland,Wetland,Water,Wetland,Forest
278,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
279,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
280,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
281,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
282,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
283,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
284,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
285,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
286,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
287,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
288,NULL,Bareland,Bareland,Water,Non_Wetland,Water
289,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
290,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
291,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
292,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
293,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
294,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
295,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Forest
296,NULL,Bareland,Water,NULL,Water,Bareland
297,NULL,Bareland,Water,NULL,Water,Water
298,NULL,Bareland,Water,Water,Water,Cropland
299,NULL,Bareland,Water,Water,Water,Bareland
300,NULL,Bareland,Water,Water,Water,Water
301,NULL,Bareland,Water,Water,Water,Forest
302,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
303,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
304,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
305,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
306,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
307,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
308,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
309,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
310,NULL,Bareland,Forest,Water,Non_Wetland,Water
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
313,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
317,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
318,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
319,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
320,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
321,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
322,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
323,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
324,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
325,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
326,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
327,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
328,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
329,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
330,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
331,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
332,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
333,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
334,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
335,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
336,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
337,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
338,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
339,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
340,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
341,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
342,NULL,Built-up,Grassland,Water,Non_Wetland,Water
343,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
344,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
345,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
346,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
347,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
348,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
349,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
350,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
351,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
352,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
353,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
354,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
355,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
356,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
357,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
358,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
359,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
360,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
361,NULL,Built-up,Cropland,Water,Non_Wetland,Water
362,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
363,NULL,Built-up,Wetland,NULL,Wetland,Water
364,NULL,Built-up,Wetland,NULL,Wetland,Forest
365,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
366,NULL,Built-up,Wetland,Non_Water,Wetland,Water
367,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
368,NULL,Built-up,Wetland,Water,Wetland,Cropland
369,NULL,Built-up,Wetland,Water,Wetland,Bareland
370,NULL,Built-up,Wetland,Water,Wetland,Built-up
371,NULL,Built-up,Wetland,Water,Wetland,Water
372,NULL,Built-up,Wetland,Water,Wetland,Forest
373,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
374,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
375,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
376,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
377,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
378,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
379,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
380,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
381,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
382,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
383,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
384,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
385,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
386,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
387,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
388,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
389,NULL,Built-up,Bareland,Water,Non_Wetland,Water
390,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
391,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
392,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
393,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
394,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
395,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
396,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
397,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
398,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
399,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
400,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
401,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
402,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
403,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
404,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
405,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
406,NULL,Built-up,Water,NULL,Water,Grassland
407,NULL,Built-up,Water,NULL,Water,Cropland
408,NULL,Built-up,Water,NULL,Water,Bareland
409,NULL,Built-up,Water,NULL,Water,Built-up
410,NULL,Built-up,Water,NULL,Water,Water
411,NULL,Built-up,Water,NULL,Water,Forest
412,NULL,Built-up,Water,Non_Water,Water,Cropland
413,NULL,Built-up,Water,Non_Water,Water,Bareland
414,NULL,Built-up,Water,Non_Water,Water,Built-up
415,NULL,Built-up,Water,Non_Water,Water,Water
416,NULL,Built-up,Water,Non_Water,Water,Forest
417,NULL,Built-up,Water,Water,Water,Grassland
418,NULL,Built-up,Water,Water,Water,Bareland
419,NULL,Built-up,Water,Water,Water,Built-up
420,NULL,Built-up,Water,Water,Water,Water
421,NULL,Built-up,Water,Water,Water,Forest
422,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
423,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
424,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
425,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
426,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
427,NULL,Built-up,Forest,NULL,Non_Wetland,Water
428,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
429,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
