Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCJ_M_R
93,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
100,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
104,NULL,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Water
106,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
108,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
109,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
110,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
112,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Water,Forest
113,NULL,Water,Grassland,Water,Non_Wetland,Water,Grassland,Water
114,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Bareland
115,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
116,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
117,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Forest,Forest
118,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
119,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
120,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
121,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
122,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
123,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Water
124,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Bareland
125,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
126,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Bareland
127,NULL,Water,Water,NULL,Water,Water,Water,Water
128,NULL,Water,Water,Water,Water,Water,Water,Water
129,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
130,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
132,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
133,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
134,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
135,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
136,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
138,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
139,NULL,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
140,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
141,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
142,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
143,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
144,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
145,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
147,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
148,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
151,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,Forest,NULL,NULL,Non_Wetland,Water,Bareland,Forest
153,NULL,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
154,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,Forest,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
156,NULL,Forest,NULL,Water,Non_Wetland,Water,Water,Water
157,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
159,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
160,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland,Water,Water
161,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Water,Bareland
162,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Water,Water
163,NULL,Forest,Shrubland,Water,Non_Wetland,Water,Water,Forest
164,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
166,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
168,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
170,NULL,Forest,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
171,NULL,Forest,Grassland,Water,Non_Wetland,Grassland,Water,Water
172,NULL,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
173,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
175,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
176,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
177,NULL,Forest,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
178,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
179,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
180,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
181,NULL,Forest,Wetland,Water,Wetland,Water,Forest,Water
182,NULL,Forest,Water,Water,Water,Grassland,Forest,Water
183,NULL,Forest,Water,Water,Water,Water,Water,Water
184,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
186,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
189,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
190,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
191,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
192,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
193,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
194,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
195,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Bareland
196,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
198,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
199,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
201,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
202,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
203,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
205,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
206,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
207,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
208,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
211,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
215,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
216,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
218,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
219,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
220,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
221,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
222,Grassland,NULL,Wetland,Water,Wetland,Water,Forest,Water
223,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
225,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
226,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
228,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
229,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
230,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
231,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
232,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
233,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
234,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
235,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
236,Grassland,Water,Wetland,NULL,Wetland,Grassland,NULL,Water
237,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
238,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
239,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
243,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
244,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
246,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
247,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
248,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
249,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
250,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
252,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
253,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
254,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
255,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
256,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
257,Cropland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
258,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
259,Cropland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Bareland
260,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
261,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
262,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
263,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
264,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
265,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
266,Cropland,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Water
267,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
269,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
270,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Bareland
271,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
272,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
273,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water,Bareland,Grassland
274,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Water
275,Cropland,NULL,Grassland,Water,Non_Wetland,Water,NULL,Water
276,Cropland,NULL,Grassland,Water,Non_Wetland,Water,Forest,Water
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
279,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
280,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
282,Cropland,NULL,Water,Non_Water,Water,Water,Water,Grassland
283,Cropland,NULL,Water,Water,Water,Bareland,Wetland,Water
284,Cropland,NULL,Water,Water,Water,Water,Water,Water
285,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
286,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
287,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
288,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
289,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
290,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
291,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
292,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
293,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
294,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
295,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
296,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
297,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
298,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
299,Cropland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Bareland
300,Cropland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
301,Cropland,NULL,Forest,Water,Non_Wetland,Water,Forest,Bareland
302,Cropland,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
303,Cropland,NULL,Forest,Water,Non_Wetland,Forest,Forest,Water
304,Cropland,Bareland,NULL,NULL,Non_Wetland,Water,Forest,Water
305,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
306,Cropland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
307,Cropland,Bareland,Shrubland,Water,Non_Wetland,Water,Forest,Water
308,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
309,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
310,Cropland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
311,Cropland,Bareland,Wetland,Water,Wetland,Water,Forest,Water
312,Cropland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Bareland
313,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
314,Cropland,Bareland,Bareland,Water,Non_Wetland,Water,Forest,Water
315,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
316,Cropland,Bareland,Built-up,Water,Non_Wetland,Water,Wetland,Water
317,Cropland,Bareland,Water,Water,Water,Bareland,Water,Water
318,Cropland,Bareland,Water,Water,Water,Water,Water,Water
319,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
320,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
321,Cropland,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Forest
322,Cropland,Bareland,Forest,Water,Non_Wetland,Water,Wetland,Water
323,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
324,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
325,Cropland,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
326,Cropland,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
327,Cropland,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
328,Cropland,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
329,Cropland,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
330,Cropland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
331,Cropland,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
332,Cropland,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
333,Cropland,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
334,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
335,Cropland,Water,NULL,Water,Non_Wetland,Bareland,Grassland,Water
336,Cropland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
337,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
338,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
339,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
340,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
