Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMB_M_R
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
51,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
55,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
56,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
59,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
62,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
63,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
73,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
74,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
75,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
78,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
81,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
82,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
83,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
84,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
85,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
86,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
87,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
88,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
89,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
90,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
91,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
93,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
96,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
103,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
104,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
113,NULL,NULL,Water,Water,Water,NULL,Wetland,Water
114,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
115,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
116,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
117,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
118,NULL,NULL,Water,Water,Water,Water,Water,Grassland
119,NULL,NULL,Water,Water,Water,Water,Water,Wetland
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
138,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
139,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
144,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
146,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
147,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
148,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
149,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
151,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
152,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
153,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
154,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
155,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
157,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
164,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
165,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
166,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
167,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
168,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
169,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
170,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
171,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
172,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
173,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
174,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
175,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
176,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
177,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
178,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
179,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
180,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
181,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
182,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
183,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
184,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
185,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
186,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
187,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
188,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
189,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
190,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
191,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
192,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
193,NULL,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Grassland
194,NULL,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Wetland
195,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
196,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
197,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
198,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
199,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
200,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Forest
201,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
202,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
203,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
204,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
205,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
206,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
207,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
210,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
213,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
214,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
215,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
216,NULL,Wetland,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
217,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,Wetland,Water,Non_Water,Water,Water,Grassland,Grassland
219,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
220,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
221,NULL,Wetland,Water,Water,Water,Wetland,Water,Forest
222,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
223,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
224,NULL,Wetland,Water,Water,Water,Water,Water,Water
225,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
226,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
228,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
229,NULL,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
230,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
232,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
233,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
234,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
235,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
237,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
238,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
239,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
240,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
241,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
242,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
243,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
244,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
245,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,Built-up,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,Built-up,NULL,Water,Non_Wetland,Wetland,Water,Forest
248,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Water,Forest
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Built-up
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
275,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
277,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
278,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
279,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
280,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Forest
281,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Grassland
282,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Water
283,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Forest
284,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
285,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
286,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
288,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
289,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
290,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Grassland
291,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Forest
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
296,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
297,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Grassland
298,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
299,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Grassland
300,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Wetland,Forest
301,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Forest
302,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Water
303,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Forest
304,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
309,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
310,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Wetland,Grassland
311,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Wetland,Forest
312,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,Grassland
313,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,Built-up
314,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
315,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Water,Bareland
316,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
317,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
318,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Water,Grassland
320,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Water,Forest
321,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Water,Grassland
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
330,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
331,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
332,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
333,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
334,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
