Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEE_M_R
344,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
345,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
346,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
347,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
348,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
349,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
350,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
351,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
352,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
353,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Water
354,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
355,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
356,Grassland,Water,Water,Water,Water,NULL,NULL,Water
357,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
358,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
359,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
360,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
361,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
362,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
363,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
364,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
365,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
366,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
367,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
368,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
369,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
370,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
371,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
372,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
373,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
374,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
375,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
376,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
377,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
378,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
379,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
380,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
381,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
382,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
383,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
384,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
385,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
386,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
387,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
388,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
389,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
390,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
391,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
392,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
393,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
394,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
395,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
396,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
397,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
398,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
399,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
400,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
401,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
402,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
403,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
404,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
405,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
406,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
407,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
408,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
409,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
410,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
411,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
412,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
413,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
414,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
415,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
416,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
417,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
418,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
419,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
420,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
421,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
422,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
423,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
424,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
425,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
426,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
427,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
428,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
429,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
430,Cropland,Water,Water,Water,Water,NULL,NULL,Water
431,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
432,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
433,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
434,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
435,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
436,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
437,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
438,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
439,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
440,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
441,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
442,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
443,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
444,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
445,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
446,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
447,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
448,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
449,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
450,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
451,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
452,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
453,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
454,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
455,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
456,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
457,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
458,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
459,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
460,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
461,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
462,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
463,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
464,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
465,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
466,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
467,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
468,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
469,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
470,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
471,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
472,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
473,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
474,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
475,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
476,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
477,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
478,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
479,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
480,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
481,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
482,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
483,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
484,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
485,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
486,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
487,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
488,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
489,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
490,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
491,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
492,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
493,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
494,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
495,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
496,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
497,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
498,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
499,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
500,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
501,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
502,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
503,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
504,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
505,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
506,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
507,Wetland,Water,Water,Water,Water,NULL,NULL,Water
508,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
509,Wetland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
510,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
511,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
512,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
513,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
514,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
515,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
516,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
517,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
518,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
519,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
520,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
521,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
522,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
523,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
524,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
525,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
526,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
527,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
528,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
529,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
530,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
531,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
532,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
533,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
534,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
535,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
536,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
537,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
538,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
539,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
540,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
541,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
542,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
543,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
544,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
545,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
546,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
547,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
548,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
549,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
550,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
551,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
552,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
553,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
554,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
555,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
556,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
557,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
558,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
559,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
560,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
561,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
562,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
563,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
564,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
565,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
566,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
567,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
568,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
569,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
570,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
571,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
572,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
573,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
574,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
575,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
576,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
577,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
578,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
579,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
580,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
581,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
582,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
583,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
584,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
585,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
586,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
587,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
588,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
589,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
590,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
591,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
592,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
593,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
594,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
595,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
596,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
597,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
598,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
599,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
600,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
601,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
602,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
603,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
604,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
605,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
606,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
607,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
608,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
609,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
610,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
611,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
612,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
613,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
614,Bareland,Water,Water,Water,Water,NULL,NULL,Water
615,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
616,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
617,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
618,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
619,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
620,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
621,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
622,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
623,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
624,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
625,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
626,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
627,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
628,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
629,Bareland,Forest,Water,Water,Water,NULL,NULL,Grassland
630,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
631,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
632,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
633,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
634,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
635,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
636,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
637,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
638,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
639,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
640,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
641,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
642,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
643,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
644,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
645,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
646,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
647,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
648,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
649,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
650,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
651,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
652,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
653,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
654,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
655,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
656,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
657,Water,NULL,Water,NULL,Water,NULL,NULL,Wetland
658,Water,NULL,Water,NULL,Water,NULL,NULL,Water
659,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
660,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
661,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
662,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
663,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
664,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
665,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
666,Water,NULL,Water,Water,Water,NULL,NULL,Water
667,Water,NULL,Water,Water,Water,NULL,NULL,Forest
668,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
669,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
670,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
671,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
672,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
673,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
674,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
675,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
676,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
677,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
678,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
679,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
680,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
681,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
682,Water,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
683,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
684,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
685,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
686,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
687,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
688,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
689,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
690,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
691,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
692,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
693,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
694,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
695,Water,Wetland,Water,NULL,Water,NULL,NULL,Wetland
696,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
697,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
698,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
699,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
700,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
701,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
702,Water,Wetland,Water,Water,Water,NULL,NULL,Water
703,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
704,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
705,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
706,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
