Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCE_M_R
730,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
731,NULL,Forest,Water,NULL,Water,Wetland,Wetland,NULL
732,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
733,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
734,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
735,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
736,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
737,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
738,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
739,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
740,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
741,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
742,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
743,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
744,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
745,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
746,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
747,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
748,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
749,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
750,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
751,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
752,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
753,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
754,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
755,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
756,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
757,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
758,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
759,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
760,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
761,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
762,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
763,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
764,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
765,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
766,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
767,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
768,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
769,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
770,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
771,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
772,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
773,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
774,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
775,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
776,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
777,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
778,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
779,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
780,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
781,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
782,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
783,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
784,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
785,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
786,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
787,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
788,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
789,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
790,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
791,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
792,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
793,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
794,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
795,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
796,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
797,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
798,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
799,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
800,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
801,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
802,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
803,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
804,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
805,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
806,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
807,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
808,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
809,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
810,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
811,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
812,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
813,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
814,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
815,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
816,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
817,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
818,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
819,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
820,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
821,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
822,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
823,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
824,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
825,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
826,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
827,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Water,NULL
828,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
829,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
830,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,NULL
831,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
832,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
833,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
834,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
835,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
836,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
837,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
838,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
839,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
840,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
841,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
842,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
843,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
844,Grassland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,NULL
845,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
846,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
847,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
848,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
849,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
850,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
851,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
852,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
853,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
854,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
855,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Grassland,NULL
856,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Wetland,NULL
857,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Bareland,NULL
858,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Built-up,NULL
859,Grassland,NULL,Wetland,NULL,Wetland,Built-up,Water,NULL
860,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
861,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
862,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
863,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
864,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
865,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,NULL
866,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,NULL
867,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
868,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
869,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
870,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
871,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
872,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
873,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
874,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
875,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
876,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up,Water,NULL
877,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Forest,NULL
878,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
879,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
880,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,NULL
881,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
882,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
883,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
884,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
885,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
886,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
887,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
888,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
889,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,NULL
890,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,NULL
891,Grassland,NULL,Water,NULL,Water,Grassland,Water,NULL
892,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,NULL
893,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
894,Grassland,NULL,Water,NULL,Water,Wetland,Water,NULL
895,Grassland,NULL,Water,NULL,Water,Wetland,Forest,NULL
896,Grassland,NULL,Water,NULL,Water,Bareland,Wetland,NULL
897,Grassland,NULL,Water,NULL,Water,Bareland,Water,NULL
898,Grassland,NULL,Water,NULL,Water,Built-up,Wetland,NULL
899,Grassland,NULL,Water,NULL,Water,Built-up,Built-up,NULL
900,Grassland,NULL,Water,NULL,Water,Built-up,Water,NULL
901,Grassland,NULL,Water,NULL,Water,Water,Wetland,NULL
902,Grassland,NULL,Water,NULL,Water,Water,Water,NULL
903,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
904,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
905,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
906,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
907,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
908,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
909,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
910,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
911,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
912,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
913,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
914,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
915,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
916,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
917,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
918,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
919,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
920,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
921,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
922,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
923,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
924,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
925,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
926,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
927,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
928,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
929,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
930,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
931,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
932,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
933,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
934,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
935,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
936,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
937,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
938,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
939,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
940,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
941,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Water,NULL
942,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
943,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Water,NULL
944,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
945,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Water,NULL
946,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
947,Grassland,Cropland,Wetland,NULL,Wetland,Water,Wetland,NULL
948,Grassland,Cropland,Wetland,NULL,Wetland,Water,Water,NULL
949,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
950,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
951,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
952,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
953,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
954,Grassland,Cropland,Water,NULL,Water,Grassland,Water,NULL
955,Grassland,Cropland,Water,NULL,Water,Wetland,Water,NULL
956,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
957,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
958,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
959,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
960,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
961,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
962,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
963,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
964,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Water,NULL
965,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
966,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
967,Grassland,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
968,Grassland,Wetland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
969,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
970,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
971,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
972,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
973,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
974,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
975,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
976,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
977,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
978,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
979,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Water,NULL
980,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,NULL,NULL
981,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,NULL
982,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
983,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,NULL
984,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,NULL
985,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Forest,NULL
986,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
987,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
988,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,NULL
989,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
990,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,NULL
991,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
992,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Water,NULL
993,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Forest,NULL
994,Grassland,Wetland,Wetland,NULL,Wetland,Water,Grassland,NULL
995,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
996,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
997,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Grassland,NULL
998,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
999,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
1000,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
1001,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
1002,Grassland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
1003,Grassland,Wetland,Water,NULL,Water,Grassland,Water,NULL
1004,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
1005,Grassland,Wetland,Water,NULL,Water,Wetland,Water,NULL
1006,Grassland,Wetland,Water,NULL,Water,Bareland,Water,NULL
1007,Grassland,Wetland,Water,NULL,Water,Water,Water,NULL
1008,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1009,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1010,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1011,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
1012,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
1013,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
1014,Grassland,Bareland,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
1015,Grassland,Bareland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
1016,Grassland,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1017,Grassland,Bareland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
1018,Grassland,Bareland,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
1019,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
1020,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
1021,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
1022,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
1023,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
1024,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
1025,Grassland,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,NULL
1026,Grassland,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1027,Grassland,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
1028,Grassland,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,NULL
1029,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1030,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1031,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1032,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
1033,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Water,NULL
1034,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
1035,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
1036,Grassland,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
1037,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
1038,Grassland,Water,Wetland,NULL,Wetland,NULL,Forest,NULL
1039,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,NULL
1040,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1041,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
1042,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,NULL
1043,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1044,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
1045,Grassland,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
1046,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
1047,Grassland,Water,Wetland,NULL,Wetland,Forest,Wetland,NULL
1048,Grassland,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
1049,Grassland,Water,Water,NULL,Water,Wetland,Water,NULL
1050,Grassland,Water,Water,NULL,Water,Built-up,Bareland,NULL
1051,Grassland,Water,Water,NULL,Water,Water,Water,NULL
1052,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
1053,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1054,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1055,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1056,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
1057,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
1058,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
1059,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1060,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
1061,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
1062,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
1063,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
1064,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
1065,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
1066,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
1067,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1068,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1069,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
