Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZK_M_R
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
66,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
70,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
71,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
72,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
73,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
74,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
75,NULL,NULL,Water,Water,Water,NULL,NULL,Water
76,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
96,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
105,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
112,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
114,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Built-up
116,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
117,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
118,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
120,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
122,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
123,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
125,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
126,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
127,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
128,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
136,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
137,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
138,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
139,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
141,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
147,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
149,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
151,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
152,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
154,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
155,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
157,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
158,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
159,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
160,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
161,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
162,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
163,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
164,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
165,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
166,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
169,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
170,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
171,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
173,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
176,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
177,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
178,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
179,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
180,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
181,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
182,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
183,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
184,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
185,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
189,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
190,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
191,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
200,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
213,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
214,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
215,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
216,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
217,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
219,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
237,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
238,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
239,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
240,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
241,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
243,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Built-up
246,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
255,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
256,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Built-up
257,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
258,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
259,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
260,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
261,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
262,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
263,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
264,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
265,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
266,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
268,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
269,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
270,NULL,Water,Water,Water,Water,NULL,NULL,Water
271,NULL,Water,Water,Water,Water,NULL,NULL,Forest
272,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
273,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
281,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
283,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
285,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
287,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
291,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
292,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
293,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
294,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
295,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
296,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
297,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
298,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
299,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
302,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
305,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
307,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
308,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
309,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
312,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
314,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
315,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
321,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
323,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
324,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
326,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
327,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
328,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
329,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
330,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
331,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
332,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
334,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
335,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
336,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
337,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
338,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
339,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
340,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
341,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
