Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R
20,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
22,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
24,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
25,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
26,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
27,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
28,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
29,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
30,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
31,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
32,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
33,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
34,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
35,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
36,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
37,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
38,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
39,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
40,NULL,Water,Water,Non_Water,Water,Bareland,Water,Grassland
41,NULL,Water,Water,Non_Water,Water,Bareland,Water,Water
42,NULL,Water,Water,Non_Water,Water,Water,Wetland,Water
43,NULL,Water,Water,Non_Water,Water,Water,Water,Water
44,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
45,NULL,Water,Water,Water,Water,Wetland,Water,Water
46,NULL,Water,Water,Water,Water,Water,Water,Grassland
47,NULL,Water,Water,Water,Water,Water,Water,Water
48,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
50,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
51,NULL,Forest,Water,Non_Water,Water,Water,Water,Water
52,NULL,Forest,Water,Water,Water,Water,Water,Grassland
53,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
54,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
57,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
58,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
59,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
60,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
61,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
62,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
63,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
64,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
65,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
66,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
67,Grassland,NULL,Water,Water,Water,Water,Water,Water
68,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
69,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
70,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
71,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
72,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
73,Grassland,Water,Wetland,Water,Wetland,Bareland,Water,Water
74,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Water
75,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
76,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
77,Grassland,Water,Water,Non_Water,Water,Water,Water,Water
78,Grassland,Water,Water,Water,Water,Water,Water,Grassland
79,Grassland,Water,Water,Water,Water,Water,Water,Water
80,Grassland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
81,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
82,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
83,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
84,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Wetland
85,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
86,Grassland,Forest,Water,Water,Water,Water,Water,Grassland
87,Grassland,Forest,Water,Water,Water,Water,Water,Water
88,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Water,Grassland
89,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
90,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
91,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
92,Cropland,NULL,Water,Water,Water,Bareland,Water,Water
93,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
94,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
95,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
96,Cropland,Water,Wetland,Water,Wetland,Bareland,Water,Water
97,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
98,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
99,Cropland,Water,Water,Non_Water,Water,Water,Water,Water
100,Cropland,Water,Water,Water,Water,Bareland,Water,Grassland
101,Cropland,Water,Water,Water,Water,Bareland,Water,Wetland
102,Cropland,Water,Water,Water,Water,Bareland,Water,Water
103,Cropland,Water,Water,Water,Water,Water,Water,Wetland
104,Cropland,Water,Water,Water,Water,Water,Water,Water
105,Cropland,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
106,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Water,Water
107,Bareland,Bareland,Grassland,Water,Non_Wetland,Water,Water,Water
108,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
109,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
110,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
111,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
112,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
113,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
114,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
115,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
116,Bareland,Bareland,Water,Non_Water,Water,Bareland,Water,Grassland
117,Bareland,Bareland,Water,Non_Water,Water,Bareland,Water,Water
118,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
119,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
120,Bareland,Bareland,Water,Water,Water,Water,Water,Water
121,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water,Water,Water
122,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Water
123,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
124,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
125,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
126,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
127,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
128,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
129,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
130,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
131,Bareland,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
132,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
133,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
134,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
135,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
136,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
137,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
138,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
139,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
140,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
141,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
142,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
143,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
144,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
145,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
146,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
147,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
148,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
149,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
150,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
151,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
152,Bareland,Water,Built-up,Water,Non_Wetland,Water,Water,Water
153,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
154,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
155,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
156,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
157,Bareland,Water,Water,Water,Water,Bareland,Water,Grassland
158,Bareland,Water,Water,Water,Water,Bareland,Water,Water
159,Bareland,Water,Water,Water,Water,Water,Wetland,Water
160,Bareland,Water,Water,Water,Water,Water,Water,Grassland
161,Bareland,Water,Water,Water,Water,Water,Water,Water
162,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
163,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
164,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
165,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
166,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
167,Bareland,Forest,NULL,Water,Non_Wetland,Bareland,Water,Water
168,Bareland,Forest,Shrubland,Water,Non_Wetland,Bareland,Water,Water
169,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
170,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
171,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Water,Grassland
172,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
173,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
174,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
175,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Forest
176,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
177,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Water,Water
178,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
179,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
180,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
181,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Water,Water
182,Bareland,Forest,Built-up,Water,Non_Wetland,Water,Water,Water
183,Bareland,Forest,Water,Non_Water,Water,Water,Wetland,Water
184,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
185,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
186,Bareland,Forest,Water,Water,Water,Water,Water,Water
187,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Water,Water
188,Water,NULL,Water,Water,Water,Water,Water,Water
189,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
190,Water,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
191,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
192,Water,Bareland,Water,Water,Water,Bareland,Water,Water
193,Water,Bareland,Water,Water,Water,Water,Water,Water
194,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
195,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
196,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
197,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
198,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
199,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
200,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
201,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
202,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
203,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
204,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
205,Water,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
206,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
207,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
208,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
209,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
210,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
211,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
212,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
213,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
214,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
215,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
216,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
217,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
218,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
219,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
220,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
221,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
222,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
223,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
224,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
225,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
226,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
227,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
228,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
229,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
230,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
231,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
232,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
233,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
234,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
235,Water,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
236,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
237,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
238,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
239,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
240,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
241,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
242,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
243,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
244,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
245,Water,Water,Cropland,Water,Non_Wetland,Bareland,Water,Water
246,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
247,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Grassland
248,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
249,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
250,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
251,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
252,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
253,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
254,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
255,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
256,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
257,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
258,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
259,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
260,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
261,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
262,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
263,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
264,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
265,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
266,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
267,Water,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
268,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
269,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
270,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
271,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
272,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
273,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
274,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
275,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
276,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
277,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
278,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
279,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
280,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
281,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
282,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
283,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
284,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
285,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
286,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
287,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
288,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
289,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
290,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
291,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
292,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
293,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
294,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
295,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
296,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
297,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
298,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
299,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
300,Water,Water,Wetland,Water,Wetland,Bareland,Water,Forest
301,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
302,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
303,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
304,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
305,Water,Water,Wetland,Water,Wetland,Water,Water,Water
306,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
307,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
308,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
309,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Water
310,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
311,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
312,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Forest
313,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
314,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
315,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
316,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
317,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
318,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
319,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
320,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
321,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
322,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
323,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
324,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
325,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
326,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
327,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
328,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
329,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
330,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
331,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
332,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
333,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
334,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
335,Water,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
336,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
337,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
338,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
339,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
340,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
341,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
342,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
343,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
344,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
345,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
346,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
347,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
348,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
349,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
350,Water,Water,Water,NULL,Water,NULL,Wetland,Water
351,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
352,Water,Water,Water,NULL,Water,NULL,Water,Water
353,Water,Water,Water,NULL,Water,NULL,Water,Forest
354,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
355,Water,Water,Water,NULL,Water,Bareland,Wetland,Forest
356,Water,Water,Water,NULL,Water,Bareland,Water,Water
357,Water,Water,Water,NULL,Water,Bareland,Water,Forest
358,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
359,Water,Water,Water,NULL,Water,Water,Wetland,Bareland
360,Water,Water,Water,NULL,Water,Water,Wetland,Water
361,Water,Water,Water,NULL,Water,Water,Wetland,Forest
362,Water,Water,Water,NULL,Water,Water,Water,Grassland
363,Water,Water,Water,NULL,Water,Water,Water,Water
364,Water,Water,Water,NULL,Water,Water,Water,Forest
365,Water,Water,Water,NULL,Water,Water,Forest,Water
366,Water,Water,Water,NULL,Water,Water,Forest,Forest
367,Water,Water,Water,NULL,Water,Forest,Wetland,Water
368,Water,Water,Water,NULL,Water,Forest,Wetland,Forest
369,Water,Water,Water,NULL,Water,Forest,Water,Water
370,Water,Water,Water,NULL,Water,Forest,Water,Forest
371,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
372,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
373,Water,Water,Water,Non_Water,Water,NULL,Water,Water
374,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
375,Water,Water,Water,Non_Water,Water,NULL,Forest,Water
376,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
377,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
378,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
379,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
380,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
