Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PQQ_M_R
202,Grassland,Forest,Wetland,NULL,Wetland,Wetland
203,Grassland,Forest,Wetland,NULL,Wetland,Forest
204,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
205,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
206,Grassland,Forest,Wetland,Non_Water,Wetland,Water
207,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
208,Grassland,Forest,Wetland,Water,Wetland,Wetland
209,Grassland,Forest,Water,Non_Water,Water,Wetland
210,Grassland,Forest,Water,Water,Water,Grassland
211,Grassland,Forest,Water,Water,Water,Wetland
212,Grassland,Forest,Water,Water,Water,Water
213,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
214,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
215,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
216,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
217,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
218,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
219,Cropland,NULL,Wetland,NULL,Wetland,Wetland
220,Cropland,NULL,Wetland,NULL,Wetland,Forest
221,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
222,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
223,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
224,Cropland,Wetland,Wetland,Water,Wetland,Wetland
225,Cropland,Water,Wetland,NULL,Wetland,Water
226,Cropland,Water,Wetland,NULL,Wetland,Forest
227,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
228,Cropland,Water,Wetland,Water,Wetland,Grassland
229,Cropland,Water,Wetland,Water,Wetland,Wetland
230,Cropland,Water,Wetland,Water,Wetland,Bareland
231,Cropland,Water,Wetland,Water,Wetland,Water
232,Cropland,Water,Water,Water,Water,Water
233,Cropland,Water,Water,Water,Water,Forest
234,Cropland,Forest,Wetland,NULL,Wetland,Wetland
235,Cropland,Forest,Wetland,NULL,Wetland,Forest
236,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland
237,Cropland,Forest,Wetland,Non_Water,Wetland,Forest
238,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
239,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
240,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
241,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
242,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
243,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
244,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
245,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
246,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
247,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
248,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
249,Wetland,NULL,Wetland,NULL,Wetland,Grassland
250,Wetland,NULL,Wetland,NULL,Wetland,Wetland
251,Wetland,NULL,Wetland,NULL,Wetland,Forest
252,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
253,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
254,Wetland,NULL,Wetland,Water,Wetland,Wetland
255,Wetland,NULL,Wetland,Water,Wetland,Water
256,Wetland,NULL,Water,Water,Water,Wetland
257,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
258,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
259,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
260,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
261,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
262,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
263,Wetland,Wetland,Wetland,NULL,Wetland,Forest
264,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
265,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
266,Wetland,Wetland,Wetland,Water,Wetland,Wetland
267,Wetland,Wetland,Wetland,Water,Wetland,Water
268,Wetland,Wetland,Water,Non_Water,Water,Wetland
269,Wetland,Wetland,Water,Water,Water,Wetland
270,Wetland,Wetland,Water,Water,Water,Water
271,Wetland,Water,Wetland,NULL,Wetland,Wetland
272,Wetland,Water,Wetland,NULL,Wetland,Water
273,Wetland,Water,Wetland,NULL,Wetland,Forest
274,Wetland,Water,Wetland,Non_Water,NULL,Wetland
275,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
276,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
277,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
278,Wetland,Water,Wetland,Non_Water,Wetland,Water
279,Wetland,Water,Wetland,Non_Water,Wetland,Forest
280,Wetland,Water,Wetland,Water,NULL,Water
281,Wetland,Water,Wetland,Water,Wetland,Grassland
282,Wetland,Water,Wetland,Water,Wetland,Wetland
283,Wetland,Water,Wetland,Water,Wetland,Bareland
284,Wetland,Water,Wetland,Water,Wetland,Water
285,Wetland,Water,Built-up,Non_Water,Non_Wetland,Grassland
286,Wetland,Water,Built-up,Non_Water,Non_Wetland,Bareland
287,Wetland,Water,Water,NULL,Water,Water
288,Wetland,Water,Water,Non_Water,Water,Wetland
289,Wetland,Water,Water,Non_Water,Water,Water
290,Wetland,Water,Water,Water,NULL,Water
291,Wetland,Water,Water,Water,Water,Wetland
292,Wetland,Water,Water,Water,Water,Water
293,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
294,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
295,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
296,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland
297,Wetland,Forest,Wetland,NULL,Wetland,Grassland
298,Wetland,Forest,Wetland,NULL,Wetland,Wetland
299,Wetland,Forest,Wetland,NULL,Wetland,Forest
300,Wetland,Forest,Wetland,Non_Water,NULL,Grassland
301,Wetland,Forest,Wetland,Non_Water,NULL,Wetland
302,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
303,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
304,Wetland,Forest,Wetland,Non_Water,Wetland,Water
305,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
306,Wetland,Forest,Wetland,Water,Wetland,Wetland
307,Wetland,Forest,Wetland,Water,Wetland,Water
308,Wetland,Forest,Water,Non_Water,Water,Wetland
309,Wetland,Forest,Water,Water,Water,Wetland
310,Wetland,Forest,Water,Water,Water,Water
311,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
312,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
313,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
314,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
315,Bareland,NULL,Wetland,NULL,Wetland,Wetland
316,Bareland,Water,Wetland,NULL,Wetland,Wetland
317,Bareland,Water,Wetland,NULL,Wetland,Water
318,Bareland,Water,Wetland,NULL,Wetland,Forest
319,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
320,Bareland,Water,Wetland,Non_Water,Wetland,Wetland
321,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
322,Bareland,Water,Wetland,Non_Water,Wetland,Water
323,Bareland,Water,Wetland,Water,NULL,Water
324,Bareland,Water,Wetland,Water,Wetland,Grassland
325,Bareland,Water,Wetland,Water,Wetland,Wetland
326,Bareland,Water,Wetland,Water,Wetland,Bareland
327,Bareland,Water,Wetland,Water,Wetland,Water
328,Bareland,Water,Built-up,Non_Water,Non_Wetland,Grassland
329,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
330,Bareland,Water,Water,Water,NULL,Water
331,Bareland,Water,Water,Water,Water,Wetland
332,Bareland,Water,Water,Water,Water,Water
333,Bareland,Forest,Wetland,NULL,Wetland,Forest
334,Bareland,Forest,Wetland,Non_Water,Wetland,Wetland
335,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
336,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
337,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
338,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
339,Water,NULL,Wetland,NULL,NULL,Water
340,Water,NULL,Wetland,NULL,Wetland,Grassland
341,Water,NULL,Wetland,NULL,Wetland,Wetland
342,Water,NULL,Wetland,NULL,Wetland,Forest
343,Water,NULL,Wetland,Non_Water,Wetland,Wetland
344,Water,NULL,Wetland,Water,NULL,Water
345,Water,NULL,Wetland,Water,Wetland,Wetland
346,Water,NULL,Water,NULL,NULL,NULL
347,Water,NULL,Water,NULL,NULL,Water
348,Water,NULL,Water,Water,NULL,Water
349,Water,NULL,Water,Water,Water,Wetland
350,Water,NULL,Forest,NULL,Non_Wetland,Forest
351,Water,Wetland,Wetland,NULL,Wetland,Wetland
352,Water,Wetland,Wetland,Non_Water,Wetland,Wetland
353,Water,Wetland,Wetland,Non_Water,Wetland,Water
354,Water,Wetland,Wetland,Non_Water,Wetland,Forest
355,Water,Wetland,Wetland,Water,Wetland,Wetland
356,Water,Wetland,Wetland,Water,Wetland,Water
357,Water,Wetland,Water,Water,Water,Wetland
358,Water,Wetland,Water,Water,Water,Water
359,Water,Bareland,Wetland,Water,Wetland,Water
360,Water,Built-up,Wetland,NULL,Wetland,Wetland
361,Water,Built-up,Wetland,NULL,Wetland,Built-up
362,Water,Built-up,Built-up,NULL,Non_Wetland,Water
363,Water,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
364,Water,Built-up,Built-up,Water,Non_Wetland,Water
365,Water,Built-up,Water,NULL,Water,Water
366,Water,Built-up,Water,Water,Water,Water
367,Water,Water,NULL,Water,Non_Wetland,Water
368,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
369,Water,Water,Shrubland,NULL,Non_Wetland,Water
370,Water,Water,Shrubland,NULL,Non_Wetland,Forest
371,Water,Water,Shrubland,Non_Water,Non_Wetland,Built-up
372,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
373,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
374,Water,Water,Shrubland,Water,Non_Wetland,Wetland
375,Water,Water,Shrubland,Water,Non_Wetland,Water
376,Water,Water,Grassland,NULL,Non_Wetland,Water
377,Water,Water,Grassland,NULL,Non_Wetland,Forest
378,Water,Water,Grassland,Water,Non_Wetland,Water
379,Water,Water,Cropland,NULL,Non_Wetland,Wetland
380,Water,Water,Cropland,NULL,Non_Wetland,Built-up
381,Water,Water,Cropland,NULL,Non_Wetland,Water
382,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland
383,Water,Water,Cropland,Water,Non_Wetland,Water
384,Water,Water,Wetland,NULL,NULL,Wetland
385,Water,Water,Wetland,NULL,NULL,Water
386,Water,Water,Wetland,NULL,NULL,Forest
387,Water,Water,Wetland,NULL,Wetland,Grassland
388,Water,Water,Wetland,NULL,Wetland,Cropland
389,Water,Water,Wetland,NULL,Wetland,Wetland
390,Water,Water,Wetland,NULL,Wetland,Bareland
391,Water,Water,Wetland,NULL,Wetland,Built-up
392,Water,Water,Wetland,NULL,Wetland,Water
393,Water,Water,Wetland,NULL,Wetland,Forest
394,Water,Water,Wetland,Non_Water,NULL,Grassland
395,Water,Water,Wetland,Non_Water,NULL,Wetland
396,Water,Water,Wetland,Non_Water,NULL,Bareland
397,Water,Water,Wetland,Non_Water,NULL,Water
398,Water,Water,Wetland,Non_Water,NULL,Forest
399,Water,Water,Wetland,Non_Water,Wetland,Grassland
400,Water,Water,Wetland,Non_Water,Wetland,Cropland
401,Water,Water,Wetland,Non_Water,Wetland,Wetland
402,Water,Water,Wetland,Non_Water,Wetland,Bareland
403,Water,Water,Wetland,Non_Water,Wetland,Built-up
404,Water,Water,Wetland,Non_Water,Wetland,Water
405,Water,Water,Wetland,Non_Water,Wetland,Forest
406,Water,Water,Wetland,Water,NULL,Wetland
407,Water,Water,Wetland,Water,NULL,Bareland
408,Water,Water,Wetland,Water,NULL,Water
409,Water,Water,Wetland,Water,Wetland,Grassland
410,Water,Water,Wetland,Water,Wetland,Wetland
411,Water,Water,Wetland,Water,Wetland,Bareland
412,Water,Water,Wetland,Water,Wetland,Built-up
413,Water,Water,Wetland,Water,Wetland,Water
414,Water,Water,Wetland,Water,Wetland,Forest
415,Water,Water,Bareland,NULL,Non_Wetland,Water
416,Water,Water,Bareland,Non_Water,Non_Wetland,Water
417,Water,Water,Bareland,Water,Non_Wetland,Water
418,Water,Water,Built-up,NULL,Non_Wetland,Grassland
419,Water,Water,Built-up,NULL,Non_Wetland,Bareland
420,Water,Water,Built-up,NULL,Non_Wetland,Built-up
421,Water,Water,Built-up,NULL,Non_Wetland,Water
422,Water,Water,Built-up,Non_Water,Non_Wetland,Grassland
423,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland
424,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland
425,Water,Water,Built-up,Non_Water,Non_Wetland,Built-up
426,Water,Water,Built-up,Non_Water,Non_Wetland,Water
427,Water,Water,Built-up,Water,Non_Wetland,Wetland
428,Water,Water,Built-up,Water,Non_Wetland,Bareland
429,Water,Water,Built-up,Water,Non_Wetland,Built-up
430,Water,Water,Built-up,Water,Non_Wetland,Water
431,Water,Water,Water,NULL,NULL,Wetland
432,Water,Water,Water,NULL,NULL,Water
433,Water,Water,Water,NULL,NULL,Forest
434,Water,Water,Water,NULL,Water,Grassland
435,Water,Water,Water,NULL,Water,Wetland
436,Water,Water,Water,NULL,Water,Bareland
437,Water,Water,Water,NULL,Water,Built-up
438,Water,Water,Water,NULL,Water,Water
439,Water,Water,Water,NULL,Water,Forest
440,Water,Water,Water,Non_Water,NULL,Grassland
441,Water,Water,Water,Non_Water,NULL,Wetland
442,Water,Water,Water,Non_Water,NULL,Water
443,Water,Water,Water,Non_Water,NULL,Forest
444,Water,Water,Water,Non_Water,Water,Wetland
445,Water,Water,Water,Non_Water,Water,Bareland
446,Water,Water,Water,Non_Water,Water,Water
447,Water,Water,Water,Non_Water,Water,Forest
448,Water,Water,Water,Water,NULL,Wetland
449,Water,Water,Water,Water,NULL,Bareland
450,Water,Water,Water,Water,NULL,Water
451,Water,Water,Water,Water,NULL,Forest
452,Water,Water,Water,Water,Water,Grassland
453,Water,Water,Water,Water,Water,Wetland
454,Water,Water,Water,Water,Water,Bareland
455,Water,Water,Water,Water,Water,Built-up
456,Water,Water,Water,Water,Water,Water
457,Water,Water,Water,Water,Water,Forest
458,Water,Water,Forest,NULL,Non_Wetland,Wetland
459,Water,Water,Forest,NULL,Non_Wetland,Water
460,Water,Water,Forest,NULL,Non_Wetland,Forest
461,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
