Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R
30,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
31,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
33,NULL,NULL,Bareland,Water,Non_Wetland,Water
34,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
37,NULL,NULL,Water,NULL,Water,Grassland
38,NULL,NULL,Water,NULL,Water,Bareland
39,NULL,NULL,Water,NULL,Water,Water
40,NULL,NULL,Water,NULL,Water,Forest
41,NULL,NULL,Water,Non_Water,Water,Bareland
42,NULL,NULL,Water,Non_Water,Water,Water
43,NULL,NULL,Water,Non_Water,Water,Forest
44,NULL,NULL,Water,Water,Water,Grassland
45,NULL,NULL,Water,Water,Water,Bareland
46,NULL,NULL,Water,Water,Water,Water
47,NULL,NULL,Water,Water,Water,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
50,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
51,NULL,NULL,Forest,NULL,Non_Wetland,Water
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Forest,Water,Non_Wetland,Grassland
58,NULL,NULL,Forest,Water,Non_Wetland,Bareland
59,NULL,NULL,Forest,Water,Non_Wetland,Water
60,NULL,NULL,Forest,Water,Non_Wetland,Forest
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
66,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
69,NULL,Cropland,Water,NULL,Water,Grassland
70,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
72,NULL,Cropland,Forest,NULL,Non_Wetland,Water
73,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
74,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
75,NULL,Wetland,Wetland,Water,Wetland,Water
76,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
77,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
78,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
79,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
80,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
81,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
82,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
83,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
84,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
85,NULL,Bareland,Grassland,Water,Non_Wetland,Water
86,NULL,Bareland,Grassland,Water,Non_Wetland,Forest
87,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
88,NULL,Bareland,Wetland,Non_Water,Wetland,Water
89,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
90,NULL,Bareland,Wetland,Water,Wetland,Bareland
91,NULL,Bareland,Wetland,Water,Wetland,Water
92,NULL,Bareland,Wetland,Water,Wetland,Forest
93,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
94,NULL,Bareland,Bareland,Water,Non_Wetland,Water
95,NULL,Bareland,Water,NULL,Water,Bareland
96,NULL,Bareland,Water,NULL,Water,Water
97,NULL,Bareland,Water,NULL,Water,Forest
98,NULL,Bareland,Water,Non_Water,Water,Grassland
99,NULL,Bareland,Water,Non_Water,Water,Bareland
100,NULL,Bareland,Water,Non_Water,Water,Water
101,NULL,Bareland,Water,Non_Water,Water,Forest
102,NULL,Bareland,Water,Water,Water,Grassland
103,NULL,Bareland,Water,Water,Water,Bareland
104,NULL,Bareland,Water,Water,Water,Water
105,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
106,NULL,Bareland,Forest,NULL,Non_Wetland,Water
107,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
108,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
109,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
110,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
111,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
112,NULL,Bareland,Forest,Water,Non_Wetland,Water
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
119,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
120,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
122,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
127,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
133,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
134,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
135,NULL,Built-up,Wetland,NULL,Wetland,Forest
136,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
140,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
141,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
147,NULL,Built-up,Water,NULL,Water,Grassland
148,NULL,Built-up,Water,NULL,Water,Forest
149,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Forest,NULL,Non_Wetland,Water
153,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
154,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
155,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
157,NULL,Water,Shrubland,NULL,Non_Wetland,Water
158,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
160,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
161,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
162,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
163,NULL,Water,Shrubland,Water,Non_Wetland,Water
164,NULL,Water,Shrubland,Water,Non_Wetland,Forest
165,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
166,NULL,Water,Grassland,Water,Non_Wetland,Water
167,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Water,Wetland,NULL,Wetland,Water
170,NULL,Water,Wetland,NULL,Wetland,Forest
171,NULL,Water,Wetland,Non_Water,Wetland,Bareland
172,NULL,Water,Wetland,Non_Water,Wetland,Water
173,NULL,Water,Wetland,Non_Water,Wetland,Forest
174,NULL,Water,Wetland,Water,Wetland,Grassland
175,NULL,Water,Wetland,Water,Wetland,Bareland
176,NULL,Water,Wetland,Water,Wetland,Water
177,NULL,Water,Wetland,Water,Wetland,Forest
178,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
179,NULL,Water,Bareland,NULL,Non_Wetland,Water
180,NULL,Water,Bareland,NULL,Non_Wetland,Forest
181,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
182,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
183,NULL,Water,Bareland,Water,Non_Wetland,Water
184,NULL,Water,Water,NULL,Water,Water
185,NULL,Water,Water,NULL,Water,Forest
186,NULL,Water,Water,Non_Water,Water,Grassland
187,NULL,Water,Water,Non_Water,Water,Bareland
188,NULL,Water,Water,Non_Water,Water,Water
189,NULL,Water,Water,Non_Water,Water,Forest
190,NULL,Water,Water,Water,Water,Grassland
191,NULL,Water,Water,Water,Water,Bareland
192,NULL,Water,Water,Water,Water,Water
193,NULL,Water,Water,Water,Water,Forest
194,NULL,Water,Forest,NULL,Non_Wetland,Grassland
195,NULL,Water,Forest,NULL,Non_Wetland,Bareland
196,NULL,Water,Forest,NULL,Non_Wetland,Built-up
197,NULL,Water,Forest,NULL,Non_Wetland,Water
198,NULL,Water,Forest,NULL,Non_Wetland,Forest
199,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
200,NULL,Water,Forest,Non_Water,Non_Wetland,Water
201,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
202,NULL,Water,Forest,Water,Non_Wetland,Bareland
203,NULL,Water,Forest,Water,Non_Wetland,Water
204,NULL,Water,Forest,Water,Non_Wetland,Forest
205,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
207,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
210,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
211,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
212,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
213,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
214,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
215,NULL,Forest,Shrubland,Water,Non_Wetland,Water
216,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
217,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
218,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
219,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
220,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
222,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
223,NULL,Forest,Wetland,NULL,Wetland,Forest
224,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
225,NULL,Forest,Wetland,Non_Water,Wetland,Water
226,NULL,Forest,Wetland,Non_Water,Wetland,Forest
227,NULL,Forest,Wetland,Water,Wetland,Water
228,NULL,Forest,Wetland,Water,Wetland,Forest
229,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
230,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
231,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
232,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
233,NULL,Forest,Bareland,Water,Non_Wetland,Forest
234,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
235,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
236,NULL,Forest,Water,NULL,Water,Forest
237,NULL,Forest,Water,Non_Water,Water,Grassland
238,NULL,Forest,Water,Non_Water,Water,Water
239,NULL,Forest,Water,Non_Water,Water,Forest
240,NULL,Forest,Water,Water,Water,Forest
241,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
242,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
243,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
244,NULL,Forest,Forest,NULL,Non_Wetland,Forest
245,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
246,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
247,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
248,NULL,Forest,Forest,Water,Non_Wetland,Grassland
249,NULL,Forest,Forest,Water,Non_Wetland,Water
250,NULL,Forest,Forest,Water,Non_Wetland,Forest
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
255,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
256,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
257,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
258,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
259,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
260,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
261,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
263,Grassland,NULL,Cropland,Water,Non_Wetland,Water
264,Grassland,NULL,Wetland,NULL,Wetland,Grassland
265,Grassland,NULL,Wetland,NULL,Wetland,Forest
266,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
267,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
268,Grassland,NULL,Wetland,Water,Wetland,Grassland
269,Grassland,NULL,Wetland,Water,Wetland,Water
270,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
271,Grassland,NULL,Water,Non_Water,Water,Grassland
272,Grassland,NULL,Water,Water,Water,Grassland
273,Grassland,NULL,Water,Water,Water,Water
274,Grassland,NULL,Water,Water,Water,Forest
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
276,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
277,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
278,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
279,Grassland,NULL,Forest,Water,Non_Wetland,Forest
280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
281,Grassland,Bareland,Water,Water,Water,Water
282,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
283,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
284,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Water
285,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
286,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
287,Grassland,Built-up,Wetland,Water,Wetland,Bareland
288,Grassland,Built-up,Wetland,Water,Wetland,Water
289,Grassland,Built-up,Water,Water,Water,Bareland
290,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
291,Grassland,Water,Cropland,Water,Non_Wetland,Water
292,Grassland,Water,Wetland,Water,Wetland,Grassland
293,Grassland,Water,Water,Water,Water,Water
294,Grassland,Water,Forest,Water,Non_Wetland,Forest
295,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
296,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
297,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
298,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
299,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
300,Grassland,Forest,Wetland,NULL,Wetland,Grassland
301,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
302,Grassland,Forest,Wetland,Water,Wetland,Water
303,Grassland,Forest,Water,Non_Water,Water,Water
304,Grassland,Forest,Water,Water,Water,Water
305,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
306,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
307,Grassland,Forest,Forest,Water,Non_Wetland,Forest
308,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
311,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
312,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
313,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
314,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
315,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
316,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
317,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
318,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
319,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
320,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
321,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
322,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
323,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
324,Cropland,NULL,Bareland,Water,Non_Wetland,Water
325,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
326,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
327,Cropland,NULL,Water,NULL,Water,Grassland
328,Cropland,NULL,Water,Non_Water,Water,Bareland
329,Cropland,NULL,Water,Non_Water,Water,Water
330,Cropland,NULL,Water,Non_Water,Water,Forest
331,Cropland,NULL,Water,Water,Water,Grassland
332,Cropland,NULL,Water,Water,Water,Bareland
333,Cropland,NULL,Water,Water,Water,Water
334,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
335,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
337,Cropland,NULL,Forest,NULL,Non_Wetland,Water
338,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
339,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland
340,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
341,Cropland,NULL,Forest,Water,Non_Wetland,Water
342,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
343,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
344,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
345,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
346,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
347,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
348,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
349,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
350,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
351,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
352,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
353,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
354,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
355,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
356,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
357,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
358,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
359,Cropland,Wetland,Wetland,Water,Wetland,Bareland
360,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
361,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
362,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
363,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Water
364,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
365,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
366,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
367,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
368,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
369,Cropland,Built-up,Cropland,NULL,Non_Wetland,Water
370,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
371,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
372,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
373,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
374,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
375,Cropland,Built-up,Forest,NULL,Non_Wetland,Water
376,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
377,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,Water,Shrubland,Water,Non_Wetland,Water
379,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
380,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
381,Cropland,Water,Wetland,Non_Water,Wetland,Water
382,Cropland,Water,Wetland,Water,Wetland,Grassland
383,Cropland,Water,Wetland,Water,Wetland,Water
384,Cropland,Water,Wetland,Water,Wetland,Forest
385,Cropland,Water,Water,Water,Water,Water
386,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
387,Cropland,Water,Forest,NULL,Non_Wetland,Water
388,Cropland,Water,Forest,NULL,Non_Wetland,Forest
389,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
390,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
391,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
392,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
393,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
394,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Water
395,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
396,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
397,Cropland,Forest,Shrubland,Water,Non_Wetland,Forest
398,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
399,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
400,Cropland,Forest,Wetland,Non_Water,Wetland,Water
401,Cropland,Forest,Wetland,Water,Wetland,Water
402,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
403,Cropland,Forest,Water,NULL,Water,Grassland
404,Cropland,Forest,Water,NULL,Water,Forest
405,Cropland,Forest,Water,Non_Water,Water,Grassland
406,Cropland,Forest,Water,Non_Water,Water,Bareland
407,Cropland,Forest,Water,Non_Water,Water,Water
408,Cropland,Forest,Water,Non_Water,Water,Forest
409,Cropland,Forest,Water,Water,Water,Grassland
410,Cropland,Forest,Water,Water,Water,Bareland
411,Cropland,Forest,Water,Water,Water,Water
412,Cropland,Forest,Water,Water,Water,Forest
413,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
414,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
415,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
416,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
417,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
418,Cropland,Forest,Forest,Non_Water,Non_Wetland,Bareland
419,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
420,Cropland,Forest,Forest,Water,Non_Wetland,Bareland
421,Cropland,Forest,Forest,Water,Non_Wetland,Forest
422,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
423,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
424,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
425,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
426,Wetland,NULL,Wetland,NULL,Wetland,Grassland
427,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
428,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
429,Wetland,NULL,Wetland,Water,Wetland,Water
430,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
431,Wetland,NULL,Water,Non_Water,Water,Water
432,Wetland,NULL,Water,Water,Water,Water
433,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
434,Wetland,NULL,Forest,NULL,Non_Wetland,Water
435,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
436,Wetland,NULL,Forest,Water,Non_Wetland,Bareland
437,Wetland,NULL,Forest,Water,Non_Wetland,Water
438,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
439,Wetland,Bareland,Water,Water,Water,Water
440,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
