Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
105,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Bareland
107,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Bareland
108,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
113,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Bareland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Built-up
300,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
311,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Bareland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
