Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R
174,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
175,NULL,Water,Shrubland,Water,Non_Wetland,Water
176,NULL,Water,Shrubland,Water,Non_Wetland,Forest
177,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
178,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
179,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
180,NULL,Water,Cropland,NULL,Non_Wetland,Forest
181,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
182,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
183,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
184,NULL,Water,Cropland,Water,Non_Wetland,Bareland
185,NULL,Water,Cropland,Water,Non_Wetland,Water
186,NULL,Water,Cropland,Water,Non_Wetland,Forest
187,NULL,Water,Wetland,NULL,Wetland,Grassland
188,NULL,Water,Wetland,NULL,Wetland,Bareland
189,NULL,Water,Wetland,NULL,Wetland,Water
190,NULL,Water,Wetland,NULL,Wetland,Forest
191,NULL,Water,Wetland,Non_Water,Wetland,Grassland
192,NULL,Water,Wetland,Non_Water,Wetland,Bareland
193,NULL,Water,Wetland,Non_Water,Wetland,Water
194,NULL,Water,Wetland,Non_Water,Wetland,Forest
195,NULL,Water,Wetland,Water,Wetland,Bareland
196,NULL,Water,Wetland,Water,Wetland,Water
197,NULL,Water,Wetland,Water,Wetland,Forest
198,NULL,Water,Bareland,NULL,Non_Wetland,Forest
199,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
200,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
201,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
202,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
203,NULL,Water,Bareland,Water,Non_Wetland,Water
204,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
205,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
206,NULL,Water,Built-up,NULL,Non_Wetland,Forest
207,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
208,NULL,Water,Water,NULL,Water,Grassland
209,NULL,Water,Water,NULL,Water,Water
210,NULL,Water,Water,NULL,Water,Forest
211,NULL,Water,Water,Non_Water,Water,Bareland
212,NULL,Water,Water,Non_Water,Water,Water
213,NULL,Water,Water,Non_Water,Water,Forest
214,NULL,Water,Water,Water,Water,Water
215,NULL,Water,Forest,NULL,Non_Wetland,Grassland
216,NULL,Water,Forest,NULL,Non_Wetland,Bareland
217,NULL,Water,Forest,NULL,Non_Wetland,Water
218,NULL,Water,Forest,NULL,Non_Wetland,Forest
219,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
220,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
221,NULL,Water,Forest,Non_Water,Non_Wetland,Water
222,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
223,NULL,Water,Forest,Water,Non_Wetland,Bareland
224,NULL,Water,Forest,Water,Non_Wetland,Built-up
225,NULL,Water,Forest,Water,Non_Wetland,Water
226,NULL,Water,Forest,Water,Non_Wetland,Forest
227,NULL,Forest,NULL,NULL,Non_Wetland,Forest
228,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
229,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
230,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
231,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
234,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
235,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
236,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
237,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
238,NULL,Forest,Shrubland,Water,Non_Wetland,Water
239,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
240,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
241,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
242,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
243,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
244,NULL,Forest,Cropland,NULL,Non_Wetland,Water
245,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
246,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water
247,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
248,NULL,Forest,Cropland,Water,Non_Wetland,Water
249,NULL,Forest,Cropland,Water,Non_Wetland,Forest
250,NULL,Forest,Wetland,NULL,Wetland,Forest
251,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
252,NULL,Forest,Wetland,Non_Water,Wetland,Forest
253,NULL,Forest,Wetland,Water,Wetland,Bareland
254,NULL,Forest,Wetland,Water,Wetland,Water
255,NULL,Forest,Wetland,Water,Wetland,Forest
256,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
257,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
258,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
259,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
260,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
261,NULL,Forest,Bareland,Water,Non_Wetland,Water
262,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
263,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
264,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
265,NULL,Forest,Built-up,Water,Non_Wetland,Forest
266,NULL,Forest,Water,NULL,Water,Forest
267,NULL,Forest,Water,Water,Water,Water
268,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
269,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
270,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
271,NULL,Forest,Forest,NULL,Non_Wetland,Forest
272,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
273,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
274,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
275,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
276,NULL,Forest,Forest,Water,Non_Wetland,Water
277,NULL,Forest,Forest,Water,Non_Wetland,Forest
278,Grassland,NULL,NULL,Water,Non_Wetland,Forest
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
283,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
284,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
285,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
286,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Grassland,Water,Non_Wetland,Water
291,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
292,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
293,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
294,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
295,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
296,Grassland,NULL,Cropland,Water,Non_Wetland,Water
297,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
298,Grassland,NULL,Wetland,NULL,Wetland,Forest
299,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland
300,Grassland,NULL,Wetland,Non_Water,Wetland,Water
301,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
302,Grassland,NULL,Wetland,Water,Wetland,Water
303,Grassland,NULL,Wetland,Water,Wetland,Forest
304,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
305,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
306,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
307,Grassland,NULL,Bareland,Water,Non_Wetland,Water
308,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
309,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
310,Grassland,NULL,Water,Non_Water,Water,Bareland
311,Grassland,NULL,Water,Non_Water,Water,Water
312,Grassland,NULL,Water,Water,Water,Water
313,Grassland,NULL,Water,Water,Water,Forest
314,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
315,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
316,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
317,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
318,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
319,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
320,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
321,Grassland,NULL,Forest,Water,Non_Wetland,Water
322,Grassland,NULL,Forest,Water,Non_Wetland,Forest
323,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
324,Grassland,Wetland,Water,Water,Water,Water
325,Grassland,Bareland,Wetland,Water,Wetland,Water
326,Grassland,Bareland,Bareland,Water,Non_Wetland,Bareland
327,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
328,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
329,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
330,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
331,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
332,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
333,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
334,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
335,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
336,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
337,Grassland,Water,Grassland,Non_Water,Non_Wetland,Water
338,Grassland,Water,Cropland,Water,Non_Wetland,Water
339,Grassland,Water,Wetland,Non_Water,Wetland,Water
340,Grassland,Water,Wetland,Water,Wetland,Water
341,Grassland,Water,Water,Water,Water,Water
342,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
343,Grassland,Water,Forest,NULL,Non_Wetland,Forest
344,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
345,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
346,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
347,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
348,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
349,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
350,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
351,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
352,Grassland,Forest,Shrubland,Water,Non_Wetland,Cropland
353,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
354,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
355,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
356,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
357,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
358,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
359,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Water
360,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
361,Grassland,Forest,Cropland,Water,Non_Wetland,Bareland
362,Grassland,Forest,Cropland,Water,Non_Wetland,Water
363,Grassland,Forest,Cropland,Water,Non_Wetland,Forest
364,Grassland,Forest,Wetland,Non_Water,Wetland,Bareland
365,Grassland,Forest,Wetland,Non_Water,Wetland,Water
366,Grassland,Forest,Wetland,Water,Wetland,Grassland
367,Grassland,Forest,Wetland,Water,Wetland,Water
368,Grassland,Forest,Bareland,Water,Non_Wetland,Bareland
369,Grassland,Forest,Water,NULL,Water,Grassland
370,Grassland,Forest,Water,Water,Water,Water
371,Grassland,Forest,Water,Water,Water,Forest
372,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
373,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
374,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
375,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
376,Grassland,Forest,Forest,Water,Non_Wetland,NULL
377,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
378,Grassland,Forest,Forest,Water,Non_Wetland,Water
379,Grassland,Forest,Forest,Water,Non_Wetland,Forest
380,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
381,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
382,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
383,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
384,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
385,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
386,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
387,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
388,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
389,Cropland,NULL,Grassland,Water,Non_Wetland,Water
390,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
391,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
392,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
393,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
394,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
395,Cropland,NULL,Cropland,Water,Non_Wetland,Water
396,Cropland,NULL,Wetland,NULL,Wetland,Water
397,Cropland,NULL,Wetland,NULL,Wetland,Forest
398,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
399,Cropland,NULL,Wetland,Non_Water,Wetland,Water
400,Cropland,NULL,Wetland,Water,Wetland,Grassland
401,Cropland,NULL,Wetland,Water,Wetland,Bareland
402,Cropland,NULL,Wetland,Water,Wetland,Water
403,Cropland,NULL,Wetland,Water,Wetland,Forest
404,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
405,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
406,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
407,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
408,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
409,Cropland,NULL,Bareland,Water,Non_Wetland,Water
410,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
411,Cropland,NULL,Built-up,Water,Non_Wetland,Water
412,Cropland,NULL,Water,NULL,Water,Water
413,Cropland,NULL,Water,NULL,Water,Forest
414,Cropland,NULL,Water,Non_Water,Water,Water
415,Cropland,NULL,Water,Water,Water,Water
416,Cropland,NULL,Water,Water,Water,Forest
417,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
418,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
419,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
420,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
421,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
422,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
423,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
424,Cropland,NULL,Forest,Water,Non_Wetland,Water
425,Cropland,NULL,Forest,Water,Non_Wetland,Forest
426,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
427,Cropland,Wetland,Wetland,Water,Wetland,Water
428,Cropland,Wetland,Water,Water,Water,Water
429,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
430,Cropland,Bareland,Cropland,Water,Non_Wetland,Water
431,Cropland,Bareland,Wetland,NULL,Wetland,Water
432,Cropland,Bareland,Wetland,Water,Wetland,Water
433,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
434,Cropland,Bareland,Built-up,Water,Non_Wetland,Bareland
435,Cropland,Bareland,Water,Water,Water,Bareland
436,Cropland,Bareland,Water,Water,Water,Water
437,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
438,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
439,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
440,Cropland,Built-up,Wetland,NULL,Wetland,Forest
