Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R
88,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
105,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
109,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
110,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
111,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
112,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
113,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
114,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Bareland
119,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Bareland
120,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
121,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
123,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
125,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
128,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
129,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
130,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
131,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
132,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
133,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
134,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
135,NULL,NULL,Water,Water,Water,Water,Grassland,Forest
136,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
137,NULL,NULL,Water,Water,Water,Water,Wetland,Water
138,NULL,NULL,Water,Water,Water,Water,Water,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
168,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
170,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
172,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
179,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
180,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
181,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
182,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
183,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
185,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
187,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
189,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
191,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
192,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
194,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
195,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
196,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
197,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
199,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
200,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
201,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
203,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
205,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
206,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
207,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
208,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
210,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
213,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
214,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
216,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
218,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
221,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
225,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
227,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
229,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
230,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Water,Water
232,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
233,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
283,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
287,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
290,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
291,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
292,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
293,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
294,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
295,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
296,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
297,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
298,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
309,NULL,Built-up,Water,Water,Water,Wetland,Wetland,Grassland
310,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
314,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
315,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
316,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
318,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
319,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
323,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
324,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
325,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
