Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
111,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Wetland
117,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Forest
118,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
120,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
125,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
126,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
129,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
130,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
132,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
133,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Wetland
134,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
135,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
277,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
280,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
281,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
282,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
285,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
286,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
289,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
290,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
291,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Wetland
292,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
293,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
296,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
302,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Wetland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
306,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
307,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Wetland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
319,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
323,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
