Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEC_M_R
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
55,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Cropland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
133,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
153,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
154,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
155,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
156,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
159,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
160,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
163,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
164,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
166,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
167,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
168,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
171,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
172,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
174,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
175,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
200,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
201,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
205,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
216,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Water
230,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
234,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
238,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
243,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
257,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
259,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
261,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
262,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
264,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
265,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
266,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
267,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
268,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
269,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
270,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
271,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
272,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
274,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Built-up
275,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
283,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
286,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
287,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
288,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
289,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
290,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
291,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Cropland
292,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
293,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
294,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Cropland
295,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Grassland
296,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
297,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Water
298,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
299,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,Grassland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
303,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Cropland
309,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
311,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
312,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
313,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
314,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
315,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
316,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
318,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
321,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Cropland
322,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
324,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Cropland
