Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLU_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
83,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
85,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
86,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
193,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
197,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
225,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Wetland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Bareland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Wetland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
266,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Water
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Cropland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Bareland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
282,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
286,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
290,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
295,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Bareland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
320,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
321,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Bareland
