Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R
47,NULL,NULL,Wetland,Water,Wetland,NULL,Water
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
54,NULL,NULL,Water,NULL,Water,NULL,Grassland
55,NULL,NULL,Water,NULL,Water,NULL,Bareland
56,NULL,NULL,Water,NULL,Water,NULL,Water
57,NULL,NULL,Water,Non_Water,Water,NULL,Water
58,NULL,NULL,Water,Water,Water,NULL,Grassland
59,NULL,NULL,Water,Water,Water,NULL,Bareland
60,NULL,NULL,Water,Water,Water,NULL,Water
61,NULL,NULL,Water,Water,Water,NULL,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
69,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
70,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
71,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
72,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
73,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
74,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
75,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Bareland
76,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL
77,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
78,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
80,NULL,Cropland,Water,NULL,Water,NULL,Grassland
81,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
82,NULL,Cropland,Forest,Water,Non_Wetland,NULL,Bareland
83,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
84,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Bareland
85,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Forest
86,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Bareland
87,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
88,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Bareland
89,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Forest
90,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
93,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
95,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
96,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
97,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
98,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
99,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
100,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
101,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
102,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
103,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
104,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
105,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
106,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
107,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
108,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
109,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
110,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL
111,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
112,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
113,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
114,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
115,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
116,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
117,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Bareland
118,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Forest
119,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
120,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
121,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
122,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
123,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
124,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
125,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
126,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
127,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
128,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
129,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
130,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
131,NULL,Wetland,Water,NULL,Water,NULL,Grassland
132,NULL,Wetland,Water,NULL,Water,NULL,Bareland
133,NULL,Wetland,Water,NULL,Water,NULL,Forest
134,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
135,NULL,Wetland,Water,Non_Water,Water,NULL,Bareland
136,NULL,Wetland,Water,Non_Water,Water,NULL,Water
137,NULL,Wetland,Water,Water,Water,NULL,Bareland
138,NULL,Wetland,Water,Water,Water,NULL,Water
139,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
140,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
141,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
142,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
143,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
144,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland
145,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
146,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
147,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
148,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
149,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
150,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
151,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
152,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
153,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
154,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
155,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland
156,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
157,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Bareland
158,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Forest
159,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Bareland
160,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
161,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
162,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
163,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Forest
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
166,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Grassland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
171,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
172,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
173,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
174,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
176,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
177,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Bareland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
179,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
180,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
181,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Water
182,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
183,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
184,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
185,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
186,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
187,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
188,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
189,NULL,Built-up,Water,Water,Water,NULL,Water
190,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
191,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
192,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
193,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water
194,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
195,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Bareland
196,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Water
197,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
198,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
199,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
200,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
201,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
202,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
203,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
204,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Bareland
205,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Water
206,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
207,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
208,NULL,Water,Grassland,Water,Non_Wetland,NULL,Bareland
209,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
210,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
211,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Bareland
212,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest
213,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Bareland
214,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Forest
215,NULL,Water,Cropland,Water,Non_Wetland,NULL,Bareland
216,NULL,Water,Cropland,Water,Non_Wetland,NULL,Water
217,NULL,Water,Cropland,Water,Non_Wetland,NULL,Forest
218,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
219,NULL,Water,Wetland,NULL,Wetland,NULL,Water
220,NULL,Water,Wetland,Water,Wetland,NULL,Water
221,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Bareland
222,NULL,Water,Water,NULL,Water,NULL,Bareland
223,NULL,Water,Water,NULL,Water,NULL,Water
224,NULL,Water,Water,Water,Water,NULL,Grassland
225,NULL,Water,Water,Water,Water,NULL,Bareland
226,NULL,Water,Water,Water,Water,NULL,Water
227,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
228,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland
229,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
230,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
231,NULL,Water,Forest,Water,Non_Wetland,NULL,Grassland
232,NULL,Water,Forest,Water,Non_Wetland,NULL,Bareland
233,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
234,NULL,Water,Forest,Water,Non_Wetland,NULL,Forest
235,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
236,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
237,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
238,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up
240,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
241,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
242,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
243,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Bareland
244,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
245,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
246,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland
247,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
248,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Grassland
249,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Bareland
250,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
251,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland
252,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
253,NULL,Forest,Cropland,Water,Non_Wetland,NULL,Bareland
254,NULL,Forest,Cropland,Water,Non_Wetland,NULL,Forest
255,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
256,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland
257,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
258,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
259,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
260,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
262,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
263,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
265,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
266,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
267,NULL,Forest,Forest,Water,Non_Wetland,NULL,Grassland
268,NULL,Forest,Forest,Water,Non_Wetland,NULL,Water
269,NULL,Forest,Forest,Water,Non_Wetland,NULL,Forest
270,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Bareland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
275,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
277,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
278,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Water
279,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
280,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
281,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
283,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
284,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
285,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
286,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
287,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
288,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Forest
289,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
290,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
291,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
292,Grassland,NULL,Water,NULL,Water,NULL,Water
293,Grassland,NULL,Water,Non_Water,Water,NULL,Bareland
294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
295,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
296,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
297,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
298,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
299,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Bareland
300,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
302,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
303,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
304,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
305,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
306,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
307,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
308,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
309,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
310,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
311,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
312,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
313,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
314,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
315,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
316,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
317,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Water
318,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest
319,Grassland,Wetland,Wetland,Water,Wetland,NULL,Water
320,Grassland,Wetland,Water,NULL,Water,NULL,Forest
321,Grassland,Wetland,Water,Water,Water,NULL,Water
322,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
323,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
324,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Water
325,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
326,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
327,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
328,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,Forest
329,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
330,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
331,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
332,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
333,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland
334,Grassland,Water,Cropland,Water,Non_Wetland,NULL,Forest
335,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland
336,Grassland,Water,Wetland,NULL,Wetland,NULL,Water
337,Grassland,Water,Water,Water,Water,NULL,Water
338,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water
339,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest
340,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland
341,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
342,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
343,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
344,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
345,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
346,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
347,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
348,Grassland,Forest,Cropland,Water,Non_Wetland,NULL,Forest
349,Grassland,Forest,Wetland,NULL,Wetland,NULL,Grassland
350,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland
351,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest
352,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
353,Grassland,Forest,Water,Water,Water,NULL,Grassland
354,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
355,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
356,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
357,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
358,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
359,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
360,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
361,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
362,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
363,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
364,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
365,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
366,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
367,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Water
368,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
369,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
370,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
371,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
372,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Bareland
373,Cropland,NULL,Wetland,NULL,Wetland,NULL,Forest
374,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
375,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
376,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
377,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
378,Cropland,NULL,Forest,Water,Non_Wetland,NULL,Bareland
379,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
380,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
381,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
