Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R
79,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
80,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
81,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
82,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
83,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
86,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
87,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
88,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
89,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
90,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
91,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
92,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
93,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
94,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
103,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
104,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
118,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
129,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
131,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
133,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
134,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
135,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
136,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
137,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
138,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
139,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
140,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
141,NULL,Water,Water,NULL,Water,NULL,NULL,Water
142,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
143,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
144,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
145,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
146,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
147,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
148,NULL,Water,Water,Water,Water,NULL,NULL,Water
149,NULL,Water,Water,Water,Water,NULL,NULL,Forest
150,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
151,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
153,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
155,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
162,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
165,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
166,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
167,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
168,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
169,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
170,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
171,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
172,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
173,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
174,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
175,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
176,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
177,NULL,Forest,Water,Water,Water,NULL,NULL,Water
178,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
179,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
184,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
186,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
187,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
188,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
192,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
193,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
194,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
195,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
196,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
198,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
199,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
203,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
207,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
209,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
210,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
211,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
212,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
213,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
214,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
216,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
217,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
218,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
219,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
220,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
221,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
222,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
223,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
224,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
225,Cropland,Water,Water,Water,Water,NULL,NULL,Water
226,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
227,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
228,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
232,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
233,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
234,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
235,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
236,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
238,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
239,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
240,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
243,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
244,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
245,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
246,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
247,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
248,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
249,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
250,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
251,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
252,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
253,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
254,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
255,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
256,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
257,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
258,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
259,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
260,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
261,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
262,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
263,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
264,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
265,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
266,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
267,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
268,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
269,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
270,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
271,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
272,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
273,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
274,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
275,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
276,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
277,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
278,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
279,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
282,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
284,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
285,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
286,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
289,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
290,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
291,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
292,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
293,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
294,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
295,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
296,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
297,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
298,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
299,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
300,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
301,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
303,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
304,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
305,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
306,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
307,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
308,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
309,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
310,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
311,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
312,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
313,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
314,Wetland,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Water
315,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
316,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
317,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
318,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
319,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
320,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
321,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
322,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
323,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
324,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
325,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
326,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
327,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
328,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
329,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
330,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
332,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
333,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
335,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
336,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
337,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
338,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
339,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
340,Wetland,Bareland,Water,Water,Water,NULL,NULL,Wetland
341,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
342,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
343,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
344,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
345,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
346,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
347,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
348,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
349,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
