Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBU_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
170,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
183,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
192,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Water
193,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
201,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
208,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
211,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
212,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
213,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
215,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
216,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
217,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
219,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
220,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
221,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
223,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
224,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
226,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
227,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
231,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
232,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
233,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
237,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
238,NULL,NULL,Water,NULL,Water,NULL,Grassland,Forest
239,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
240,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
241,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
242,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
243,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
244,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
245,NULL,NULL,Water,NULL,Water,Bareland,Forest,Forest
246,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
247,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
248,NULL,NULL,Water,Water,Water,Bareland,Water,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
266,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
268,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
269,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
293,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
294,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
295,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
297,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
304,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
306,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
315,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Bareland
318,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
319,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
323,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
324,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
325,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
326,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
328,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
329,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
330,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
