Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVF_M_R
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Built-up
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
41,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
49,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
50,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
51,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
52,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
53,NULL,NULL,Water,Water,Water,NULL,NULL,Water
54,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
71,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
74,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
76,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
77,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
78,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
79,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
80,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
81,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
82,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
84,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
92,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
93,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
99,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
100,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
106,NULL,Bareland,Water,NULL,Water,NULL,NULL,Wetland
107,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
108,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
109,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
110,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
113,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
115,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
116,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
119,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
128,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
129,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
132,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
145,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
148,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
149,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
151,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
159,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
160,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
161,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
162,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
169,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
172,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
176,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
180,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
183,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
184,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
185,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
186,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
187,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
188,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
189,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
190,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
191,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
192,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
193,NULL,Water,Water,NULL,Water,NULL,NULL,Water
194,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
195,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
196,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
197,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
198,NULL,Water,Water,Water,Water,NULL,NULL,Water
199,NULL,Water,Water,Water,Water,NULL,NULL,Forest
200,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
202,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
203,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
206,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
215,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
223,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
224,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
225,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
226,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
227,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
228,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
229,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
230,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Forest,Water,NULL,Water,NULL,NULL,Wetland
234,NULL,Forest,Water,Water,Water,NULL,NULL,Wetland
235,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
238,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
242,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
243,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
253,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
257,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
258,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
259,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
261,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
262,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
263,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
264,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
266,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
268,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
270,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
271,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
272,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
273,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
274,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
275,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
279,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
283,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
284,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
290,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
291,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
292,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
293,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
294,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
295,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
296,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
297,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
298,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
299,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
300,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
301,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
306,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
308,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
309,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
310,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
311,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
312,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
313,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
316,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
317,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
324,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
326,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
327,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
328,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
329,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
331,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
333,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
335,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
337,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
338,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
339,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
340,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
341,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
342,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
343,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
344,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
345,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
