Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPR_M_R
2972,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
2973,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2974,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Built-up
2975,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
2976,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
2977,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2978,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2979,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
2980,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
2981,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,NULL
2982,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
2983,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
2984,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
2985,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2986,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Built-up
2987,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2988,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2989,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
2990,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
2991,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
2992,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2993,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
2994,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
2995,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest,Water,Forest
2996,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2997,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2998,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
2999,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3000,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
3001,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3002,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3003,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
3004,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
3005,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3006,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
3007,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
3008,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3009,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
3010,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
3011,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
3012,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Cropland
3013,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
3014,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
3015,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
3016,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
3017,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Cropland
3018,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Built-up
3019,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
3020,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
3021,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3022,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3023,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3024,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3025,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3026,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3027,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3028,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3029,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
3030,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3031,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
3032,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
3033,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
3034,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3035,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Built-up
3036,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
3037,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
3038,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3039,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3040,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3041,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3042,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3043,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3044,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3045,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3046,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3047,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3048,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3049,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3050,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3051,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
3052,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3053,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
3054,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3055,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3056,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
3057,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
3058,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
3059,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3060,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
3061,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
3062,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
3063,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Water
3064,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3065,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3066,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
3067,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
3068,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
3069,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
3070,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
3071,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
3072,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3073,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3074,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3075,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3076,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
3077,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3078,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3079,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3080,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
3081,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
3082,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3083,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3084,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
3085,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3086,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Cropland
3087,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
3088,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
3089,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
3090,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
3091,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
3092,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
3093,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
3094,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
3095,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
3096,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Cropland
3097,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Bareland
3098,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
3099,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
3100,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,NULL
3101,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3102,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3103,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
3104,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
3105,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3106,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Cropland
3107,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
3108,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
3109,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
3110,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
3111,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
3112,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3113,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3114,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
3115,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3116,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
3117,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
3118,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
3119,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Bareland
3120,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
3121,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
3122,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
3123,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
3124,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Built-up
3125,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
3126,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
3127,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3128,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Built-up
3129,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
3130,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
3131,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3132,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Built-up
3133,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3134,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,NULL
3135,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
3136,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,NULL
3137,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Grassland
3138,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Built-up
3139,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
3140,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
3141,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
3142,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Built-up
3143,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
3145,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Forest,NULL
3146,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
3147,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3148,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3149,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Built-up,Forest
3150,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3151,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
3152,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
3153,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
3154,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
3155,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Forest,Forest
3156,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest,Built-up,NULL
3157,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest,Built-up,Forest
3158,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
3159,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
3160,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
3161,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Built-up,Forest
3162,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Water,Forest
3163,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,Forest
3164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3168,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3169,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3170,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3171,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3172,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3173,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3174,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3175,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3176,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3177,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
3178,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
3179,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3180,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
3181,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
3182,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3183,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
3184,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
3185,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
3186,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
3187,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
3188,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
3189,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
3190,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3191,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
3192,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
3193,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3194,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3195,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
3196,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3197,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3198,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3199,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3200,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3201,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3202,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3203,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3204,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3205,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
3206,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
3207,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3208,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
3209,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
3210,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
3211,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3212,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Bareland
3213,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
3214,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3215,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3216,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3217,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3218,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3219,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3220,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3221,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3222,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3223,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3224,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3225,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3226,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3227,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3228,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3229,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3230,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3231,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
3232,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3233,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3234,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
3235,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3236,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3237,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
3238,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
3239,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
3240,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3241,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
3242,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3243,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3244,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
3245,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
3246,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3247,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3248,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3249,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3250,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3251,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3252,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
3253,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3254,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3255,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
3256,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
3257,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
3258,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
3259,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3260,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3261,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3262,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3263,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3264,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3265,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
3266,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3267,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3268,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3269,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
3270,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3271,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
3272,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3273,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3274,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3275,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3276,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
3277,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
3278,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3279,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
3280,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
3281,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
3282,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
3283,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
3284,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
3285,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
3286,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
