Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R
76,NULL,NULL,Built-up,Water,Non_Wetland,Water
77,NULL,NULL,Built-up,Water,Non_Wetland,Forest
78,NULL,NULL,Water,NULL,Water,Grassland
79,NULL,NULL,Water,NULL,Water,Bareland
80,NULL,NULL,Water,NULL,Water,Water
81,NULL,NULL,Water,NULL,Water,Forest
82,NULL,NULL,Water,Non_Water,Water,Grassland
83,NULL,NULL,Water,Non_Water,Water,Bareland
84,NULL,NULL,Water,Non_Water,Water,Water
85,NULL,NULL,Water,Non_Water,Water,Forest
86,NULL,NULL,Water,Water,Water,Grassland
87,NULL,NULL,Water,Water,Water,Bareland
88,NULL,NULL,Water,Water,Water,Water
89,NULL,NULL,Water,Water,Water,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
92,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
93,NULL,NULL,Forest,NULL,Non_Wetland,Water
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
98,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
99,NULL,NULL,Forest,Water,Non_Wetland,Grassland
100,NULL,NULL,Forest,Water,Non_Wetland,Bareland
101,NULL,NULL,Forest,Water,Non_Wetland,Water
102,NULL,NULL,Forest,Water,Non_Wetland,Forest
103,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
104,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
105,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
112,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
113,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
122,NULL,Cropland,Wetland,NULL,Wetland,Forest
123,NULL,Cropland,Wetland,Water,Wetland,Water
124,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
128,NULL,Cropland,Water,NULL,Water,Grassland
129,NULL,Cropland,Water,Non_Water,Water,Grassland
130,NULL,Cropland,Water,Water,Water,Bareland
131,NULL,Cropland,Water,Water,Water,Water
132,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
136,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
138,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
139,NULL,Cropland,Forest,Water,Non_Wetland,Water
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
144,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
147,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
148,NULL,Wetland,Water,Water,Water,Water
149,NULL,Wetland,Water,Water,Water,Forest
150,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
152,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
153,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
155,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
156,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
161,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
162,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
166,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
167,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
168,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
169,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
170,NULL,Bareland,Grassland,Water,Non_Wetland,Water
171,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
173,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
174,NULL,Bareland,Wetland,NULL,Wetland,Grassland
175,NULL,Bareland,Wetland,NULL,Wetland,Forest
176,NULL,Bareland,Wetland,Non_Water,Wetland,Water
177,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
178,NULL,Bareland,Wetland,Water,Wetland,Grassland
179,NULL,Bareland,Wetland,Water,Wetland,Bareland
180,NULL,Bareland,Wetland,Water,Wetland,Water
181,NULL,Bareland,Wetland,Water,Wetland,Forest
182,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
185,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
186,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
187,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
188,NULL,Bareland,Bareland,Water,Non_Wetland,Water
189,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
192,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
193,NULL,Bareland,Built-up,Water,Non_Wetland,Water
194,NULL,Bareland,Water,NULL,Water,Grassland
195,NULL,Bareland,Water,NULL,Water,Water
196,NULL,Bareland,Water,Non_Water,Water,Grassland
197,NULL,Bareland,Water,Non_Water,Water,Bareland
198,NULL,Bareland,Water,Non_Water,Water,Water
199,NULL,Bareland,Water,Water,Water,Grassland
200,NULL,Bareland,Water,Water,Water,Bareland
201,NULL,Bareland,Water,Water,Water,Water
202,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
203,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
204,NULL,Bareland,Forest,NULL,Non_Wetland,Water
205,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
206,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
207,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
208,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
209,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
210,NULL,Bareland,Forest,Water,Non_Wetland,Water
211,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
212,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
213,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
214,NULL,Built-up,NULL,NULL,Non_Wetland,Water
215,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
216,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
217,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
218,NULL,Built-up,NULL,Water,Non_Wetland,Bareland
219,NULL,Built-up,NULL,Water,Non_Wetland,Forest
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
225,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
227,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
228,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
229,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
230,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
236,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
237,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
238,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
239,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
244,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
245,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
246,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
247,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
248,NULL,Built-up,Wetland,NULL,Wetland,Grassland
249,NULL,Built-up,Wetland,NULL,Wetland,Built-up
250,NULL,Built-up,Wetland,NULL,Wetland,Water
251,NULL,Built-up,Wetland,NULL,Wetland,Forest
252,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
253,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
254,NULL,Built-up,Wetland,Water,Wetland,Grassland
255,NULL,Built-up,Wetland,Water,Wetland,Water
256,NULL,Built-up,Wetland,Water,Wetland,Forest
257,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
258,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
259,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
260,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
261,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
262,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
263,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
264,NULL,Built-up,Bareland,Water,Non_Wetland,Water
265,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
266,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
268,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
269,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
271,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
272,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
273,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
274,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
275,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
276,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
277,NULL,Built-up,Built-up,Water,Non_Wetland,Water
278,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
279,NULL,Built-up,Water,NULL,Water,Grassland
280,NULL,Built-up,Water,NULL,Water,Bareland
281,NULL,Built-up,Water,NULL,Water,Forest
282,NULL,Built-up,Water,Non_Water,Water,Grassland
283,NULL,Built-up,Water,Non_Water,Water,Built-up
284,NULL,Built-up,Water,Non_Water,Water,Water
285,NULL,Built-up,Water,Water,Water,Bareland
286,NULL,Built-up,Water,Water,Water,Built-up
287,NULL,Built-up,Water,Water,Water,Water
288,NULL,Built-up,Water,Water,Water,Forest
289,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
292,NULL,Built-up,Forest,NULL,Non_Wetland,Water
293,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
294,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
295,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
296,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
297,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
298,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
299,NULL,Built-up,Forest,Water,Non_Wetland,Water
300,NULL,Built-up,Forest,Water,Non_Wetland,Forest
301,NULL,Water,NULL,NULL,Non_Wetland,Grassland
302,NULL,Water,NULL,NULL,Non_Wetland,Forest
303,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
304,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
305,NULL,Water,NULL,Water,Non_Wetland,Grassland
306,NULL,Water,NULL,Water,Non_Wetland,Forest
307,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
308,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
309,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
310,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
311,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
314,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
315,NULL,Water,Shrubland,Water,Non_Wetland,Water
316,NULL,Water,Shrubland,Water,Non_Wetland,Forest
317,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
318,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
319,NULL,Water,Grassland,NULL,Non_Wetland,Water
320,NULL,Water,Grassland,NULL,Non_Wetland,Forest
321,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
322,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
323,NULL,Water,Grassland,Non_Water,Non_Wetland,Built-up
324,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
325,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
326,NULL,Water,Grassland,Water,Non_Wetland,Grassland
327,NULL,Water,Grassland,Water,Non_Wetland,Water
328,NULL,Water,Grassland,Water,Non_Wetland,Forest
329,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
330,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
331,NULL,Water,Cropland,NULL,Non_Wetland,Water
332,NULL,Water,Cropland,NULL,Non_Wetland,Forest
333,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
334,NULL,Water,Cropland,Water,Non_Wetland,Water
335,NULL,Water,Cropland,Water,Non_Wetland,Forest
336,NULL,Water,Wetland,NULL,Wetland,Grassland
337,NULL,Water,Wetland,NULL,Wetland,Water
338,NULL,Water,Wetland,NULL,Wetland,Forest
339,NULL,Water,Wetland,Non_Water,Wetland,Grassland
340,NULL,Water,Wetland,Non_Water,Wetland,Water
341,NULL,Water,Wetland,Non_Water,Wetland,Forest
342,NULL,Water,Wetland,Water,Wetland,Grassland
343,NULL,Water,Wetland,Water,Wetland,Bareland
344,NULL,Water,Wetland,Water,Wetland,Water
345,NULL,Water,Wetland,Water,Wetland,Forest
346,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
347,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
348,NULL,Water,Bareland,NULL,Non_Wetland,Forest
349,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
350,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
351,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
352,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
353,NULL,Water,Bareland,Water,Non_Wetland,Bareland
354,NULL,Water,Bareland,Water,Non_Wetland,Water
355,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
356,NULL,Water,Built-up,NULL,Non_Wetland,Water
357,NULL,Water,Built-up,NULL,Non_Wetland,Forest
358,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
359,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
360,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up
361,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
362,NULL,Water,Built-up,Water,Non_Wetland,Forest
363,NULL,Water,Water,NULL,Water,Grassland
364,NULL,Water,Water,NULL,Water,Bareland
365,NULL,Water,Water,NULL,Water,Water
366,NULL,Water,Water,NULL,Water,Forest
367,NULL,Water,Water,Non_Water,Water,Grassland
368,NULL,Water,Water,Non_Water,Water,Water
369,NULL,Water,Water,Non_Water,Water,Forest
370,NULL,Water,Water,Water,Water,Grassland
371,NULL,Water,Water,Water,Water,Bareland
372,NULL,Water,Water,Water,Water,Built-up
373,NULL,Water,Water,Water,Water,Water
374,NULL,Water,Water,Water,Water,Forest
375,NULL,Water,Forest,NULL,Non_Wetland,Grassland
376,NULL,Water,Forest,NULL,Non_Wetland,Bareland
377,NULL,Water,Forest,NULL,Non_Wetland,Built-up
378,NULL,Water,Forest,NULL,Non_Wetland,Water
379,NULL,Water,Forest,NULL,Non_Wetland,Forest
380,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
381,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
382,NULL,Water,Forest,Non_Water,Non_Wetland,Built-up
383,NULL,Water,Forest,Non_Water,Non_Wetland,Water
384,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
385,NULL,Water,Forest,Water,Non_Wetland,Grassland
386,NULL,Water,Forest,Water,Non_Wetland,Bareland
387,NULL,Water,Forest,Water,Non_Wetland,Water
388,NULL,Water,Forest,Water,Non_Wetland,Forest
389,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
390,NULL,Forest,NULL,NULL,Non_Wetland,Forest
391,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
392,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
393,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
394,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
395,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
396,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
397,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
398,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
399,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
400,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
401,NULL,Forest,Grassland,NULL,Non_Wetland,Water
402,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
403,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
404,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
405,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
406,NULL,Forest,Grassland,Water,Non_Wetland,Water
407,NULL,Forest,Grassland,Water,Non_Wetland,Forest
408,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
409,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
410,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water
411,NULL,Forest,Wetland,NULL,Wetland,Water
412,NULL,Forest,Wetland,NULL,Wetland,Forest
413,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
414,NULL,Forest,Wetland,Non_Water,Wetland,Water
415,NULL,Forest,Wetland,Non_Water,Wetland,Forest
416,NULL,Forest,Wetland,Water,Wetland,Water
417,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
418,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
419,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
420,NULL,Forest,Bareland,Water,Non_Wetland,Forest
421,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
422,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
423,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
424,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
425,NULL,Forest,Water,NULL,Water,Grassland
426,NULL,Forest,Water,NULL,Water,Forest
427,NULL,Forest,Water,Non_Water,Water,Grassland
428,NULL,Forest,Water,Non_Water,Water,Bareland
429,NULL,Forest,Water,Non_Water,Water,Forest
430,NULL,Forest,Water,Water,Water,Water
431,NULL,Forest,Water,Water,Water,Forest
432,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
433,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
434,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
435,NULL,Forest,Forest,NULL,Non_Wetland,Water
436,NULL,Forest,Forest,NULL,Non_Wetland,Forest
437,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
438,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
439,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
440,NULL,Forest,Forest,Water,Non_Wetland,Grassland
441,NULL,Forest,Forest,Water,Non_Wetland,Bareland
