Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCH_M_R
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
67,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
68,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
69,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
70,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
71,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
72,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
73,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
75,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
78,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
79,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
82,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
95,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
103,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
106,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
107,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
108,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
109,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Water
110,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
111,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
112,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
113,NULL,Water,Water,Water,Water,NULL,NULL,Water
114,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
118,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
120,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
121,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
124,NULL,Forest,NULL,NULL,Non_Wetland,Water,Bareland,Forest
125,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
127,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
130,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
131,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
134,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
135,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
137,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
138,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
141,NULL,Forest,Water,Water,Water,NULL,NULL,Water
142,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
149,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
150,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Bareland
151,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Water
152,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
154,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
156,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
158,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
159,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
161,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
163,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
166,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
167,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
169,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
170,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
171,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
172,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
173,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
174,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
175,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
176,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
177,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
178,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
180,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
181,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
182,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
183,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
184,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
185,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
186,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
187,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
189,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
190,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
191,Grassland,Water,Wetland,NULL,Wetland,Grassland,NULL,Water
192,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
193,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
194,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
195,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
197,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
199,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
200,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
202,Cropland,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
203,Cropland,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
204,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
206,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
207,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
208,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
209,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
210,Cropland,NULL,Grassland,Water,Non_Wetland,Water,NULL,Water
211,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
212,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
213,Cropland,NULL,Built-up,Water,Non_Wetland,Water,NULL,Water
214,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
215,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
216,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
218,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
219,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
220,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
222,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Bareland
223,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Water
224,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
225,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
226,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Water
227,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
228,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
229,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
230,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
231,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
232,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
234,Cropland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
235,Cropland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
236,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
237,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
238,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
239,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
240,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
241,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
242,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
244,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
245,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
246,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
247,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
248,Cropland,Water,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
249,Cropland,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
250,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
251,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
252,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
255,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
256,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
257,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
258,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
259,Cropland,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
260,Cropland,Water,Grassland,NULL,Non_Wetland,Water,NULL,Bareland
261,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
262,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
263,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
264,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
265,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
266,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
267,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
268,Cropland,Water,Water,NULL,Water,Water,Water,Water
269,Cropland,Water,Water,Water,Water,NULL,NULL,Water
270,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
271,Cropland,Water,Water,Water,Water,Water,NULL,Water
272,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
273,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
275,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
276,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
277,Cropland,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Water
278,Cropland,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
279,Cropland,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
280,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
281,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Grassland
282,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
283,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
284,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
285,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
286,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
287,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
288,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
289,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
290,Cropland,Forest,NULL,Water,Non_Wetland,Water,NULL,Bareland
291,Cropland,Forest,NULL,Water,Non_Wetland,Water,NULL,Water
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
295,Cropland,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
296,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
297,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
298,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
299,Cropland,Forest,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
300,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
301,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
302,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
303,Cropland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
304,Cropland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
305,Cropland,Forest,Grassland,Water,Non_Wetland,Bareland,Forest,Bareland
306,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
307,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
308,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
309,Cropland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
310,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
311,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
312,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
313,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
314,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
315,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
316,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
317,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
318,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
319,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
320,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
321,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
322,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
323,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
324,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
325,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
326,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
327,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
328,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
329,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
330,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
331,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
332,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
333,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
334,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
335,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
336,Bareland,NULL,Water,Water,Water,Bareland,NULL,Grassland
337,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
338,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
339,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
340,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
341,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
342,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
343,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
344,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
