Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NFF_M_R
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Wetland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Built-up
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Wetland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Wetland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Wetland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Cropland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
147,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
150,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
153,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
154,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
156,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
159,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Water,Wetland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
205,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Water,Wetland
206,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
208,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
216,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
223,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
225,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Bareland
226,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Water
227,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
229,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
236,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
240,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
242,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Wetland
243,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
246,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
247,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Wetland
249,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Bareland
250,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
253,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
254,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
256,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
257,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
258,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
260,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
261,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
262,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
266,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
267,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
268,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
269,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
275,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
277,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
279,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
280,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
282,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
283,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
286,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
287,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
291,NULL,NULL,Wetland,Non_Water,NULL,NULL,NULL,Grassland
292,NULL,NULL,Wetland,Non_Water,NULL,Grassland,NULL,Water
293,NULL,NULL,Wetland,Non_Water,NULL,Grassland,Water,Grassland
294,NULL,NULL,Wetland,Non_Water,NULL,Grassland,Water,Wetland
295,NULL,NULL,Wetland,Non_Water,NULL,Grassland,Water,Bareland
296,NULL,NULL,Wetland,Non_Water,NULL,Wetland,Water,Grassland
297,NULL,NULL,Wetland,Non_Water,NULL,Wetland,Water,Wetland
298,NULL,NULL,Wetland,Non_Water,NULL,Wetland,Water,Water
299,NULL,NULL,Wetland,Non_Water,NULL,Wetland,Water,Forest
300,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Water,Grassland
301,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Water,Wetland
302,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Water,Bareland
303,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Water,Water
304,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Water,Forest
305,NULL,NULL,Wetland,Non_Water,NULL,Water,Water,Grassland
306,NULL,NULL,Wetland,Non_Water,NULL,Water,Water,Wetland
307,NULL,NULL,Wetland,Non_Water,NULL,Water,Water,Bareland
308,NULL,NULL,Wetland,Non_Water,NULL,Water,Water,Water
309,NULL,NULL,Wetland,Non_Water,NULL,Water,Water,Forest
310,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
311,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
312,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
313,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
314,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Wetland
315,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
316,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
317,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Wetland
318,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
319,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
320,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Bareland
321,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Water
322,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
324,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Water
325,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
326,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
327,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
328,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
329,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
