Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
88,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
91,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
93,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
95,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
177,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
219,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
253,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
259,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
267,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
268,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
270,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
272,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
273,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Bareland
275,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
277,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
278,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
303,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
311,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
312,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
317,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
323,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
