Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBP_M_R
962,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
963,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
964,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
965,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
966,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
967,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
968,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
969,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
970,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
971,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
972,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
973,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
974,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
975,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
976,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
977,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
978,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
979,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
980,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
981,NULL,Cropland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
982,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
983,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
984,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
985,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
986,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
987,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
988,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
989,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
990,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
991,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
992,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
993,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
994,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
995,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
996,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
997,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
998,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
999,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1000,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1001,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
1002,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1003,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
1004,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1005,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
1006,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1007,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
1008,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1009,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1010,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1011,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
1012,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1013,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1014,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1015,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland,Wetland,Grassland
1016,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1017,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1018,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1019,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1020,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
1021,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1022,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1023,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
1024,NULL,Wetland,Wetland,Water,Wetland,Grassland,NULL,Grassland
1025,NULL,Wetland,Wetland,Water,Wetland,Grassland,NULL,Water
1026,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1027,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Water
1028,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Forest
1029,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
1030,NULL,Wetland,Wetland,Water,Wetland,Cropland,Wetland,Grassland
1031,NULL,Wetland,Wetland,Water,Wetland,Cropland,Water,Grassland
1032,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1033,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1034,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1035,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1036,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
1037,NULL,Wetland,Wetland,Water,Wetland,Water,NULL,Grassland
1038,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
1039,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1040,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1041,NULL,Wetland,Water,NULL,Water,Grassland,Wetland,Grassland
1042,NULL,Wetland,Water,NULL,Water,Grassland,Water,Grassland
1043,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
1044,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
1045,NULL,Wetland,Water,NULL,Water,Wetland,Water,Grassland
1046,NULL,Wetland,Water,Non_Water,Water,Water,Water,Water
1047,NULL,Wetland,Water,Water,Water,Grassland,Wetland,Grassland
1048,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
1049,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
1050,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
1051,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1052,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1053,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1054,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1055,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1056,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1057,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1058,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Forest
1059,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1060,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1061,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1062,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1063,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1064,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1065,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1066,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1067,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1068,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Water,Water
1069,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
1070,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1071,NULL,Bareland,Wetland,Water,Wetland,Grassland,NULL,Grassland
1072,NULL,Bareland,Wetland,Water,Wetland,Grassland,NULL,Wetland
1073,NULL,Bareland,Wetland,Water,Wetland,Grassland,NULL,Water
1074,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1075,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Cropland
1076,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
1077,NULL,Bareland,Wetland,Water,Wetland,Cropland,NULL,Water
1078,NULL,Bareland,Wetland,Water,Wetland,Water,NULL,Water
1079,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
1080,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1081,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1082,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1083,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1084,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1085,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1086,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1087,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1088,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1089,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1090,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1091,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1092,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1093,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
1094,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1095,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1096,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1097,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1098,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1099,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1121,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1122,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1123,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1124,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1125,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1126,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1127,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1128,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1129,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1130,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1131,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1132,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1133,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1134,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1135,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1136,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1137,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1138,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1139,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1140,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1141,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1142,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1143,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1144,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1145,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1146,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
1147,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1148,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1149,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1150,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1151,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1152,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1153,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
1154,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1155,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1156,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1157,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1158,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1159,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1160,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1161,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1162,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1163,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
1164,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1165,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1166,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1167,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1168,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1169,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Water
1170,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
1171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1172,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1173,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1174,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1175,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1176,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1177,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1179,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1180,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1181,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1182,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1183,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1184,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1185,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1186,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1187,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
1188,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1189,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1190,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1191,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1192,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Grassland
1193,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Cropland
1194,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Bareland
1195,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
1196,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1197,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1198,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1199,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1200,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1201,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1202,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1203,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1204,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1205,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1206,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1207,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1208,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
1209,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1210,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
1211,NULL,Water,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1212,NULL,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1213,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1214,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1215,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1216,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1217,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1218,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1219,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1220,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1221,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1222,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1223,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1224,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1225,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1226,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1227,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1228,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1229,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1230,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1231,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1232,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
1233,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1234,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
1235,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
1236,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1237,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1238,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1239,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1240,NULL,Water,Wetland,NULL,Wetland,Water,Grassland,Grassland
1241,NULL,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
1242,NULL,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Water
1243,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1244,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1245,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
1246,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1247,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1248,NULL,Water,Wetland,Water,Wetland,Grassland,NULL,Grassland
1249,NULL,Water,Wetland,Water,Wetland,Grassland,NULL,Water
1250,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1251,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1252,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
1253,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
1254,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
1255,NULL,Water,Wetland,Water,Wetland,Cropland,NULL,Water
1256,NULL,Water,Wetland,Water,Wetland,Cropland,Water,Water
1257,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1258,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1259,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1260,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
1261,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
1262,NULL,Water,Wetland,Water,Wetland,Water,NULL,Water
1263,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
1264,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
1265,NULL,Water,Water,NULL,Water,Grassland,Grassland,Grassland
1266,NULL,Water,Water,NULL,Water,Grassland,Wetland,Grassland
1267,NULL,Water,Water,NULL,Water,Grassland,Water,Forest
1268,NULL,Water,Water,NULL,Water,Wetland,Wetland,Grassland
1269,NULL,Water,Water,NULL,Water,Wetland,Wetland,Wetland
1270,NULL,Water,Water,NULL,Water,Wetland,Wetland,Forest
1271,NULL,Water,Water,NULL,Water,Wetland,Water,Wetland
1272,NULL,Water,Water,NULL,Water,Wetland,Water,Forest
1273,NULL,Water,Water,Non_Water,Water,Wetland,Water,Grassland
1274,NULL,Water,Water,Non_Water,Water,Wetland,Water,Wetland
1275,NULL,Water,Water,Non_Water,Water,Wetland,Water,Water
1276,NULL,Water,Water,Water,Water,Grassland,Wetland,Grassland
1277,NULL,Water,Water,Water,Water,Wetland,Wetland,Forest
1278,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
1279,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1280,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1281,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
1282,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1283,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1284,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1285,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1286,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1287,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1288,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1289,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1290,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1291,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1292,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1293,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1294,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1295,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1296,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
