Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
85,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
88,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
90,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
105,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
107,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
111,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
114,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
127,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
128,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
131,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
132,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
182,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
191,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Grassland
208,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,Grassland
209,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
210,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
213,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
218,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
221,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
222,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
223,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
224,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
225,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
226,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
227,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
228,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
229,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
230,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
231,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
232,NULL,NULL,Grassland,Water,Non_Wetland,Water,Forest,Grassland
233,NULL,NULL,Grassland,Water,Non_Wetland,Forest,Wetland,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
238,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
240,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
241,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
242,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
243,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
244,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
248,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
250,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
252,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
254,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
256,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
257,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
260,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
262,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
267,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
272,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Bareland
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Built-up
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
276,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
279,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
281,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
285,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
286,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
287,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
297,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
298,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
300,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
301,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
302,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
303,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
304,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
305,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
308,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Water
309,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
312,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
316,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
317,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
319,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
322,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
324,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
325,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
326,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
327,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
328,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
329,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
330,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
