Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPM_M_R
1719,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Water
1720,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,NULL,Forest
1721,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1722,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1723,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1724,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Water
1725,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1726,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1727,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1728,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1729,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1730,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1731,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1732,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1733,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1734,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1735,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Water,Grassland
1736,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Water,Wetland
1737,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
1738,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
1739,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1740,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1741,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
1742,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Forest
1743,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
1744,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1745,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1746,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
1747,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
1748,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Built-up
1749,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1750,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1751,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
1752,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1753,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1754,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1755,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1756,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1757,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1758,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
1759,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Water
1760,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Shrubland,Water
1761,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Shrubland,Forest
1762,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1763,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1764,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
1765,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Grassland
1766,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
1767,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1768,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1769,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
1770,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1771,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1772,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
1773,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
1774,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
1775,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
1776,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
1777,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
1778,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
1779,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
1780,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1781,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1782,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,NULL,Forest
1783,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
1784,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Shrubland,Water
1785,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Forest,Wetland
1786,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,NULL,NULL
1787,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Shrubland,Wetland
1788,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Shrubland,Bareland
1789,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Water,NULL
1790,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Water,Cropland
1791,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Water,Water
1792,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Grassland
1793,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Water
1794,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
1795,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1796,NULL,NULL,Bareland,Water,Non_Wetland,Forest,NULL,Water
1797,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1798,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1799,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1800,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1801,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1802,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1803,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
1804,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1805,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
1806,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
1807,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
1808,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
1809,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1810,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Wetland
1811,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
1812,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
1813,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
1814,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
1815,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1816,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
1817,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1818,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
1819,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
1820,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1821,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1822,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
1823,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Water
1824,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
1825,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1826,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Cropland
1827,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Bareland
1828,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
1829,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1830,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1831,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1832,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1833,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1834,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1835,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1836,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
1837,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1838,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1839,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1840,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1841,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
1842,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
1843,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1844,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Wetland
1845,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1846,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1847,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
1848,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
1849,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1850,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1851,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
1852,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Bareland
1853,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1854,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1855,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1856,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1857,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
1858,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1859,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1860,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1861,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1862,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1863,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1864,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1865,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1866,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1867,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1868,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1869,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1870,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1871,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1872,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1873,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1874,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
1875,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,NULL
1876,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,NULL
1877,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
1878,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Forest
1879,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1880,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1881,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
1882,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Wetland
1883,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1884,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1885,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Water
1886,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1887,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
1888,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1889,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1890,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1891,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1892,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1893,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1894,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1895,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1896,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1897,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
1898,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1899,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1900,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1901,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1902,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1903,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
1904,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1905,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1906,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1907,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1908,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
1909,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1910,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1911,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1912,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
1913,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1914,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
1915,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1916,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1917,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
1918,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1919,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1920,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Forest
1921,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
1922,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1923,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
1924,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
1925,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1926,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1927,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
1928,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1929,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1930,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
1931,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1932,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
1933,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1934,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1935,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1936,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
1937,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,Grassland
1938,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,Built-up
1939,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Grassland
1940,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,NULL
1941,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1942,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
1943,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Wetland
1944,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1945,NULL,NULL,Built-up,Non_Water,Non_Wetland,Shrubland,Water,Forest
1946,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
1947,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1948,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Shrubland,Built-up
1949,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Shrubland,Forest
1950,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest,Grassland,Forest
1951,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,NULL,Grassland
1952,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Shrubland,NULL
1953,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Bareland,Bareland
1954,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
1955,NULL,NULL,Water,NULL,Water,NULL,Water,Grassland
1956,NULL,NULL,Water,NULL,Water,Shrubland,NULL,NULL
1957,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Grassland
1958,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Wetland
1959,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Water
1960,NULL,NULL,Water,NULL,Water,Shrubland,NULL,Forest
1961,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,NULL
1962,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
1963,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Wetland
1964,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Water
1965,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Forest
1966,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Forest
1967,NULL,NULL,Water,NULL,Water,Shrubland,Bareland,NULL
1968,NULL,NULL,Water,NULL,Water,Shrubland,Water,Grassland
1969,NULL,NULL,Water,NULL,Water,Shrubland,Water,Wetland
1970,NULL,NULL,Water,NULL,Water,Shrubland,Water,Bareland
1971,NULL,NULL,Water,NULL,Water,Bareland,NULL,Grassland
1972,NULL,NULL,Water,NULL,Water,Bareland,NULL,Wetland
1973,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,NULL
1974,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Bareland
1975,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Water
1976,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
1977,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Wetland
1978,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
1979,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
1980,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
1981,NULL,NULL,Water,NULL,Water,Bareland,Water,Water
1982,NULL,NULL,Water,NULL,Water,Water,Grassland,Water
1983,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
1984,NULL,NULL,Water,NULL,Water,Water,Water,Water
1985,NULL,NULL,Water,NULL,Water,Forest,Shrubland,Wetland
1986,NULL,NULL,Water,NULL,Water,Forest,Shrubland,Water
1987,NULL,NULL,Water,Non_Water,Water,NULL,Shrubland,Forest
1988,NULL,NULL,Water,Non_Water,Water,Shrubland,NULL,NULL
1989,NULL,NULL,Water,Non_Water,Water,Shrubland,NULL,Grassland
1990,NULL,NULL,Water,Non_Water,Water,Shrubland,NULL,Cropland
1991,NULL,NULL,Water,Non_Water,Water,Shrubland,NULL,Wetland
1992,NULL,NULL,Water,Non_Water,Water,Shrubland,Shrubland,NULL
1993,NULL,NULL,Water,Non_Water,Water,Shrubland,Shrubland,Grassland
1994,NULL,NULL,Water,Non_Water,Water,Shrubland,Shrubland,Wetland
1995,NULL,NULL,Water,Non_Water,Water,Shrubland,Shrubland,Forest
1996,NULL,NULL,Water,Non_Water,Water,Shrubland,Grassland,Grassland
1997,NULL,NULL,Water,Non_Water,Water,Shrubland,Grassland,Wetland
1998,NULL,NULL,Water,Non_Water,Water,Shrubland,Grassland,Forest
1999,NULL,NULL,Water,Non_Water,Water,Shrubland,Water,NULL
2000,NULL,NULL,Water,Non_Water,Water,Shrubland,Water,Wetland
2001,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
2002,NULL,NULL,Water,Non_Water,Water,Bareland,NULL,Grassland
2003,NULL,NULL,Water,Non_Water,Water,Bareland,Shrubland,Grassland
2004,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Wetland
2005,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
2006,NULL,NULL,Water,Non_Water,Water,Water,NULL,Cropland
2007,NULL,NULL,Water,Non_Water,Water,Water,NULL,Wetland
2008,NULL,NULL,Water,Non_Water,Water,Water,Shrubland,Water
2009,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Wetland
2010,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
2011,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
2012,NULL,NULL,Water,Non_Water,Water,Forest,NULL,Grassland
2013,NULL,NULL,Water,Non_Water,Water,Forest,NULL,Wetland
2014,NULL,NULL,Water,Non_Water,Water,Forest,Shrubland,NULL
2015,NULL,NULL,Water,Non_Water,Water,Forest,Shrubland,Wetland
2016,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
2017,NULL,NULL,Water,Water,Water,NULL,Grassland,Wetland
2018,NULL,NULL,Water,Water,Water,NULL,Water,Wetland
2019,NULL,NULL,Water,Water,Water,Shrubland,NULL,Grassland
2020,NULL,NULL,Water,Water,Water,Shrubland,NULL,Wetland
2021,NULL,NULL,Water,Water,Water,Shrubland,NULL,Water
2022,NULL,NULL,Water,Water,Water,Shrubland,Shrubland,Grassland
2023,NULL,NULL,Water,Water,Water,Shrubland,Shrubland,Wetland
2024,NULL,NULL,Water,Water,Water,Shrubland,Shrubland,Water
2025,NULL,NULL,Water,Water,Water,Shrubland,Grassland,Grassland
2026,NULL,NULL,Water,Water,Water,Shrubland,Grassland,Wetland
2027,NULL,NULL,Water,Water,Water,Shrubland,Water,Grassland
2028,NULL,NULL,Water,Water,Water,Shrubland,Water,Wetland
2029,NULL,NULL,Water,Water,Water,Shrubland,Water,Water
2030,NULL,NULL,Water,Water,Water,Shrubland,Water,Forest
2031,NULL,NULL,Water,Water,Water,Shrubland,Forest,Wetland
2032,NULL,NULL,Water,Water,Water,Shrubland,Forest,Water
2033,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
2034,NULL,NULL,Water,Water,Water,Wetland,Water,Water
2035,NULL,NULL,Water,Water,Water,Bareland,NULL,Wetland
2036,NULL,NULL,Water,Water,Water,Bareland,NULL,Water
2037,NULL,NULL,Water,Water,Water,Bareland,Shrubland,Grassland
2038,NULL,NULL,Water,Water,Water,Bareland,Shrubland,Water
2039,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
2040,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
2041,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
2042,NULL,NULL,Water,Water,Water,Bareland,Water,Bareland
2043,NULL,NULL,Water,Water,Water,Bareland,Water,Water
2044,NULL,NULL,Water,Water,Water,Bareland,Forest,Water
2045,NULL,NULL,Water,Water,Water,Water,NULL,Wetland
2046,NULL,NULL,Water,Water,Water,Water,NULL,Water
2047,NULL,NULL,Water,Water,Water,Water,Shrubland,Wetland
2048,NULL,NULL,Water,Water,Water,Water,Shrubland,Water
2049,NULL,NULL,Water,Water,Water,Water,Water,Wetland
2050,NULL,NULL,Water,Water,Water,Water,Water,Water
2051,NULL,NULL,Water,Water,Water,Forest,NULL,Wetland
2052,NULL,NULL,Water,Water,Water,Forest,NULL,Water
2053,NULL,NULL,Water,Water,Water,Forest,Shrubland,Wetland
2054,NULL,NULL,Water,Water,Water,Forest,Shrubland,Water
2055,NULL,NULL,Water,Water,Water,Forest,Water,Wetland
2056,NULL,NULL,Water,Water,Water,Forest,Water,Water
2057,NULL,NULL,Water,Water,Water,Forest,Water,Forest
